sha256,size_bytes,count,duplicate_waste_bytes,paths
352f05587338a80ed9135e585bc591ef3e0c57a9f6d5c5afdea511f31c5cab44,16720384,4,50161152,server/internal/api/lumicore.dll | server/internal/bridge/lumicore.dll | server/internal/management/lumicore.dll | server/internal/proxy/lumicore.dll
f534e48e2b93db0fad02ffe192275199ffa33b2cd0474e33649737c01bcf3ec2,2344162,2,2344162,desktop/frontend/node_modules/lucide-react/dynamic.d.mts | desktop/frontend/node_modules/lucide-react/dynamic.d.ts
377bc9d664505cd41e908b1b9a128fd670671977b45c3d6b9b14427fdf0ab1de,2342950,2,2342950,desktop/frontend/node_modules/lucide-react/dynamicIconImports.d.mts | desktop/frontend/node_modules/lucide-react/dynamicIconImports.d.ts
957eef94ea669b4ecd74822724ce2737863514be434c0887d629d2b13673f077,310372,2,310372,docs/screenshot_dashboard.png | docs/screenshot_overview.png
a1624f7719922e7ed34a7f1cf042b427896fe937a5f05d7486f294c2141e86bb,98459,4,295377,desktop/frontend/node_modules/react-router/dist/development/index-react-server.d.mts | desktop/frontend/node_modules/react-router/dist/development/index-react-server.d.ts | desktop/frontend/node_modules/react-router/dist/production/index-react-server.d.mts | desktop/frontend/node_modules/react-router/dist/production/index-react-server.d.ts
162126805f95159401e0be43710ce9b90906ba919c18062536bb3cd7ebed1a1b,138056,2,138056,desktop/frontend/node_modules/react-router/dist/development/index-react-server-client-3ykjivgQ.d.ts | desktop/frontend/node_modules/react-router/dist/production/index-react-server-client-3ykjivgQ.d.ts
e3be57f7f73a393f90dd33405f34a2482bbb15a9138ba8a509d825c9d3a56a6f,123589,2,123589,desktop/frontend/node_modules/react-router/dist/development/index-react-server.js | desktop/frontend/node_modules/react-router/dist/production/index-react-server.js
82af2b9064a4b4a2e7bb0e54dc77aa12705010cd3e44730bdc2ef4bdffe06dd8,120342,2,120342,desktop/frontend/node_modules/react-router/dist/development/index-react-server.mjs | desktop/frontend/node_modules/react-router/dist/production/index-react-server.mjs
8653ca53aab1df2d0db9addd8910bed71ba7f7410e93d65238fe3d7591d198f1,98177,2,98177,desktop/frontend/node_modules/react-router/dist/development/index-react-server-client-CACgcj2J.d.mts | desktop/frontend/node_modules/react-router/dist/production/index-react-server-client-CACgcj2J.d.mts
a55766d89a9d135cb37f8fc24551599a6bbf561440d246840b933036109f45a8,68749,2,68749,desktop/frontend/node_modules/react-router/dist/development/data-CjO11-hU.d.ts | desktop/frontend/node_modules/react-router/dist/production/data-CjO11-hU.d.ts
72a039b45105c67380042d128befe594bfa380fad8c3bf68e4cab0d8f6457d3a,68749,2,68749,desktop/frontend/node_modules/react-router/dist/development/data-DEjBmEfD.d.mts | desktop/frontend/node_modules/react-router/dist/production/data-DEjBmEfD.d.mts
0299cd4c2e85ec16254644229b159ef4d0b56224ee71467b551aecc1cb3e2af7,63509,2,63509,desktop/frontend/node_modules/react-router/dist/development/context-CeD5LmaF.d.mts | desktop/frontend/node_modules/react-router/dist/production/context-CeD5LmaF.d.mts
d29e4e10234f57edee15a57dc88d4aac77cd06317f5576f6c299db350de7c2d3,60312,2,60312,desktop/frontend/node_modules/react-router/dist/development/index.d.ts | desktop/frontend/node_modules/react-router/dist/production/index.d.ts
39fa09a5f791fdd81ec5ae3fe717d36f996ad1ae4de1d1ee58c5da0811f618ec,60281,2,60281,desktop/frontend/node_modules/react-router/dist/development/index.d.mts | desktop/frontend/node_modules/react-router/dist/production/index.d.mts
467f221490e2cf3d6f45ac1b9e0ef077ee1a79af99aae5709c5bb183539bbd14,23659,2,23659,desktop/frontend/node_modules/react-router/dist/development/instrumentation-Dkmpzd13.d.ts | desktop/frontend/node_modules/react-router/dist/production/instrumentation-Dkmpzd13.d.ts
61bc9a161de58248288e6905425d7180f0624c2865007b97d763fdac12043a66,9522,3,19044,desktop/frontend/dist/favicon.svg | desktop/frontend/public/favicon.svg | server/internal/webui/dist/favicon.svg
5eba353fe5076ac3432177f8ab1cf75e3afcd0584251e37c3bfead5f447d040e,15648,2,15648,desktop/frontend/node_modules/lightningcss-win32-x64-msvc/LICENSE | desktop/frontend/node_modules/lightningcss/LICENSE
8bd93f3f9f023dbc7d1cb3e0054d5ac3dbb35426ff582666c9ca7de94631fcf4,13054,2,13054,desktop/frontend/node_modules/react-router/dist/development/browser-B2PdsXXH.d.ts | desktop/frontend/node_modules/react-router/dist/production/browser-B2PdsXXH.d.ts
06cc4e070dc56a2f04ae9aef68ed80f5e7521527e4cbaf23d54e7962d14ff48e,13048,2,13048,desktop/frontend/node_modules/react-router/dist/development/browser-DBmQ1yAR.d.mts | desktop/frontend/node_modules/react-router/dist/production/browser-DBmQ1yAR.d.mts
b45fa506195cfcdef406ba9f0c77b36ddc1a7c224040926ec70abc2fdea7b93a,5031,3,10062,desktop/frontend/dist/icons.svg | desktop/frontend/public/icons.svg | server/internal/webui/dist/icons.svg
2be2227c3810dfd84e46674fd33b8d09a4a28ad9cb633ed536effd411665ea1e,10017,2,10017,desktop/frontend/node_modules/magic-string/dist/magic-string.cjs.d.ts | desktop/frontend/node_modules/magic-string/dist/magic-string.es.d.mts
89a50648688f078cc42a5177b6b5dbe8ed5a304439b4b95796a751a702b6f85d,8991,2,8991,desktop/frontend/node_modules/react-router/dist/development/lib/types/internal.d.mts | desktop/frontend/node_modules/react-router/dist/production/lib/types/internal.d.mts
5e830c7a5a0bb5dee1fc7382920399855f36370987104b25d6d45a5cb18d3947,8989,2,8989,desktop/frontend/node_modules/react-router/dist/development/lib/types/internal.d.ts | desktop/frontend/node_modules/react-router/dist/production/lib/types/internal.d.ts
7e29f41b158de217f94cb9676bf9cbd0cd9b5a46e1985141ed36e075c52bf6ad,7520,2,7520,desktop/frontend/node_modules/@types/react/global.d.ts | desktop/frontend/node_modules/@types/react/ts5.0/global.d.ts
14e60ee8d75a62c54e77c84d0d03228f98995469aa12f45acff5c48e98ff9260,7387,2,7387,desktop/frontend/node_modules/@tailwindcss/node/dist/index.d.mts | desktop/frontend/node_modules/@tailwindcss/node/dist/index.d.ts
2e07abf27aa06353d46f4448c0bbac73431f6065eef7113128a5cd804d0c384d,7255,2,7255,desktop/frontend/node_modules/@types/react/experimental.d.ts | desktop/frontend/node_modules/@types/react/ts5.0/experimental.d.ts
5f7a4f9eaf788be51c103d7ee9a265505024aad951d6f19fb2764e954306672e,6999,2,6999,desktop/frontend/node_modules/react-router/dist/development/dom-export.d.ts | desktop/frontend/node_modules/react-router/dist/production/dom-export.d.ts
b57f3a2b0208574be5618e7cb08cbc8420705850bcc7100b112cc06158f34a98,6955,2,6955,desktop/frontend/node_modules/react-router/dist/development/dom-export.d.mts | desktop/frontend/node_modules/react-router/dist/production/dom-export.d.mts
2beff543f6e9a9701df88daeee3cdd70a34b4a1c11cb4c734472195a5cb2af54,6278,2,6278,desktop/frontend/node_modules/@types/react/canary.d.ts | desktop/frontend/node_modules/@types/react/ts5.0/canary.d.ts
84e9a7a30adfbe64e51de98c71cc5b8403f6c1af16301c6f40fc2febc4be6fd3,5129,2,5129,desktop/frontend/node_modules/fdir/dist/index.d.cts | desktop/frontend/node_modules/fdir/dist/index.d.mts
737da79b3269b992ed4aa9a9f799ec85ae0eb5236a3f63125382e52e02e0c832,4688,2,4688,desktop/frontend/node_modules/tinyglobby/dist/index.d.cts | desktop/frontend/node_modules/tinyglobby/dist/index.d.mts
60e0b68c0f35c078eef3a5d29419d0b03ff84ec1df9c3f9d6e39a519a5ae7985,1071,5,4284,desktop/frontend/node_modules/@tailwindcss/node/LICENSE | desktop/frontend/node_modules/@tailwindcss/oxide-win32-x64-msvc/LICENSE | desktop/frontend/node_modules/@tailwindcss/oxide/LICENSE | desktop/frontend/node_modules/@tailwindcss/vite/LICENSE | desktop/frontend/node_modules/tailwindcss/LICENSE
9125aa139cfadc7103a3c369b075b17eebbf4efb0c0c51ae8849b1cae887e492,3566,2,3566,desktop/frontend/node_modules/@jridgewell/trace-mapping/types/types.d.cts.map | desktop/frontend/node_modules/@jridgewell/trace-mapping/types/types.d.mts.map
769d154fbde32a915af110b1123650bc79f4cbe675acc66e005265bf069c6c6c,1080,4,3240,desktop/frontend/node_modules/@jridgewell/gen-mapping/LICENSE | desktop/frontend/node_modules/@jridgewell/remapping/LICENSE | desktop/frontend/node_modules/@jridgewell/sourcemap-codec/LICENSE | desktop/frontend/node_modules/@jridgewell/trace-mapping/LICENSE
7f57fc4404ff020bc45b9c620aff2b40f700b95fe31164024c453a5e3c163c54,933,4,2799,desktop/frontend/node_modules/typescript/lib/lib.dom.asynciterable.d.ts | desktop/frontend/node_modules/typescript/lib/lib.dom.iterable.d.ts | desktop/frontend/node_modules/typescript/lib/lib.webworker.asynciterable.d.ts | desktop/frontend/node_modules/typescript/lib/lib.webworker.iterable.d.ts
d33327e328e3852e571e191e246a23b9875c8c9733297603a50b803321287bd9,2603,2,2603,desktop/frontend/node_modules/@jridgewell/gen-mapping/types/gen-mapping.d.cts.map | desktop/frontend/node_modules/@jridgewell/gen-mapping/types/gen-mapping.d.mts.map
c6b5346cf5fc3d1a8e15c3a9e97915318811e9d365e488dcf3a4f1496534622a,2559,2,2559,desktop/frontend/node_modules/@jridgewell/trace-mapping/types/trace-mapping.d.cts.map | desktop/frontend/node_modules/@jridgewell/trace-mapping/types/trace-mapping.d.mts.map
c2cfccb812fe482101a8f04597dfc5a9991a6b2748266c47ac91b6a5aae15383,1141,3,2282,desktop/frontend/node_modules/@types/node/LICENSE | desktop/frontend/node_modules/@types/react-dom/LICENSE | desktop/frontend/node_modules/@types/react/LICENSE
a45ee7555d019a67fbe092898d1aef0b1d02a9f6679ab84461ff515b4460d706,2252,2,2252,desktop/frontend/node_modules/nanoid/index.d.cts | desktop/frontend/node_modules/nanoid/index.d.ts
da6d3703ed11cbe42bd212c725957c98da23cbff1998c05fa4b3d976d1a58e93,1088,3,2176,desktop/frontend/node_modules/react-dom/LICENSE | desktop/frontend/node_modules/react/LICENSE | desktop/frontend/node_modules/scheduler/LICENSE
a7db79d5cd483c6f6d1a51f4042e32598ec39e2391a5dd5be62a71d59299cda8,1838,2,1838,desktop/frontend/node_modules/@tailwindcss/node/README.md | desktop/frontend/node_modules/tailwindcss/README.md
fb1a7252a8584d4dfcea9b8dde906ec172aa9ca97e6ce854f46eb80d11723852,1688,2,1688,desktop/frontend/node_modules/@jridgewell/remapping/types/source-map-tree.d.cts | desktop/frontend/node_modules/@jridgewell/remapping/types/source-map-tree.d.mts
4d7d964609a07368d076ce943b07106c5ebee8138c307d3273ba1cf3a0c3c751,1569,2,1569,desktop/frontend/node_modules/zustand/esm/vanilla.d.mts | desktop/frontend/node_modules/zustand/vanilla.d.ts
