path,type,depth,size_bytes,extension,language,category,generated_signal,binary,sha256,mode
.gitattributes,file,1,66,,,configuration_or_metadata,False,False,1a1dbe176bc233b499d35a57db7513f2941c99ab9759f177830c9149be99005b,0o644
.github,directory,1,0,,,configuration_or_metadata,False,False,,0o2755
.github/workflows,directory,2,0,,,configuration_or_metadata,False,False,,0o2755
.github/workflows/ci.yml,file,3,6973,.yml,YAML,configuration_or_metadata,False,False,ffcbfa2001bc6cd422d25ce01ad41b6ee9877f04de358ce46da07bdb9611123d,0o644
.github/workflows/release.yml,file,3,10389,.yml,YAML,configuration_or_metadata,False,False,46ba5cdb198c06311e7b058023156d737d15d6c223282495416767836487f5f0,0o644
.gitignore,file,1,5511,,,configuration_or_metadata,False,False,d7f22089b4db054f487a706b1a4250e4c1624a83e15cebb62298c14cf9d35c95,0o644
.goreleaser.yaml,file,1,1731,.yaml,YAML,configuration_or_metadata,False,False,e456c78a7cadbe8f51569ba97d3a3c87b81f73f406ed9278270ec7078d76f1c3,0o644
.impeccable,directory,1,0,,,configuration_or_metadata,False,False,,0o2755
.impeccable/live,directory,2,0,,,configuration_or_metadata,False,False,,0o2755
client,directory,1,0,,,source,False,False,,0o2755
client/android,directory,2,0,,,source,False,False,,0o2755
client/android/app,directory,3,0,,,source,False,False,,0o2755
client/android/app/src,directory,4,0,,,source,False,False,,0o2755
client/android/app/src/main,directory,5,0,,,source,False,False,,0o2755
client/android/app/src/main/kotlin,directory,6,0,,,source,False,False,,0o2755
client/android/app/src/main/kotlin/com,directory,7,0,,,source,False,False,,0o2755
client/android/app/src/main/kotlin/com/luminet,directory,8,0,,,source,False,False,,0o2755
client/android/app/src/main/kotlin/com/luminet/zedsecure,directory,9,0,,,source,False,False,,0o2755
client/android/app/src/main/kotlin/com/luminet/zedsecure/CleanIPScanManager.kt,file,10,10009,.kt,Kotlin,source,False,False,dea4dd6dee115b37929c06413bc05048ac0767a9d618598c1069a456fcbd99fc,0o644
client/android/app/src/main/kotlin/com/luminet/zedsecure/ZedSecureClient.kt,file,10,24450,.kt,Kotlin,source,False,False,ef30b9fd7cc6e1cc21abb2f955e116f01907e0b398777e985cb3412919541295,0o644
client/bindings,directory,2,0,,,source,False,False,,0o2755
client/bindings/bindings.go,file,3,1371,.go,Go,source,False,False,a01aacc2150976bad93592a7dd0544a0dfacfbb0e5154eb7c5e091a85057b982,0o644
client/go.mod,file,2,55,.mod,,configuration_or_manifest,False,False,272ad729c6d09b2a2a155065450c64f1b2e2923fd2bf5d523924e5c1688fb776,0o644
client/mobile,directory,2,0,,,source,False,False,,0o2755
client/mobile/bindings.go,file,3,885,.go,Go,source,False,False,29a18ddc06cfac66402648820c0ac8cd1ac3da7296958827e22fa71730588e26,0o644
client/mobile/bindings_test.go,file,3,804,.go,Go,source,False,False,263cac4ccf498215008371a44e094e65c59744bae0ff7218b5cd2973ef247c87,0o644
client/platform,directory,2,0,,,source,False,False,,0o2755
client/platform/socket_protector.go,file,3,1360,.go,Go,source,False,False,f14d06ce407427d42dccdfc6d7b6f0714435bce79ba7587fd76ab0106f00e316,0o644
