donor,archive,archive_sha256,member_count,file_surfaces,directories,symbols,license,archive_issues,semantic_record_ids,disposition_summary
AgentDNS-main,AgentDNS-main.zip,add33e8ac55099939a21258081c4beb9d6b2859f0cbef000cdabf71dcf15c608,16,13,3,26,"no explicit LICENSE in archive; README claims MIT, treated as unverified/no-license for source reuse",none (validated before extraction: no absolute/traversal/device/duplicate/case-collision/decompression-bound issue),E8-0020,complete eighth-order evidence graph; every file/symlink and parsed symbol resolved
DNS-Persist-master,DNS-Persist-master.zip,0396f84ecbd482d9e84ca7b9862513fdf5475740dfb7854e4cbebf2adedb0778,35,30,5,69,MIT,none (validated before extraction: no absolute/traversal/device/duplicate/case-collision/decompression-bound issue),E8-0027,complete eighth-order evidence graph; every file/symlink and parsed symbol resolved
Go-netowrking-tools-main,Go-netowrking-tools-main.zip,08c1cd69049b710afae52cffd390d7ac4a64046aaf69d08f288f30997926125d,13,5,8,8,no explicit license,none (validated before extraction: no absolute/traversal/device/duplicate/case-collision/decompression-bound issue),E8-0021,complete eighth-order evidence graph; every file/symlink and parsed symbol resolved
GodMode-main,GodMode-main.zip,b5dc0d8ab15ee4d702166a2ac80baa8b0cddc25b13bdaac0277f62405a94fea4,157,130,27,117,MIT,none (validated before extraction: no absolute/traversal/device/duplicate/case-collision/decompression-bound issue),E8-0022,complete eighth-order evidence graph; every file/symlink and parsed symbol resolved
InterceptSuite-main,InterceptSuite-main.zip,cc1b8f5a1c2c52aa7b26730b9f265a0e3a01546024db1d2e0768f887660a75c4,3,2,1,0,no explicit license,none (validated before extraction: no absolute/traversal/device/duplicate/case-collision/decompression-bound issue),E8-0029,complete eighth-order evidence graph; every file/symlink and parsed symbol resolved
InviZible-master,InviZible-master.zip,a4a2dbd2b99f1a618452b4f5bfb441809b39c686e0bbd6d772887f03a65573de,1563,1248,315,930,GPL-family copyleft; target uses independent target-native semantics only,none (validated before extraction: no absolute/traversal/device/duplicate/case-collision/decompression-bound issue),E8-0009;E8-0010,complete eighth-order evidence graph; every file/symlink and parsed symbol resolved
Se7en-Pro-1.0.0,Se7en-Pro-1.0.0.zip,39cd04fdc9b0c63e1c9315c47d9519e46c842bb5ee46feb4f237b26e237a0772,199,143,27,78,MIT,none (validated before extraction: no absolute/traversal/device/duplicate/case-collision/decompression-bound issue),E8-0006;E8-0007;E8-0008,complete eighth-order evidence graph; every file/symlink and parsed symbol resolved
Subnet-Divider-main,Subnet-Divider-main.zip,4821c3c767b80e3008d3c36894ee8727426ef7ff909a9fa58e8bdc08295dafb0,3,2,1,3,no explicit license,none (validated before extraction: no absolute/traversal/device/duplicate/case-collision/decompression-bound issue),E8-0023,complete eighth-order evidence graph; every file/symlink and parsed symbol resolved
V2RayN-PRO-main(1),V2RayN-PRO-main(1).zip,5e5e3162c6aa3d2311266d738e396a9a15e7c68a9d06fbd2217e5dfd8c65589d,72,61,11,0,GPL-family copyleft plus bundled third-party binaries/notices; target does not copy source/binaries,none (validated before extraction: no absolute/traversal/device/duplicate/case-collision/decompression-bound issue),E8-0024,complete eighth-order evidence graph; every file/symlink and parsed symbol resolved
V2ray-for-Doprax-main(1),V2ray-for-Doprax-main(1).zip,9395bd68bccfd6f86c80656285061a9da863fb98f20aeca3f8ba9035eedb3f37,11,9,2,0,no explicit root license in archive,none (validated before extraction: no absolute/traversal/device/duplicate/case-collision/decompression-bound issue),E8-0025,complete eighth-order evidence graph; every file/symlink and parsed symbol resolved
