donor,license_posture,source_reuse_policy,archive_sha256
AgentDNS-main,"no explicit LICENSE in archive; README claims MIT, treated as unverified/no-license for source reuse",no direct source reuse; concepts/negative evidence/reference only,add33e8ac55099939a21258081c4beb9d6b2859f0cbef000cdabf71dcf15c608
DNS-Persist-master,MIT,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply",0396f84ecbd482d9e84ca7b9862513fdf5475740dfb7854e4cbebf2adedb0778
Go-netowrking-tools-main,no explicit license,no direct source reuse; concepts/negative evidence/reference only,08c1cd69049b710afae52cffd390d7ac4a64046aaf69d08f288f30997926125d
GodMode-main,MIT,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply",b5dc0d8ab15ee4d702166a2ac80baa8b0cddc25b13bdaac0277f62405a94fea4
InterceptSuite-main,no explicit license,no direct source reuse; concepts/negative evidence/reference only,cc1b8f5a1c2c52aa7b26730b9f265a0e3a01546024db1d2e0768f887660a75c4
InviZible-master,GPL-family copyleft; target uses independent target-native semantics only,no direct donor source reuse for eighth-order changes; independent target-native rederivation/evidence only unless pre-existing compatible boundary already exists,a4a2dbd2b99f1a618452b4f5bfb441809b39c686e0bbd6d772887f03a65573de
Se7en-Pro-1.0.0,MIT,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply",39cd04fdc9b0c63e1c9315c47d9519e46c842bb5ee46feb4f237b26e237a0772
Subnet-Divider-main,no explicit license,no direct source reuse; concepts/negative evidence/reference only,4821c3c767b80e3008d3c36894ee8727426ef7ff909a9fa58e8bdc08295dafb0
V2RayN-PRO-main(1),GPL-family copyleft plus bundled third-party binaries/notices; target does not copy source/binaries,no direct donor source reuse for eighth-order changes; independent target-native rederivation/evidence only unless pre-existing compatible boundary already exists,5e5e3162c6aa3d2311266d738e396a9a15e7c68a9d06fbd2217e5dfd8c65589d
V2ray-for-Doprax-main(1),no explicit root license in archive,no direct source reuse; concepts/negative evidence/reference only,9395bd68bccfd6f86c80656285061a9da863fb98f20aeca3f8ba9035eedb3f37
coredns-master,Apache-2.0,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply",99a1da842b6a5144590f526e7fe65835077255bc17c2f413aaefddc9c3d030f9
dns-over-https-proxy-master,Apache-2.0,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply",2aa075051e81ed0daae1d3bb3db666e16a9b4e4358f5b16043caed40bcfee84f
firewalla-master,AGPL-3.0; target independently rederives selected semantics,no direct donor source reuse for eighth-order changes; independent target-native rederivation/evidence only unless pre-existing compatible boundary already exists,3b2a30af746488484b4d7a0c6b335a20e268dfe07565ac7c598bbfab57083b04
ftpscan-master,no explicit license,no direct source reuse; concepts/negative evidence/reference only,d6f7a61feaceb4205291070d20e4ba540af635c62afdd5e3e1970124e7fa2051
godnsagent-master(1),MIT,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply",ff39d81b6cb5a1dd4269526efd121691d1b4cc8d9e2635c0f767fcfd70a1ff69
lossyconn-master,MIT,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply",b2ed9ec6f403bed4a8bdfb2d4c7149a12b83715c4458837df9320afecec97b02
openssl-cffi-master,Apache-2.0,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply",99322671d546b84e1076ae304eabc1ddfd9edc600129f62beff52bbf14b4530a
sing-geoip-main,GPL-family copyleft; target does not copy generator source,no direct donor source reuse for eighth-order changes; independent target-native rederivation/evidence only unless pre-existing compatible boundary already exists,3f7a90618be692321dada33b8ca52aa27571a157a38530d3ea063356bc8d13f7
sing-geosite-main,GPL-family copyleft; target does not copy generator source,no direct donor source reuse for eighth-order changes; independent target-native rederivation/evidence only unless pre-existing compatible boundary already exists,f054fa0081b791fc0787e9dd94404c54334a5b9edc46aebae38ace01c68e6001
sysproxy-main,MIT,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply",61a7ee336866edf6c019c473a74dbccf87a19929b41e3eb7b79748021e6f88db
unique-queue-master,no explicit license,no direct source reuse; concepts/negative evidence/reference only,d2d7a3181b38df8464d37f0e17552b8347ee82d912232b08bd5f4ca08857b019
v2rayng-panel-main(1),no explicit license,no direct source reuse; concepts/negative evidence/reference only,fe7b75817fc8cdc62c16025affd05327c39ec086508f551b394358017a83a454
vps-warp-main(1),MIT,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply",4466f36e5c9084a472f55b1b3cbd6ce93dfdac39b38c9213e2e5ef29f08c044c
