donor,path,sha256,size_bytes,file_type,classification,language,authority_status,semantic_record_ids,notes
AgentDNS-main,CHANGELOG.md,cb2d6fdf505c60bf44baa57028c575fc4bbc9f8f8776863da263c5fc08cb33a5,921,file,documentation,markdown,donor-evidence,E8-0030,resolved-by-eighth-order-ledger
AgentDNS-main,Dockerfile,e60cb637f3937df3f54ef7a7545c1159d168b6a04df8ccd6b1258d6a71050f24,688,file,deployment,unknown,donor-evidence,E8-0030,resolved-by-eighth-order-ledger
AgentDNS-main,README.md,88f46cb78f03764bacea952b405a2e566a6e8168655d224373110080489ccfb2,3725,file,documentation,markdown,donor-evidence,E8-0030,resolved-by-eighth-order-ledger
AgentDNS-main,README.zh.md,086c96ef7a61a4acd4a3abd4b45df0b7c3b4ef160e77656d91a5d613ef9c318c,3557,file,documentation,markdown,donor-evidence,E8-0030,resolved-by-eighth-order-ledger
AgentDNS-main,agent.py,0e47903c5c08e67621683c65c3924883db5c43cb92082c4ad9b94acd497397fe,604,file,implementation,python,donor-evidence,E8-0030,resolved-by-eighth-order-ledger
AgentDNS-main,app.py,e21ad90b944cfd9ba78f160139ea5262c395ad107f25b041a2559631264f1d65,15492,file,implementation,python,donor-evidence,E8-0030;E8-0020,resolved-by-eighth-order-ledger
AgentDNS-main,auth.py,860b85322619554aec37caa5a0fb52b98c5038ddb867a4c8bf360ba043280cd7,1185,file,implementation,python,donor-evidence,E8-0030,resolved-by-eighth-order-ledger
AgentDNS-main,config.py,fb7970854ee2092e39b2d11e5246d024b207b9adde936cce06a77389a759c3cb,1209,file,implementation,python,donor-evidence,E8-0030,resolved-by-eighth-order-ledger
AgentDNS-main,database.py,3361638642662dd76a30745cb0b4b0dc2a8105e7c8daf955eaa46816e8a4c4e3,2497,file,implementation,python,donor-evidence,E8-0030,resolved-by-eighth-order-ledger
AgentDNS-main,deployment/agentdns.yaml,a71c51a1554aa02fe022980b64b824a93d7a06eab4bd2a2271ff65ca33f3fe5d,1240,file,deployment,yaml,donor-evidence,E8-0031,resolved-by-eighth-order-ledger
AgentDNS-main,deployment/nginx.yaml,914440b252d3af145556adef62015253374221a216d911436e6e674b01199452,4749,file,deployment,yaml,donor-evidence,E8-0031,resolved-by-eighth-order-ledger
AgentDNS-main,log.py,feaf4fdff3f37b5bd04750937edc5dcf9b252d4b6f8f11f77e08f51a2b880ba2,1326,file,implementation,python,donor-evidence,E8-0030,resolved-by-eighth-order-ledger
AgentDNS-main,resources/icon.png,3829c3b87b812cdc75f1543d10e19fbfb0e0c46e5afe2e98fb63f08673420824,142038,file,media,unknown,donor-evidence,E8-0032,resolved-by-eighth-order-ledger
DNS-Persist-master,.gitignore,d947439bc814849a5324c22f9bb4445144cb90cb89c5b597b7b978e420fe9ed6,138,file,implementation,unknown,donor-evidence,E8-0033,resolved-by-eighth-order-ledger
DNS-Persist-master,Agent/Agent.sln,712425f3d6ec728d2646a24c237ac85d94bc117e111e9c8ae1620a47f7027731,867,file,implementation,unknown,donor-evidence,E8-0034,resolved-by-eighth-order-ledger
DNS-Persist-master,Agent/Agent/Agent.aps,978b418ca7338222838e8cba29264ac194101f1a6f7b6a676f5d1a4a29190ccb,46548,file,implementation,unknown,donor-evidence,E8-0034,resolved-by-eighth-order-ledger
DNS-Persist-master,Agent/Agent/Agent.rc,d2c2d28ac619b2261ef6943f8047ae0d260507f165e2511ce7e8a7003eb8cf2a,3056,file,implementation,unknown,donor-evidence,E8-0034,resolved-by-eighth-order-ledger
DNS-Persist-master,Agent/Agent/Agent.vcxproj,36a6ce730814c78ea947bbaeb0a78a240852966533fd01f0daf5b928340d8e8a,3886,file,implementation,unknown,donor-evidence,E8-0034,resolved-by-eighth-order-ledger
