path,change_type,seventh_order_sha256,current_sha256,accountability_class,eighth_order_record_ids,reason,verification_node
Makefile,modified,391f42d5f1b7539e9f7d5740414bac0202582ee7f863fa8206427930827895c0,ca7017bc9109d07dd7aa452da85a06544d68f4051a0c9c6173f9029b3543d85c,verification-entrypoint,n/a,Wire the eighth-order convergence gate into the canonical repository verification entrypoint.,scripts/checks/check_eighth_order_convergence.py#main
docs/current-system.md,modified,2564bd0f8fc1f7f50ac22ee1a374fafaa307f689741442e23150985bf1d027ff,4ab4cf2375086f8b5cf7b9e3d3fc5adf9a0d48976a78d29d739c5a0ddde01c5e,documentation,n/a,"Document the eighth-order target-native convergence, authority ownership, validation boundary, and evidence index.",scripts/checks/check_eighth_order_convergence.py#main
governance/convergence/README.md,modified,4b0406a3e3900e2629938aa35c50591ef95337f70816da41c19a955fa1420a93,afb41f5a855701017e7e45104bcda2cfa7950b667f25682b4618bd72c995e6d4,documentation,n/a,"Document the eighth-order target-native convergence, authority ownership, validation boundary, and evidence index.",scripts/checks/check_eighth_order_convergence.py#main
governance/convergence/eighth-order-adoption-ledger.csv,added,n/a,b750489ac72e8495af459dd255244aa3088306dbf99bb03b6476663f21c383d9,convergence-evidence,n/a,"Add deterministic eighth-order provenance, accountability, disposition, supersession, repair, validation, and omission evidence.",scripts/checks/check_eighth_order_convergence.py#main
governance/convergence/eighth-order-baseline-files.csv,added,n/a,f61eaaa6e4bfc4a25d63626822ecd648a5a8308b7db584e2eabc87b6168ac01f,convergence-evidence,n/a,"Add deterministic eighth-order provenance, accountability, disposition, supersession, repair, validation, and omission evidence.",scripts/checks/check_eighth_order_convergence.py#main
governance/convergence/eighth-order-directories.csv,added,n/a,88c1106fe515c52b3e381a269089037d235a9797ac21297cb7bb34fa1c8169e3,convergence-evidence,n/a,"Add deterministic eighth-order provenance, accountability, disposition, supersession, repair, validation, and omission evidence.",scripts/checks/check_eighth_order_convergence.py#main
governance/convergence/eighth-order-donors.csv,added,n/a,b8e66d0ceae1db56b2e1f96a0ab3101c6a105dfdfd1b8a04da2422792accf98f,convergence-evidence,n/a,"Add deterministic eighth-order provenance, accountability, disposition, supersession, repair, validation, and omission evidence.",scripts/checks/check_eighth_order_convergence.py#main
governance/convergence/eighth-order-license-map.csv,added,n/a,b271b053788c241c1a61dd7f342d1b0fb6bf81018c46223c27cf8eda75237bbc,convergence-evidence,n/a,"Add deterministic eighth-order provenance, accountability, disposition, supersession, repair, validation, and omission evidence.",scripts/checks/check_eighth_order_convergence.py#main
governance/convergence/eighth-order-modules.csv,added,n/a,3deac0b65971bee68dafebacb50a9fa8354eef50d4f966edb4fe7cc12be8f38c,convergence-evidence,n/a,"Add deterministic eighth-order provenance, accountability, disposition, supersession, repair, validation, and omission evidence.",scripts/checks/check_eighth_order_convergence.py#main
governance/convergence/eighth-order-omission-audit.md,added,n/a,fa9afcffb898e02ea203305e9936a4df3342bae2ca7af60f770d1f0d056f153c,convergence-evidence,n/a,"Add deterministic eighth-order provenance, accountability, disposition, supersession, repair, validation, and omission evidence.",scripts/checks/check_eighth_order_convergence.py#main
governance/convergence/eighth-order-peer-synthesis.md,added,n/a,64dfd5d0fc24a53ad6b2ea2a5b763fb0f4b8a060c5f243f5029b71632c34131d,convergence-evidence,n/a,"Add deterministic eighth-order provenance, accountability, disposition, supersession, repair, validation, and omission evidence.",scripts/checks/check_eighth_order_convergence.py#main
governance/convergence/eighth-order-source-identity.md,added,n/a,eac0acaac96831d01b789519f285622e8d29d2f5484bee9455f7d7982f8160ad,convergence-evidence,n/a,"Add deterministic eighth-order provenance, accountability, disposition, supersession, repair, validation, and omission evidence.",scripts/checks/check_eighth_order_convergence.py#main
governance/convergence/eighth-order-supersession-map.csv,added,n/a,f47a0c2c0f27b454d7409563dd452733e5a745dc914c96de299ca372139c0ad8,convergence-evidence,n/a,"Add deterministic eighth-order provenance, accountability, disposition, supersession, repair, validation, and omission evidence.",scripts/checks/check_eighth_order_convergence.py#main
governance/convergence/eighth-order-surfaces.csv,added,n/a,2eda6180f84da2c8f4b04428e31076cc7de9deff9f550103560ce5276dac2f8d,convergence-evidence,n/a,"Add deterministic eighth-order provenance, accountability, disposition, supersession, repair, validation, and omission evidence.",scripts/checks/check_eighth_order_convergence.py#main
governance/convergence/eighth-order-symbols.csv,added,n/a,438360df564bd267c031b26c72141d8238251d2f3286a6809b971eaef79a1498,convergence-evidence,n/a,"Add deterministic eighth-order provenance, accountability, disposition, supersession, repair, validation, and omission evidence.",scripts/checks/check_eighth_order_convergence.py#main
governance/convergence/eighth-order-target-repairs.csv,added,n/a,4271ab2007c94bb242cafd34a348ca2d4db6a32fe771fd322a522a7683d97239,convergence-evidence,n/a,"Add deterministic eighth-order provenance, accountability, disposition, supersession, repair, validation, and omission evidence.",scripts/checks/check_eighth_order_convergence.py#main
governance/convergence/eighth-order-validation.md,added,n/a,b304321a7325d0e2a1d44252ecb659aad89593b46b3f537c4243b78516af2532,convergence-evidence,n/a,"Add deterministic eighth-order provenance, accountability, disposition, supersession, repair, validation, and omission evidence.",scripts/checks/check_eighth_order_convergence.py#main
governance/convergence/fourth-order-semantic-reversal.csv,modified,787fe5229e3a7b60fd69bf111bdbd8c4c0337340faf330f3c320285f2c23cda1,640e13666d90821f857e04f920dce181ea213d0475a6fae9dd617905a48afbfd,historical-evidence-refresh,E8-0006,Refresh SEM014 current target evidence to the eighth-order stable-ready restart-debt owner without changing its historical donor identity or prior disposition.,scripts/checks/check_fourth_order_convergence.py#main
governance/convergence/peer-adoption-ledger.csv,modified,4f8d6965ef1ec61f3dda3d8cbce03acee6ae57993be15245e91c486b5a67af3f,3707e1eb5b4087e7a63c4c35776ccd06df5608fe5209ea2b89db3162a5b7912a,historical-evidence-refresh,E8-0006,Refresh the active SEM014 current-target ownership/evidence to the eighth-order stable-ready supervisor semantics while preserving donor provenance and record identity.,scripts/checks/check_peer_convergence.py#main
