path,change_type,accountability_class,fifth_order_record_ids,reason,verification_node,fourth_order_sha256,current_sha256
Makefile,modified,verification-wiring,n/a,Attach fifth-order convergence checker to canonical verify-repo,scripts/checks/check_fifth_order_convergence.py#main,700002151d96b25338605f3d16cfcd8d89d3f5b785b9c5661d2ebba29f76105f,2993b0b65a9c5693ca3dd93732ff8ecf9a18b6c960b67fc0a7905d8a6211f05b
governance/convergence/fifth-order-adoption-ledger.csv,added,governance-evidence,n/a,"Add immutable fifth-order baseline, promotion review, adoption ledger and validation evidence",scripts/checks/check_fifth_order_convergence.py#main,n/a,2fde07a52ec1b15efe175d7f0af66603aec3014b357a19f9711fbe0bd4bfcd18
governance/convergence/fifth-order-baseline-files.csv,added,governance-evidence,n/a,"Add immutable fifth-order baseline, promotion review, adoption ledger and validation evidence",scripts/checks/check_fifth_order_convergence.py#main,n/a,dc330606d4b326899aecf377aba8b208fb903264d6db4806b47fbe3878f07b37
governance/convergence/fifth-order-promotion-review.csv,added,governance-evidence,n/a,"Add immutable fifth-order baseline, promotion review, adoption ledger and validation evidence",scripts/checks/check_fifth_order_convergence.py#main,n/a,46f12bc5623f1046b299010a7f16aa70b02a5bf3cfa2680852fa4836573552d5
governance/convergence/fifth-order-validation.md,added,governance-evidence,n/a,"Add immutable fifth-order baseline, promotion review, adoption ledger and validation evidence",scripts/checks/check_fifth_order_convergence.py#main,n/a,b48b9f681667fa8504ac47a94e49fc45d8ade1dc63f40383cb6477534efee1bb
governance/topology/relocations.json,modified,topology-accountability,n/a,Authorize exact semantic evolution of relocated control UI files touched by fifth-order product promotion,scripts/checks/verify_repository_topology.py#main,04d85926b5a6d5904172ed58a4142ac04fa531af9f0b0e60864467a05d525a4a,515ba2ef2a86f82022dbf85e65f10e6e4b0272a0ff01843d51b34d063bc5b98a
scripts/checks/check_fifth_order_convergence.py,added,verification-gate,n/a,Add exact fifth-order promotion/evidence/delta and feature-invariant gate,scripts/checks/check_fifth_order_convergence.py#main,n/a,a3b3eb9a5357a19828704c385195baa0135c57f262c339abf15143bc7f17658b
scripts/checks/check_fourth_order_convergence.py,modified,historical-receipt-wiring,n/a,Validate immutable fourth-order receipt against the fifth-order predecessor snapshot rather than successor edits,scripts/checks/check_fourth_order_convergence.py#SUCCESSOR_BASELINE,d574368c4c4e5b241d6b269ba44c45700005b5f58f1140081902256a6a5c81c7,3fb6cfb511285abf39dda9572e9f94bc0404d4548aa3849158c235096a5f05bb
src/apps/daemon/internal/adapters/api/handlers_port_preflight.go,added,operator-preflight,F5-002,Promote local TCP port collision preflight through system owner and API,src/apps/daemon/internal/platform/system/port_preflight_test.go#TestCheckLocalTCPPortReportsOccupiedAndFree,n/a,7ea73a3f00509b90af2b321501ad56b63c5931078bfdaca8b9fcbd0d82d06975
src/apps/daemon/internal/adapters/api/handlers_system_engines.go,modified,runtime-capability,F5-001,"Promote SSTP as a first-class runtime engine with availability probing, rich profile fields and process-tree lifecycle",src/apps/daemon/internal/runtime/runtimecore/sstp_engine_test.go#TestSSTPEngineStartsAndStopsExternalClient,c4620c298c19a4672c2b8317dd93bc5f5a04b2092d26680f4a6cfd3885d17bb5,bf28fd4193cde709b6b8e2ce0a1138e76c7cfce9f6fa120e7e6e80f2e69f1131
