donor,category,path,line,excerpt
3xui-telegram-bot-main,proxy_tunnel,main.py,9,from aiogram.fsm.storage.memory import MemoryStorage
3xui-telegram-bot-main,proxy_tunnel,main.py,11,from aiogram.fsm.storage.redis import RedisStorage
3xui-telegram-bot-main,proxy_tunnel,main.py,30,if cfg.proxy_enabled:
3xui-telegram-bot-main,proxy_tunnel,main.py,31,"session = AiohttpSession(proxy=f""socks5://{cfg.proxy_host}:{cfg.proxy_port}"")"
3xui-telegram-bot-main,proxy_tunnel,main.py,32,"logger.info(""Using SOCKS5 proxy: %s:%s"", cfg.proxy_host, cfg.proxy_port)"
3xui-telegram-bot-main,proxy_tunnel,main.py,35,"logger.info(""No proxy configured - connecting directly"")"
3xui-telegram-bot-main,proxy_tunnel,main.py,43,storage = MemoryStorage()
3xui-telegram-bot-main,proxy_tunnel,main.py,44,dp = Dispatcher(storage=storage)
3xui-telegram-bot-main,persistence_queue,main.py,17,from database import init_db
3xui-telegram-bot-main,scanning_diag,main.py,1,from __future__ import annotations
3xui-telegram-bot-main,scanning_diag,main.py,2,import asyncio
3xui-telegram-bot-main,scanning_diag,main.py,3,import logging
3xui-telegram-bot-main,scanning_diag,main.py,5,"from aiogram import Bot, Dispatcher"
3xui-telegram-bot-main,scanning_diag,main.py,6,from aiogram.client.default import DefaultBotProperties
3xui-telegram-bot-main,scanning_diag,main.py,7,from aiogram.client.session.aiohttp import AiohttpSession
3xui-telegram-bot-main,scanning_diag,main.py,8,from aiogram.enums import ParseMode
3xui-telegram-bot-main,scanning_diag,main.py,9,from aiogram.fsm.storage.memory import MemoryStorage
3xui-telegram-bot-main,observability,main.py,3,import logging
3xui-telegram-bot-main,observability,main.py,21,logging.basicConfig(
3xui-telegram-bot-main,observability,main.py,22,"level=logging.INFO,"
3xui-telegram-bot-main,observability,main.py,25,logger = logging.getLogger(__name__)
3xui-telegram-bot-main,observability,main.py,32,"logger.info(""Using SOCKS5 proxy: %s:%s"", cfg.proxy_host, cfg.proxy_port)"
3xui-telegram-bot-main,observability,main.py,35,"logger.info(""No proxy configured - connecting directly"")"
3xui-telegram-bot-main,observability,main.py,56,"logger.info(""Bot started - FSM states cleared (MemoryStorage)"")"
3xui-telegram-bot-main,observability,main.py,58,"logger.info(""Starting bot | proxy=%s:%s"", cfg.proxy_host, cfg.proxy_port)"
3xui-telegram-bot-main,mobile_ui,main.py,19,"from handlers import admin, admin_extra, start, wallet, trial, purchase, services"
3xui-telegram-bot-main,mobile_ui,main.py,53,dp.include_router(services.router)
3xui-telegram-bot-main,mobile_ui,main.py,68,from services.panel import panel
3xui-telegram-bot-main,mobile_ui,main.py,69,await panel.close()
3xui-telegram-bot-main,deployment_ops,main.py,2,import asyncio
3xui-telegram-bot-main,deployment_ops,main.py,19,"from handlers import admin, admin_extra, start, wallet, trial, purchase, services"
3xui-telegram-bot-main,deployment_ops,main.py,53,dp.include_router(services.router)
3xui-telegram-bot-main,deployment_ops,main.py,62,import asyncio as _asyncio
3xui-telegram-bot-main,deployment_ops,main.py,63,_asyncio.create_task(reminder_loop(bot))
3xui-telegram-bot-main,deployment_ops,main.py,64,_asyncio.create_task(payment_reminder_loop(bot))
3xui-telegram-bot-main,deployment_ops,main.py,68,from services.panel import panel
3xui-telegram-bot-main,deployment_ops,main.py,73,asyncio.run(main())
3xui-telegram-bot-main,security_boundary,main.py,38,"token=cfg.bot_token,"
3xui-telegram-bot-main,proxy_tunnel,README.md,3,ربات فروش خودکار سرویس VPN برای تلگرام، متصل به پنل **3X-UI**. کاربران می‌توانند سرویس بخرند، تست رایگان بگیرند، کیف پول شارژ کنند، سرویس‌های خود را مدیریت و تمدید کنند — همه به‌صورت خودکار و بدون نیاز به دخالت دستی ادمین (به‌جز تایید پرداخت‌های کارت‌به‌کارت).
3xui-telegram-bot-main,proxy_tunnel,README.md,37,- 🌐 پشتیبانی از **پروکسی SOCKS5** برای دور زدن تحریم (اختیاری، برای سرورهای ایران)
3xui-telegram-bot-main,proxy_tunnel,README.md,39,- 🖥️ ابزار مدیریت خط‌فرمان اختصاصی: **`vpn-bot`**
3xui-telegram-bot-main,proxy_tunnel,README.md,44,## 🖥️ ابزار مدیریت `vpn-bot`
3xui-telegram-bot-main,proxy_tunnel,README.md,46,بعد از نصب، با اجرای دستور `vpn-bot` یک پنل کنترل کامل در ترمینال باز می‌شود:
3xui-telegram-bot-main,proxy_tunnel,README.md,50,║          🤖  VPN Sales Bot — Control Panel         ║
3xui-telegram-bot-main,proxy_tunnel,README.md,62,9)  ♻️  Restore from backup
3xui-telegram-bot-main,proxy_tunnel,README.md,65,"12) 🩺 Health check (panel, proxy, token)"
3xui-telegram-bot-main,persistence_queue,README.md,36,- 🗄️ دیتابیس **SQLite** با ایندکس‌گذاری بهینه برای سرعت بالا
3xui-telegram-bot-main,persistence_queue,README.md,63,10) 📈 Quick database stats
