record_id,donor,path,sha256,size_bytes,file_type,language,classification,authority_status,module_id,module_role,module_disposition,semantic_record_ids,notes,fourth_order_record_ids,current_resolution,review_rationale,review_status
SURF-aether-dcbe8b6840534003,Aether,.dockerignore,95c73db974ebb594b27f361cca210185b360b27bf24fa1d618271777ac161e56,112,none,unknown,implementation,authoritative-or-review-required,aether-root,documentation-build,reference-only,SURF-aether-dcbe8b6840534003,n/a,n/a,resolved-live-by-semantic-review,Exact bytes remain pinned by SHA-256 and were re-reviewed under module aether-root. All semantic children re-evaluated against the frozen third-wave target: SEM087 -> synthesized. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
SURF-aether-86b034d721fd6663,Aether,.github/workflows/release.yml,0d729015aa5c7734b69e4bc8c06d057c3dd9701776365c12fe83b436c465aa0a,27730,yml,yaml,repository-administration,authoritative-or-review-required,aether-root,documentation-build,reference-only,SURF-aether-86b034d721fd6663,n/a,n/a,resolved-live-by-semantic-review,Exact bytes remain pinned by SHA-256 and were re-reviewed under module aether-root. All semantic children re-evaluated against the frozen third-wave target: SEM087 -> synthesized. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
SURF-aether-05ac49124f16434c,Aether,.gitignore,26e2206f8c6d7275ab6f4f3cdf43f00950f90c8004e2b859ff143187280dc072,462,none,unknown,implementation,authoritative-or-review-required,aether-root,documentation-build,reference-only,SURF-aether-05ac49124f16434c,n/a,n/a,resolved-live-by-semantic-review,Exact bytes remain pinned by SHA-256 and were re-reviewed under module aether-root. All semantic children re-evaluated against the frozen third-wave target: SEM087 -> synthesized. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
SURF-aether-18f3f73a38678995,Aether,Dockerfile,857e61df4a8eedaee1ad5e8c67b9cd9f59604e1cd40c8fe9a61005d79ff28266,512,none,unknown,deployment,authoritative-or-review-required,aether-root,documentation-build,reference-only,SURF-aether-18f3f73a38678995,n/a,n/a,resolved-live-by-semantic-review,Exact bytes remain pinned by SHA-256 and were re-reviewed under module aether-root. All semantic children re-evaluated against the frozen third-wave target: SEM087 -> synthesized. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
SURF-aether-c8a810749557f611,Aether,Docs/Aether.png,3851b13048bd2bb36aac5a336b92f8a716abe6b92ef1db45a4bef35eac89e10b,1729959,png,unknown,media,authoritative-or-review-required,aether-root,documentation-build,reference-only,SURF-aether-c8a810749557f611,n/a,n/a,resolved-live-by-semantic-review,Exact bytes remain pinned by SHA-256 and were re-reviewed under module aether-root. All semantic children re-evaluated against the frozen third-wave target: SEM087 -> synthesized. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
SURF-aether-984bafa6ba72523c,Aether,Docs/DOCS.en.md,908b5551af03e9f9ef4af68556bf4a443cd21f0e68f6ff13eb6ebdcf5fa0eff9,25514,md,markdown,documentation,authoritative-or-review-required,aether-root,documentation-build,reference-only,SURF-aether-984bafa6ba72523c,n/a,n/a,resolved-live-by-semantic-review,Exact bytes remain pinned by SHA-256 and were re-reviewed under module aether-root. All semantic children re-evaluated against the frozen third-wave target: SEM087 -> synthesized. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
SURF-aether-c6063e3fd5970c32,Aether,Docs/DOCS.fa.md,75f93eb4a45b9d793196628ddae41eb6cfe84832d3cb82f1d23e6baeef3de7ba,40473,md,markdown,documentation,authoritative-or-review-required,aether-root,documentation-build,reference-only,SURF-aether-c6063e3fd5970c32,n/a,n/a,resolved-live-by-semantic-review,Exact bytes remain pinned by SHA-256 and were re-reviewed under module aether-root. All semantic children re-evaluated against the frozen third-wave target: SEM087 -> synthesized. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
SURF-aether-8187ed454fa8a61a,Aether,Docs/GUIDE.en.md,f2d68878c4a77e95a7b79b470f16463d0c8da6ba7815fd12a7acb019ea2b1876,19274,md,markdown,documentation,authoritative-or-review-required,aether-root,documentation-build,reference-only,SURF-aether-8187ed454fa8a61a,n/a,n/a,resolved-live-by-semantic-review,Exact bytes remain pinned by SHA-256 and were re-reviewed under module aether-root. All semantic children re-evaluated against the frozen third-wave target: SEM087 -> synthesized. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
SURF-aether-c24ca18bede8dbc4,Aether,Docs/GUIDE.fa.md,ac1d27756a1aa9332f158a7d05f137ba7580ec8548ea20bf51f674789e54fe52,29089,md,markdown,documentation,authoritative-or-review-required,aether-root,documentation-build,reference-only,SURF-aether-c24ca18bede8dbc4,n/a,n/a,resolved-live-by-semantic-review,Exact bytes remain pinned by SHA-256 and were re-reviewed under module aether-root. All semantic children re-evaluated against the frozen third-wave target: SEM087 -> synthesized. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
SURF-aether-3c0ddb88d703577b,Aether,LICENSE,8486a10c4393cee1c25392769ddd3b2d6c242d6ec7928e1414efff7dfb2f07ef,34523,none,unknown,governance,authoritative-or-review-required,aether-root,documentation-build,reference-only,SURF-aether-3c0ddb88d703577b,n/a,n/a,resolved-live-by-semantic-review,Exact bytes remain pinned by SHA-256 and were re-reviewed under module aether-root. All semantic children re-evaluated against the frozen third-wave target: SEM087 -> synthesized. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
SURF-aether-d4968e404294a784,Aether,README.fa.md,33a2542ea35f939d229ab698082166f940d65dd9100c133698ef91c7d4bdc4cf,8288,md,markdown,documentation,authoritative-or-review-required,aether-root,documentation-build,reference-only,SURF-aether-d4968e404294a784,n/a,n/a,resolved-live-by-semantic-review,Exact bytes remain pinned by SHA-256 and were re-reviewed under module aether-root. All semantic children re-evaluated against the frozen third-wave target: SEM087 -> synthesized. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
SURF-aether-fdf4cfea1be2ab56,Aether,README.md,5018102c99529a8c593cda20c3b21c87c8d2ea625a20b6739385e49b69162cd6,5451,md,markdown,documentation,authoritative-or-review-required,aether-root,documentation-build,reference-only,SURF-aether-fdf4cfea1be2ab56;SEM087,n/a,n/a,SEM087:synthesized,Exact bytes remain pinned by SHA-256. Surface semantic children were independently re-evaluated (SEM087:synthesized); remaining content was reviewed under module aether-root without granting module-shaped authority.,reviewed
