path,change_type,accountability_class,fourth_order_record_ids,reason,verification_node,third_wave_sha256,current_sha256
Makefile,modified,verification-wiring,n/a,Attach fourth-order convergence gate to canonical verify-repo,scripts/checks/check_fourth_order_convergence.py#main,ae1df3477686d7730a5ec81b6880d82ef1cc412ebfaae7780b4a589d6211b83f,700002151d96b25338605f3d16cfcd8d89d3f5b785b9c5661d2ebba29f76105f
governance/convergence/fourth-order-adoption-ledger.csv,added,governance-evidence,n/a,"Durable fourth-order provenance, omission, supersession, validation, or immutable baseline evidence",scripts/checks/check_fourth_order_convergence.py#main,n/a,40da30b7375ac46322250c5aeda2e9959a7b5bffc48b5ce88cca0aaf44d756d1
governance/convergence/fourth-order-baseline-files.csv,added,governance-evidence,n/a,"Durable fourth-order provenance, omission, supersession, validation, or immutable baseline evidence",scripts/checks/check_fourth_order_convergence.py#main,n/a,22e4c5bdc7754d309f865682cd8e1e52c2786b30c0a21af930208d63ab433bdf
governance/convergence/fourth-order-directory-review.csv,added,governance-evidence,n/a,"Durable fourth-order provenance, omission, supersession, validation, or immutable baseline evidence",scripts/checks/check_fourth_order_convergence.py#main,n/a,4da50bb340a09a868abe5a8ff01d61e2c037858fe8eeeafde5bb7c572410b9bf
governance/convergence/fourth-order-donor-review.csv,added,governance-evidence,n/a,"Durable fourth-order provenance, omission, supersession, validation, or immutable baseline evidence",scripts/checks/check_fourth_order_convergence.py#main,n/a,54888dd9cf9bb7fca118d84a095eaedbb6c55f31eb35124e0b9ad17756a5f75b
governance/convergence/fourth-order-module-review.csv,added,governance-evidence,n/a,"Durable fourth-order provenance, omission, supersession, validation, or immutable baseline evidence",scripts/checks/check_fourth_order_convergence.py#main,n/a,b9a7f2b3fedc4152f1cdf6a00dd36f6cf9992304d6b43fec197fbe6ff85102a6
governance/convergence/fourth-order-omission-audit.md,added,governance-evidence,n/a,"Durable fourth-order provenance, omission, supersession, validation, or immutable baseline evidence",scripts/checks/check_fourth_order_convergence.py#main,n/a,5560b3ad3dfe22d93b1fc80db03fd85e78e428ff803227ad583fbf73c524eed0
governance/convergence/fourth-order-semantic-reversal.csv,added,governance-evidence,n/a,"Durable fourth-order provenance, omission, supersession, validation, or immutable baseline evidence",scripts/checks/check_fourth_order_convergence.py#main,n/a,787fe5229e3a7b60fd69bf111bdbd8c4c0337340faf330f3c320285f2c23cda1
governance/convergence/fourth-order-supersession-map.csv,added,governance-evidence,n/a,"Durable fourth-order provenance, omission, supersession, validation, or immutable baseline evidence",scripts/checks/check_fourth_order_convergence.py#main,n/a,cebf0d014076c21355e385c2ba6f5bf9de21d9d85127295cfc84e7557f7fd0ae
governance/convergence/fourth-order-surface-review.csv,added,governance-evidence,n/a,"Durable fourth-order provenance, omission, supersession, validation, or immutable baseline evidence",scripts/checks/check_fourth_order_convergence.py#main,n/a,2b61acc9d792aa3ce5b5afff6eef16eb693282c8f50de7f40f71ed5605b427e7
governance/convergence/fourth-order-symbol-review.csv,added,governance-evidence,n/a,"Durable fourth-order provenance, omission, supersession, validation, or immutable baseline evidence",scripts/checks/check_fourth_order_convergence.py#main,n/a,6318c349af6fd3a18eb00f839024f79fc21fe5690b098393a5016ea5dd81bcdc
governance/convergence/fourth-order-target-repairs.csv,added,governance-evidence,n/a,"Durable fourth-order provenance, omission, supersession, validation, or immutable baseline evidence",scripts/checks/check_fourth_order_convergence.py#main,n/a,247ec9eaf8ab2f3bab4581355a16e1c449eac8aee353fb7dbfa77d6db859ecb9
governance/convergence/fourth-order-validation.md,added,governance-evidence,n/a,"Durable fourth-order provenance, omission, supersession, validation, or immutable baseline evidence",scripts/checks/check_fourth_order_convergence.py#main,n/a,3114cf87678b90de7447c3749febd0c95368213988a75aa23ed14c538b383fa4
governance/topology/relocations.json,modified,historical-topology-repair,FO-REPAIR004,Authorize only the historical HTTPS CONNECT relocation as a reviewed semantic transform for bounded-line hardening,src/apps/daemon/internal/runtime/proxy/https_connect_fragmentor.go#ResponseLineReader,ff21f3a1fbc659f7c492734985d3ae9288484defe74089e828452a7f1ac0ba60,04d85926b5a6d5904172ed58a4142ac04fa531af9f0b0e60864467a05d525a4a
scripts/checks/check_fourth_order_convergence.py,added,verification-gate,n/a,"Mechanical fourth-order denominator, anchor, authority, and exact-delta gate",scripts/checks/check_fourth_order_convergence.py#main,n/a,d574368c4c4e5b241d6b269ba44c45700005b5f58f1140081902256a6a5c81c7
scripts/checks/check_peer_convergence.py,modified,historical-evidence-repair,FO-REPAIR002,Keep original eight-donor hash receipt anchored to predecessor snapshot under successor edits,scripts/checks/check_peer_convergence.py#FOURTH_BASELINE,7d1940a7a96bf00bf533486ca1bc45fa54f2eafe8e8dfa69fd32bb1d2fb36cb7,d6aecc624e1b42daa22283d33ad4260293b38e2563b4d303a658745ee3a15b1d
