donor,path,sha256,symbol,line,signature,language,symbol_id,semantic_record_ids,resolution
3xui-telegram-bot-main,main.py,0dc93150fe40691aa2db4af35ca1688bca2f4091ca48557d720b818ad6097184,main,26,py_def main,python,E9-SYM-000001,E9-0032,resolved-by-ninth-order-ledger
3xui-telegram-bot-main,main.py,0dc93150fe40691aa2db4af35ca1688bca2f4091ca48557d720b818ad6097184,on_startup,55,py_def on_startup,python,E9-SYM-000002,E9-0032,resolved-by-ninth-order-ledger
3xui-telegram-bot-main,config.py,fed67215c92db7d601694e290225b1ea979c7b19cfabbc593d4aa66f732fcbc0,_int_list,8,py_def _int_list,python,E9-SYM-000003,E9-0032,resolved-by-ninth-order-ledger
3xui-telegram-bot-main,config.py,fed67215c92db7d601694e290225b1ea979c7b19cfabbc593d4aa66f732fcbc0,_parse_inbounds,12,py_def _parse_inbounds,python,E9-SYM-000004,E9-0032,resolved-by-ninth-order-ledger
3xui-telegram-bot-main,config.py,fed67215c92db7d601694e290225b1ea979c7b19cfabbc593d4aa66f732fcbc0,_parse_cards,35,py_def _parse_cards,python,E9-SYM-000005,E9-0032,resolved-by-ninth-order-ledger
3xui-telegram-bot-main,config.py,fed67215c92db7d601694e290225b1ea979c7b19cfabbc593d4aa66f732fcbc0,proxy_enabled,78,py_def proxy_enabled,python,E9-SYM-000006,E9-0032,resolved-by-ninth-order-ledger
3xui-telegram-bot-main,config.py,fed67215c92db7d601694e290225b1ea979c7b19cfabbc593d4aa66f732fcbc0,cards_text,95,py_def cards_text,python,E9-SYM-000007,E9-0032,resolved-by-ninth-order-ledger
3xui-telegram-bot-main,config.py,fed67215c92db7d601694e290225b1ea979c7b19cfabbc593d4aa66f732fcbc0,Config,58,py_class Config,python,E9-SYM-000008,E9-0032,resolved-by-ninth-order-ledger
3xui-telegram-bot-main,config.py,fed67215c92db7d601694e290225b1ea979c7b19cfabbc593d4aa66f732fcbc0,Config,58,js_class Config,python,E9-SYM-000009,E9-0032,resolved-by-ninth-order-ledger
3xui-telegram-bot-main,config.py,fed67215c92db7d601694e290225b1ea979c7b19cfabbc593d4aa66f732fcbc0,Config,58,jvm_type Config,python,E9-SYM-000010,E9-0032,resolved-by-ninth-order-ledger
3xui-telegram-bot-main,database.py,737e7c38f7b5a1aa0bb171ec6a40deb758a3c6c4a2879149fdf2cc2b61420b40,init_db,9,py_def init_db,python,E9-SYM-000011,E9-0032,resolved-by-ninth-order-ledger
3xui-telegram-bot-main,database.py,737e7c38f7b5a1aa0bb171ec6a40deb758a3c6c4a2879149fdf2cc2b61420b40,upsert_user,148,py_def upsert_user,python,E9-SYM-000012,E9-0032,resolved-by-ninth-order-ledger
