donor,path,depth,direct_file_count,direct_child_dir_count,recursive_file_count,recursive_bytes,languages,classifications,children
Aether,.,0,8,4,2180,10139564,batch;c;css;html;javascript;markdown;rust;shell;toml;unknown;yaml,configuration;deployment;documentation;governance;implementation;media;repository-administration;test-or-fixture;vendored,.github;Docs;aether;quiche
Aether,.github,1,0,1,1,27730,yaml,repository-administration,workflows
Aether,.github/workflows,2,1,0,1,27730,yaml,repository-administration,
Aether,Docs,1,5,0,5,1844309,markdown;unknown,documentation;media,
Aether,aether,1,3,1,29,510601,batch;rust;toml;unknown,configuration;implementation,src
Aether,aether/src,2,26,0,26,436052,rust,implementation,
Aether,quiche,1,15,14,2137,7699364,c;css;html;javascript;markdown;rust;shell;toml;unknown;yaml,test-or-fixture;vendored,.github;apps;buffer-pool;datagram-socket;fuzz;h3i;netlog;octets;qlog;qlog-dancer;quiche;task-killswitch;tokio-quiche;tools
Aether,quiche/.github,2,1,1,5,17584,yaml,vendored,workflows
Aether,quiche/.github/workflows,3,4,0,4,16434,yaml,vendored,
Aether,quiche/apps,2,2,1,11,136504,rust;shell;toml;unknown,vendored,src
Aether,quiche/apps/src,3,5,1,9,131878,rust;unknown,vendored,bin
Aether,quiche/apps/src/bin,4,4,0,4,32294,rust;unknown,vendored,
Aether,quiche/buffer-pool,2,2,1,4,25732,rust;toml,vendored,src
Aether,quiche/buffer-pool/src,3,3,0,3,25293,rust,vendored,
Aether,quiche/datagram-socket,2,3,1,8,68008,markdown;rust;toml,vendored,src
Aether,quiche/datagram-socket/src,3,6,0,6,64206,rust,vendored,
Aether,quiche/fuzz,2,6,3,1846,1989544,markdown;rust;toml;unknown,test-or-fixture,corpus;mayhem;src
Aether,quiche/fuzz/corpus,3,0,5,1829,1968528,unknown,test-or-fixture,packet_recv_client;packet_recv_server;packets_posths_server;packets_recv_server;qpack_decode
Aether,quiche/fuzz/corpus/packet_recv_client,4,617,0,617,697917,unknown,test-or-fixture,
Aether,quiche/fuzz/corpus/packet_recv_server,4,722,0,722,1061990,unknown,test-or-fixture,
Aether,quiche/fuzz/corpus/packets_posths_server,4,2,0,2,10038,unknown,test-or-fixture,
Aether,quiche/fuzz/corpus/packets_recv_server,4,2,0,2,10038,unknown,test-or-fixture,
