donor,module_id,module_role,module_disposition,rationale,file_count,bytes,languages,classes,semantic_record_ids
Aether,aether-owner-account,owner-runtime,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095.",1,32716,rust,implementation,SEM055;SEM056;SEM095
Aether,aether-owner-aethernoize,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM070.,1,10671,rust,implementation,SEM070
Aether,aether-owner-apifront,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM054.,1,15505,rust,implementation,SEM054
Aether,aether-owner-build,build-config,reference-only,Aether executable build/launch/config surface; target build system remains authoritative.,3,74549,batch;toml;unknown,configuration;implementation,n/a
Aether,aether-owner-cli,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM089.,1,10134,rust,implementation,SEM089
Aether,aether-owner-config,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM052.,1,14224,rust,implementation,SEM052
Aether,aether-owner-consts,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM090.,1,2174,rust,implementation,SEM090
Aether,aether-owner-dns,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM050.,1,8493,rust,implementation,SEM050
Aether,aether-owner-error,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM091.,1,653,rust,implementation,SEM091
Aether,aether-owner-fragment,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM068.,1,4883,rust,implementation,SEM068
Aether,aether-owner-lastconn,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM063.,1,785,rust,implementation,SEM063
Aether,aether-owner-mac_test,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM099.,1,340,rust,implementation,SEM099
Aether,aether-owner-main,owner-runtime,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM092,SEM093,SEM094.",1,56507,rust,implementation,SEM092;SEM093;SEM094
Aether,aether-owner-masque,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM065.,1,11074,rust,implementation,SEM065
Aether,aether-owner-masque_h2,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM066.,1,22007,rust,implementation,SEM066
Aether,aether-owner-netstack,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM058.,1,30483,rust,implementation,SEM058
Aether,aether-owner-noize,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM069.,1,7009,rust,implementation,SEM069
Aether,aether-owner-prober,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM060.,1,21931,rust,implementation,SEM060
