donor,path,language,kind,symbol,line,visibility,module_id,module_disposition,high_signal,high_signal_keywords,needs_semantic_review,resolution,semantic_record_ids,resolved_disposition,rationale
Aether,aether/src/account.rs,rust,struct,Registration,17,internal,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,struct,TeamRegistration,31,internal,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,team_registration_body,42,internal,aether-owner-account,resolved-by-semantic-ledger,yes,body,no,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,struct,DeviceUpdate,59,internal,aether-owner-account,resolved-by-semantic-ledger,yes,update,no,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,struct,AccountData,68,public,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,struct,Config,79,public,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,struct,Services,91,public,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,struct,Peer,97,public,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,struct,PeerEndpoint,104,public,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,struct,AccountInfo,114,public,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,struct,Interface,124,public,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,struct,Addresses,130,public,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,struct,Identity,138,public,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,struct,MasqueKeyPair,154,public,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,generate_masque_keypair,160,public,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,http_client,224,internal,aether-owner-account,resolved-by-semantic-ledger,yes,http,no,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,const,API_ATTEMPTS,232,internal,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,const,API_BACKOFF_BASE_MS,233,internal,aether-owner-account,resolved-by-semantic-ledger,yes,backoff,no,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,const,API_BACKOFF_CAP_MS,234,internal,aether-owner-account,resolved-by-semantic-ledger,yes,backoff,no,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,const,API_RETRY_AFTER_CAP_SECS,235,internal,aether-owner-account,resolved-by-semantic-ledger,yes,retry,no,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,backoff_delay,237,internal,aether-owner-account,resolved-by-semantic-ledger,yes,backoff,no,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,retry_after,244,internal,aether-owner-account,resolved-by-semantic-ledger,yes,retry,no,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,worth_retrying,252,internal,aether-owner-account,resolved-by-semantic-ledger,yes,retry,no,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,api_host,258,internal,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,front_headers,267,internal,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,fallback_call,289,internal,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,describe_status,329,internal,aether-owner-account,resolved-by-semantic-ledger,yes,status,no,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,describe_rejection,336,internal,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,extract_api_error,359,internal,aether-owner-account,resolved-by-semantic-ledger,yes,error,no,semantic-child,SEM095,adapted,Aether separates structured Cloudflare rejection details and Retry-After hints from retry policy. LumiNet adopts only the bounded error-extraction/message primitive in its existing Cloudflare provisioning owner; automatic registration mutation retry remains rejected without an idempotency contract.
Aether,aether/src/account.rs,rust,fn,send_with_retry,384,internal,aether-owner-account,resolved-by-semantic-ledger,yes,retry,no,semantic-child,SEM055,rejected-with-reason,Registration creates remote account/device state and target has no proven idempotency key/reconciliation; timeout retry can duplicate side effects.
Aether,aether/src/account.rs,rust,fn,base_headers,440,internal,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,generate_x25519_keypair,452,internal,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,random_android_serial,466,internal,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,tos_timestamp,472,internal,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
Aether,aether/src/account.rs,rust,fn,register,478,public,aether-owner-account,resolved-by-semantic-ledger,no,n/a,n/a,module-inherited,n/a,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM055,SEM056,SEM095."
