record_id,wave,original_target_nodes,normalized_target_nodes,original_test_node,normalized_test_node,reason
E8-0001,ultimate-63,src/apps/daemon/internal/foundation/remoteaction/remoteaction.go#Executor;src/apps/daemon/internal/foundation/remoteaction/remoteaction.go#waitForCooldownAndAcquire;src/apps/daemon/internal/adapters/api/handlers_system_status.go#RemoteMutationRetry,src/apps/daemon/internal/foundation/remoteaction/remoteaction.go#Executor;src/apps/daemon/internal/foundation/remoteaction/remoteaction.go#waitForCooldownAndAcquire;src/apps/daemon/internal/adapters/api/handlers_system_status.go#RemoteMutationRetry,src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go#TestExecutorSharesRateLimitCooldownPerAction,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E8-0001-test,disambiguate historically shared test_node while preserving original referenced evidence
E8-0002,ultimate-63,src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go#TestExecutorSharesRateLimitCooldownPerAction,src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go#TestExecutorSharesRateLimitCooldownPerAction,src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go#TestExecutorSharesRateLimitCooldownPerAction,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E8-0002-test,disambiguate historically shared test_node while preserving original referenced evidence
E8-0005,ultimate-63,src/apps/daemon/internal/networking/dns/dohcache.go#fetchCoalesced,src/apps/daemon/internal/networking/dns/dohcache.go#fetchCoalesced,src/apps/daemon/internal/networking/dns/dohcache_test.go#TestDoHCacheCoalescesConcurrentMisses,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E8-0005-test,disambiguate historically shared test_node while preserving original referenced evidence
E8-0011,ultimate-63,src/apps/daemon/internal/networking/dns/dohcache.go#fetchCoalesced,src/apps/daemon/internal/networking/dns/dohcache.go#fetchCoalesced,src/apps/daemon/internal/networking/dns/dohcache_test.go#TestDoHCacheCoalescesConcurrentMisses,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E8-0011-test,disambiguate historically shared test_node while preserving original referenced evidence
E8-0016,ultimate-63,src/apps/daemon/internal/integrations/sub/geoip_database.go#GeoIPDatabase,src/apps/daemon/internal/integrations/sub/geoip_database.go#GeoIPDatabase,scripts/checks/check_eighth_order_convergence.py#main,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E8-0016-test,disambiguate historically shared test_node while preserving original referenced evidence
E8-0017,ultimate-63,src/apps/daemon/internal/integrations/sub/singbox_rules_list.go#SingBoxRuleGeoSite,src/apps/daemon/internal/integrations/sub/singbox_rules_list.go#SingBoxRuleGeoSite,scripts/checks/check_eighth_order_convergence.py#main,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E8-0017-test,disambiguate historically shared test_node while preserving original referenced evidence
E8-0018,ultimate-63,src/apps/daemon/internal/platform/system/vps_warp.sh#vps_warp,src/apps/daemon/internal/platform/system/vps_warp.sh#vps_warp,scripts/checks/check_eighth_order_convergence.py#main,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E8-0018-test,disambiguate historically shared test_node while preserving original referenced evidence
E8-0020,ultimate-63,src/apps/daemon/internal/adapters/api/routes_system.go#setupSystemRoutes,src/apps/daemon/internal/adapters/api/routes_system.go#setupSystemRoutes,scripts/checks/check_eighth_order_convergence.py#main,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E8-0020-test,disambiguate historically shared test_node while preserving original referenced evidence
E8-0021,ultimate-63,src/apps/daemon/internal/analysis/scanner/scan_orchestration.go#ScanBatchOrchestrator,src/apps/daemon/internal/analysis/scanner/scan_orchestration.go#ScanBatchOrchestrator,scripts/checks/check_eighth_order_convergence.py#main,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E8-0021-test,disambiguate historically shared test_node while preserving original referenced evidence
E8-0022,ultimate-63,n/a,n/a,n/a,governance/convergence/post-refactor-117-historical-evidence-anchors.md#E8-0022-test,supply unique evidence node for historical verified status
