wave,donor,path,sha256,size_bytes,file_type,language,classification,authority_status,semantic_record_ids,notes
post-refactor-20b,serenity-dev,.gitignore,83c3b0f95f9c23eb90af9138ee5eca8f1511c739a776afa03d04f18032837e28,93,file,n/a,implementation,authoritative-source,PR117-M0001,new-wave recursive accountability; fine semantic links added separately where applicable
post-refactor-20b,serenity-dev,.golangci.yml,b7d829060624a84f2c9c1613d34b0ea637505feeaf11dfd92f52b4e7d592363c,226,file,YAML,configuration,authoritative-source,PR117-M0001,new-wave recursive accountability; fine semantic links added separately where applicable
post-refactor-20b,serenity-dev,.goreleaser.fury.yaml,ef17e4c703723f5e10f8b2e2e37a3636a5199a4a98a9423d1933a5025c7f8adc,1713,file,YAML,configuration,authoritative-source,PR117-M0001,new-wave recursive accountability; fine semantic links added separately where applicable
post-refactor-20b,serenity-dev,.goreleaser.yaml,9f5920a1c1843505eb12602b07c15cc1a2ac9fc61e602b7662715f4005dd0b93,2443,file,YAML,configuration,authoritative-source,PR117-M0001,new-wave recursive accountability; fine semantic links added separately where applicable
post-refactor-20b,serenity-dev,Dockerfile,5a4dfc111f87c61b80f7d0ccc503b0532838c838f93ed456a758404a2837559b,1003,file,n/a,script,authoritative-source,PR117-M0001,new-wave recursive accountability; fine semantic links added separately where applicable
post-refactor-20b,serenity-dev,LICENSE,650d5e3b99a446fb38e820fa87a49562e0c79eab868fff58618ac487a58e554c,791,file,n/a,governance,evidence-or-derived,PR117-M0001,new-wave recursive accountability; fine semantic links added separately where applicable
post-refactor-20b,serenity-dev,Makefile,2ddac9ccde866236886c44b878269fce018830c94eb8ec64dd5084e95a216ce0,1738,file,n/a,script,authoritative-source,PR117-M0001,new-wave recursive accountability; fine semantic links added separately where applicable
post-refactor-20b,serenity-dev,README.md,1ceb97cae9080b72e5955d4a960bfd47f6674e7fd655ea928f24b01dbedc0a74,958,file,Markdown,documentation,evidence-or-derived,PR117-M0001,new-wave recursive accountability; fine semantic links added separately where applicable
post-refactor-20b,serenity-dev,go.mod,1492af023d94382b3210ed5abe19ffbe98a0921824cd3b82c125db149973ea37,10410,file,n/a,configuration,authoritative-source,PR117-M0001,new-wave recursive accountability; fine semantic links added separately where applicable
post-refactor-20b,serenity-dev,go.sum,a40cf5c222353393affd951e3e37bee627b4d0bb6096feb0b5b0a445459ab65d,45877,file,n/a,configuration,authoritative-source,PR117-M0001,new-wave recursive accountability; fine semantic links added separately where applicable
post-refactor-20b,serenity-dev,mkdocs.yml,8156d84c4fa73ef7e4479f2c554b4f3a247495e91f202cf038b797e825337cf2,3022,file,YAML,configuration,authoritative-source,PR117-M0001,new-wave recursive accountability; fine semantic links added separately where applicable
post-refactor-20b,serenity-dev,.github/update_dependencies.sh,c4c5f89f2fd7bfcbb33ed0bd674d23f6b06a3d0f7ade26f9f7601174c4bf1c0f,135,file,Shell,repository-administration,evidence-or-derived,PR117-M0002,new-wave recursive accountability; fine semantic links added separately where applicable
