wave,record_id,parent_record_id,composition_group_id,donor,domain,value_unit,source_granularity,value_form,separability,donor_path,donor_sha256,donor_symbol,transformation,mapping_topology,disposition,decision_rationale,target_capability,target_nodes,invariant,negative_invariant,test_node,operator_surface,migration_impact,license_note,risk_tier,dependency_record_ids,evidence_confidence,validation_status
post-refactor-20c,PR137-M0001,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: gradle,bounded recursive surface group,evidence/accountability,context/accountability group,gradle/libs.versions.toml,8315fe56fa294b05a2b432d3752fb635c3ca35e320b7eb4f6d1d1fafa9b4fbbe,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains configuration.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0002,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: @root,bounded recursive surface group,evidence/accountability,context/accountability group,README.md,473f24c94856a5b8d9c2f4b7d2202b7aa21c513726851bded7085e7059188571,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains documentation.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0003,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: @root,bounded recursive surface group,evidence/accountability,context/accountability group,LICENSE,3972dc9744f6499f0f9b2dbf76696f2ae7ad8af9b23dde66d6af86c9dfb36986,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains governance.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0004,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: @root,bounded recursive surface group,evidence/accountability,context/accountability group,.gitignore,031df6faed85888b146e1351c3ea9a523a030d2ab58cb8bf06caeb83fc526e8c,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains implementation.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0005,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: buildSrc,bounded recursive surface group,evidence/accountability,context/accountability group,buildSrc/build.gradle.kts,89181720cb63b1c5099826163ddb3a5c36979b1b559563c401356837661feb17,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains implementation.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0006,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: buildSrc/src/main,bounded recursive surface group,evidence/accountability,context/accountability group,buildSrc/src/main/kotlin/Helpers.kt,9064a328fa2e62f3f8e18837af1a92b8e79de551cc3decef8a081d49586578da,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains implementation.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0007,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: gradle/wrapper,bounded recursive surface group,evidence/accountability,context/accountability group,gradle/wrapper/gradle-wrapper.jar,497c8c2a7e5031f6aa847f88104aa80a93532ec32ee17bdb8d1d2f67a194a9c7,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains implementation.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0008,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: library/core,bounded recursive surface group,evidence/accountability,context/accountability group,library/core/build.bat,091c93740a229099c25340572b2f01dbe9fe8a4b43386f092007cee059758e0e,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains implementation.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0009,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: library/proto,bounded recursive surface group,evidence/accountability,context/accountability group,library/proto/build.gradle.kts,b37cd654bb794f44142c7c0088ca51d13662d4d3eaf9eb37806f30d0df8dec6d,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains implementation.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0010,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: library/proto-stub,bounded recursive surface group,evidence/accountability,context/accountability group,library/proto-stub/build.gradle.kts,97758e8ad202a90a1ff186260cbf624a40e3b42659e1f90c776c67c2f23778d3,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains implementation.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0011,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: library/proto-stub/src,bounded recursive surface group,evidence/accountability,context/accountability group,library/proto-stub/src/main/AndroidManifest.xml,daa0fb1f32ba7ea85a07ef6302ab3d58c3407d7fd2aa03ec132cb9e38e8d9849,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains implementation.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0012,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: library/proto/main,bounded recursive surface group,evidence/accountability,context/accountability group,library/proto/main/config.proto,d1319979ec687834bdf6ed4fd326eafe66d719d346887f62091910ac4a97bdcc,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains implementation.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0013,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: plugin/api,bounded recursive surface group,evidence/accountability,context/accountability group,plugin/api/build.gradle.kts,e0eb8c8b8d19f8968393f43f98b9e6fa415e72ff630f55365fd9955e7a9f5e2f,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains implementation.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0014,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: plugin/api/src,bounded recursive surface group,evidence/accountability,context/accountability group,plugin/api/src/main/AndroidManifest.xml,626d5cf065c1815d1b5d5947a32696053612b91c96471b53c84bfecfbde40832,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains implementation.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0015,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: plugin/naive,bounded recursive surface group,evidence/accountability,context/accountability group,plugin/naive/build.gradle.kts,fe38efef59bd45b29a9d78a7b4f6b7f66cb5fbda18bb07b25ed19701141fa4f9,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains implementation.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0016,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: plugin/naive/src,bounded recursive surface group,evidence/accountability,context/accountability group,plugin/naive/src/main/AndroidManifest.xml,2dd38cd10526f08d80af5f7943bc3641b95156c02bbb0543b08d69b63c561a7c,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains implementation.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0017,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: plugin/shadowquic,bounded recursive surface group,evidence/accountability,context/accountability group,plugin/shadowquic/build.gradle.kts,57d7203c2a1f87ac1a61a33d63b80ae114d3c0b367a6ddb28b1b6a78305011a3,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains implementation.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0018,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: plugin/shadowquic/src,bounded recursive surface group,evidence/accountability,context/accountability group,plugin/shadowquic/src/main/AndroidManifest.xml,026f9f6f6b2e2cf4ac6d9747b21230a1ee65ad7d0941f1f0a016665bab6f3fdf,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains implementation.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0019,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: app/src/main,bounded recursive surface group,evidence/accountability,context/accountability group,app/src/main/ic_launcher-playstore.png,0d93bea9aaedc5a75c13d84120bc3da0fa006c06cc0e076d5bbf518d4fe490f4,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains media.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0020,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: app/src/oss,bounded recursive surface group,evidence/accountability,context/accountability group,app/src/oss/play/listings/en-US/graphics/feature-graphic/feature-graphic.png,e5dc52d4404ac4100e3542ea3d683b192c1b69c6aba561a34d54dc49ef80e782,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains media.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0021,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: plugin/naive/src,bounded recursive surface group,evidence/accountability,context/accountability group,plugin/naive/src/main/ic_launcher-playstore.png,e3317e92d73cdd432c822bc841bf138a9474cf99592e334da39aad32607fdaa9,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains media.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0022,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: .github/workflows,bounded recursive surface group,evidence/accountability,context/accountability group,.github/workflows/debug.yml,9664087f8ae81a7b38e8e22550734914b690ee4bb3547e8fb0525264da4716d4,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains repository-administration.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0023,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: bin,bounded recursive surface group,evidence/accountability,context/accountability group,bin/build.sh,f874109f213cd7ad3b7c8549385f76e3f9113f0e06378f95a5fd6ae89e874004,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains script.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0024,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: bin/init,bounded recursive surface group,evidence/accountability,context/accountability group,bin/init/env.sh,b123d2324c458513acf57fe691873164ff5c602d16a2ef679d5b100f37a0ca91,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains script.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
post-refactor-20c,PR137-M0025,n/a,n/a,Exclave-dev,surface accountability,complete bounded donor surface group: bin/init/action,bounded recursive surface group,evidence/accountability,context/accountability group,bin/init/action/naive.sh,46c54a7e9f45c664057f30c05361e509646f4c19e9ddccb89c3cfea9f47f9c4e,n/a,accountability classification,one-to-many,reference-only,All surfaces in this <=100-item group are recursively hash-accounted; semantic credit is assigned only through separate fine records. Classification group remains script.,n/a,n/a,every in-scope donor surface is covered by exactly one bounded accountability group,large/generated/vendor trees cannot disappear through prioritization or inflate semantic credit,n/a,n/a,none,GPL-3.0; no direct source reuse; independently rederive concepts/tests only,low,n/a,high,reviewed
