wave,module_id,donor,module_path,surface_count,representative_path,representative_sha256,first_path,last_path
post-refactor-20c,PR137-M0001,Exclave-dev,gradle,1,gradle/libs.versions.toml,8315fe56fa294b05a2b432d3752fb635c3ca35e320b7eb4f6d1d1fafa9b4fbbe,gradle/libs.versions.toml,gradle/libs.versions.toml
post-refactor-20c,PR137-M0002,Exclave-dev,@root,1,README.md,473f24c94856a5b8d9c2f4b7d2202b7aa21c513726851bded7085e7059188571,README.md,README.md
post-refactor-20c,PR137-M0003,Exclave-dev,@root,1,LICENSE,3972dc9744f6499f0f9b2dbf76696f2ae7ad8af9b23dde66d6af86c9dfb36986,LICENSE,LICENSE
post-refactor-20c,PR137-M0004,Exclave-dev,@root,11,.gitignore,031df6faed85888b146e1351c3ea9a523a030d2ab58cb8bf06caeb83fc526e8c,.gitignore,version.properties
post-refactor-20c,PR137-M0005,Exclave-dev,buildSrc,2,buildSrc/build.gradle.kts,89181720cb63b1c5099826163ddb3a5c36979b1b559563c401356837661feb17,buildSrc/build.gradle.kts,buildSrc/settings.gradle.kts
post-refactor-20c,PR137-M0006,Exclave-dev,buildSrc/src/main,3,buildSrc/src/main/kotlin/Helpers.kt,9064a328fa2e62f3f8e18837af1a92b8e79de551cc3decef8a081d49586578da,buildSrc/src/main/kotlin/Helpers.kt,buildSrc/src/main/kotlin/V2RayAssets.kt
post-refactor-20c,PR137-M0007,Exclave-dev,gradle/wrapper,2,gradle/wrapper/gradle-wrapper.jar,497c8c2a7e5031f6aa847f88104aa80a93532ec32ee17bdb8d1d2f67a194a9c7,gradle/wrapper/gradle-wrapper.jar,gradle/wrapper/gradle-wrapper.properties
post-refactor-20c,PR137-M0008,Exclave-dev,library/core,7,library/core/build.bat,091c93740a229099c25340572b2f01dbe9fe8a4b43386f092007cee059758e0e,library/core/build.bat,library/core/main.go
post-refactor-20c,PR137-M0009,Exclave-dev,library/proto,1,library/proto/build.gradle.kts,b37cd654bb794f44142c7c0088ca51d13662d4d3eaf9eb37806f30d0df8dec6d,library/proto/build.gradle.kts,library/proto/build.gradle.kts
post-refactor-20c,PR137-M0010,Exclave-dev,library/proto-stub,1,library/proto-stub/build.gradle.kts,97758e8ad202a90a1ff186260cbf624a40e3b42659e1f90c776c67c2f23778d3,library/proto-stub/build.gradle.kts,library/proto-stub/build.gradle.kts
post-refactor-20c,PR137-M0011,Exclave-dev,library/proto-stub/src,1,library/proto-stub/src/main/AndroidManifest.xml,daa0fb1f32ba7ea85a07ef6302ab3d58c3407d7fd2aa03ec132cb9e38e8d9849,library/proto-stub/src/main/AndroidManifest.xml,library/proto-stub/src/main/AndroidManifest.xml
post-refactor-20c,PR137-M0012,Exclave-dev,library/proto/main,1,library/proto/main/config.proto,d1319979ec687834bdf6ed4fd326eafe66d719d346887f62091910ac4a97bdcc,library/proto/main/config.proto,library/proto/main/config.proto
