wave,donor,directory,direct_files,direct_dirs
post-refactor-4d,ZedSecure-main,.github,0,2
post-refactor-4d,ZedSecure-main,.github/ISSUE_TEMPLATE,2,0
post-refactor-4d,ZedSecure-main,.github/workflows,2,0
post-refactor-4d,ZedSecure-main,android,4,3
post-refactor-4d,ZedSecure-main,android/app,1,1
post-refactor-4d,ZedSecure-main,android/app/src,0,3
post-refactor-4d,ZedSecure-main,android/app/src/debug,1,0
post-refactor-4d,ZedSecure-main,android/app/src/main,1,3
post-refactor-4d,ZedSecure-main,android/app/src/main/jniLibs,0,4
post-refactor-4d,ZedSecure-main,android/app/src/main/jniLibs/arm64-v8a,1,0
post-refactor-4d,ZedSecure-main,android/app/src/main/jniLibs/armeabi-v7a,1,0
post-refactor-4d,ZedSecure-main,android/app/src/main/jniLibs/x86,1,0
post-refactor-4d,ZedSecure-main,android/app/src/main/jniLibs/x86_64,1,0
post-refactor-4d,ZedSecure-main,android/app/src/main/kotlin,0,1
post-refactor-4d,ZedSecure-main,android/app/src/main/kotlin/com,0,2
post-refactor-4d,ZedSecure-main,android/app/src/main/kotlin/com/example,0,1
post-refactor-4d,ZedSecure-main,android/app/src/main/kotlin/com/example/zedsecure,1,0
post-refactor-4d,ZedSecure-main,android/app/src/main/kotlin/com/zedsecure,0,1
post-refactor-4d,ZedSecure-main,android/app/src/main/kotlin/com/zedsecure/vpn,6,0
post-refactor-4d,ZedSecure-main,android/app/src/main/res,0,15
post-refactor-4d,ZedSecure-main,android/app/src/main/res/drawable,1,0
post-refactor-4d,ZedSecure-main,android/app/src/main/res/drawable-hdpi,1,0
post-refactor-4d,ZedSecure-main,android/app/src/main/res/drawable-mdpi,1,0
post-refactor-4d,ZedSecure-main,android/app/src/main/res/drawable-v21,1,0
post-refactor-4d,ZedSecure-main,android/app/src/main/res/drawable-xhdpi,1,0
post-refactor-4d,ZedSecure-main,android/app/src/main/res/drawable-xxhdpi,1,0
post-refactor-4d,ZedSecure-main,android/app/src/main/res/drawable-xxxhdpi,1,0
post-refactor-4d,ZedSecure-main,android/app/src/main/res/mipmap-anydpi-v26,1,0
post-refactor-4d,ZedSecure-main,android/app/src/main/res/mipmap-hdpi,2,0
post-refactor-4d,ZedSecure-main,android/app/src/main/res/mipmap-mdpi,2,0
post-refactor-4d,ZedSecure-main,android/app/src/main/res/mipmap-xhdpi,2,0
post-refactor-4d,ZedSecure-main,android/app/src/main/res/mipmap-xxhdpi,2,0
post-refactor-4d,ZedSecure-main,android/app/src/main/res/mipmap-xxxhdpi,2,0
post-refactor-4d,ZedSecure-main,android/app/src/main/res/values,2,0
post-refactor-4d,ZedSecure-main,android/app/src/main/res/values-night,1,0
post-refactor-4d,ZedSecure-main,android/app/src/profile,1,0
post-refactor-4d,ZedSecure-main,android/build,0,1
post-refactor-4d,ZedSecure-main,android/build/reports,0,1
post-refactor-4d,ZedSecure-main,android/build/reports/problems,1,0
post-refactor-4d,ZedSecure-main,android/gradle,0,1
post-refactor-4d,ZedSecure-main,android/gradle/wrapper,1,0
post-refactor-4d,ZedSecure-main,assets,0,2
post-refactor-4d,ZedSecure-main,assets/flags,34,0
post-refactor-4d,ZedSecure-main,assets/images,1,0
post-refactor-4d,ZedSecure-main,lib,1,5
post-refactor-4d,ZedSecure-main,lib/models,3,0
post-refactor-4d,ZedSecure-main,lib/screens,10,0
post-refactor-4d,ZedSecure-main,lib/services,9,0
post-refactor-4d,ZedSecure-main,lib/theme,1,0
post-refactor-4d,ZedSecure-main,lib/widgets,1,0
post-refactor-4d,ZedSecure-main,local_packages,0,1
post-refactor-4d,ZedSecure-main,local_packages/flutter_v2ray_client,4,2
post-refactor-4d,ZedSecure-main,local_packages/flutter_v2ray_client/android,2,3
post-refactor-4d,ZedSecure-main,local_packages/flutter_v2ray_client/android/gradle,0,1
post-refactor-4d,ZedSecure-main,local_packages/flutter_v2ray_client/android/gradle/wrapper,1,0
post-refactor-4d,ZedSecure-main,local_packages/flutter_v2ray_client/android/libs,1,0
post-refactor-4d,ZedSecure-main,local_packages/flutter_v2ray_client/android/src,0,1
post-refactor-4d,ZedSecure-main,local_packages/flutter_v2ray_client/android/src/main,1,1
post-refactor-4d,ZedSecure-main,local_packages/flutter_v2ray_client/android/src/main/kotlin,0,1
post-refactor-4d,ZedSecure-main,local_packages/flutter_v2ray_client/android/src/main/kotlin/dev,0,1
post-refactor-4d,ZedSecure-main,local_packages/flutter_v2ray_client/android/src/main/kotlin/dev/amirzr,0,1
post-refactor-4d,ZedSecure-main,local_packages/flutter_v2ray_client/android/src/main/kotlin/dev/amirzr/flutter_v2ray_client,1,1
post-refactor-4d,ZedSecure-main,local_packages/flutter_v2ray_client/android/src/main/kotlin/dev/amirzr/flutter_v2ray_client/v2ray,2,4
post-refactor-4d,ZedSecure-main,local_packages/flutter_v2ray_client/android/src/main/kotlin/dev/amirzr/flutter_v2ray_client/v2ray/core,2,0
post-refactor-4d,ZedSecure-main,local_packages/flutter_v2ray_client/android/src/main/kotlin/dev/amirzr/flutter_v2ray_client/v2ray/interfaces,1,0
post-refactor-4d,ZedSecure-main,local_packages/flutter_v2ray_client/android/src/main/kotlin/dev/amirzr/flutter_v2ray_client/v2ray/services,2,0
post-refactor-4d,ZedSecure-main,local_packages/flutter_v2ray_client/android/src/main/kotlin/dev/amirzr/flutter_v2ray_client/v2ray/utils,3,0
post-refactor-4d,ZedSecure-main,local_packages/flutter_v2ray_client/lib,3,2
post-refactor-4d,ZedSecure-main,local_packages/flutter_v2ray_client/lib/model,1,0
post-refactor-4d,ZedSecure-main,local_packages/flutter_v2ray_client/lib/url,8,0
post-refactor-4d,geospoof-main,.github,0,1
post-refactor-4d,geospoof-main,.github/workflows,4,0
post-refactor-4d,geospoof-main,.husky,1,0
post-refactor-4d,geospoof-main,_locales,1,12
post-refactor-4d,geospoof-main,_locales/de,1,0
post-refactor-4d,geospoof-main,_locales/en,1,0
post-refactor-4d,geospoof-main,_locales/es,1,0
post-refactor-4d,geospoof-main,_locales/fr,1,0
post-refactor-4d,geospoof-main,_locales/id,1,0
post-refactor-4d,geospoof-main,_locales/ja,1,0
post-refactor-4d,geospoof-main,_locales/nl,1,0
post-refactor-4d,geospoof-main,_locales/pt_BR,1,0
post-refactor-4d,geospoof-main,_locales/ru,1,0
post-refactor-4d,geospoof-main,_locales/sv,1,0
