donor,path,direct_files,direct_dirs
LEGION2-main,docs,10,0
LEGION2-main,src-tauri,5,6
LEGION2-main,src,3,5
LEGION2-main,.github,1,1
LEGION2-main,images,0,1
LEGION2-main,src-tauri/data,0,1
LEGION2-main,src-tauri/capabilities,1,0
LEGION2-main,src-tauri/.cargo,1,0
LEGION2-main,src-tauri/icons,6,0
LEGION2-main,src-tauri/migrations,6,0
LEGION2-main,src-tauri/src,6,8
LEGION2-main,src/stores,4,0
LEGION2-main,src/utils,2,0
LEGION2-main,src/components,10,0
LEGION2-main,src/services,2,0
LEGION2-main,src/types,5,0
LEGION2-main,.github/workflows,1,0
LEGION2-main,images/legion2,11,0
LEGION2-main,src-tauri/data/.scans,2,0
LEGION2-main,src-tauri/src/shared,12,0
LEGION2-main,src-tauri/src/network,6,0
LEGION2-main,src-tauri/src/commands,8,0
LEGION2-main,src-tauri/src/utils,5,0
LEGION2-main,src-tauri/src/scanners,5,1
LEGION2-main,src-tauri/src/offensive,4,0
LEGION2-main,src-tauri/src/analysis,5,0
LEGION2-main,src-tauri/src/core,8,0
LEGION2-main,src-tauri/src/scanners/probes,2,4
LEGION2-main,src-tauri/src/scanners/probes/nse-lib,139,0
LEGION2-main,src-tauri/src/scanners/probes/nse-scripts,612,0
LEGION2-main,src-tauri/src/scanners/probes/mix-probes,58,0
LEGION2-main,src-tauri/src/scanners/probes/nasl,4,4
LEGION2-main,src-tauri/src/scanners/probes/nasl/syntax,7,2
LEGION2-main,src-tauri/src/scanners/probes/nasl/utils,6,2
LEGION2-main,src-tauri/src/scanners/probes/nasl/builtin,3,18
LEGION2-main,src-tauri/src/scanners/probes/nasl/interpreter,11,0
LEGION2-main,src-tauri/src/scanners/probes/nasl/syntax/parser,5,0
LEGION2-main,src-tauri/src/scanners/probes/nasl/syntax/tokenizer,3,0
LEGION2-main,src-tauri/src/scanners/probes/nasl/utils/executor,2,0
LEGION2-main,src-tauri/src/scanners/probes/nasl/utils/function,7,0
LEGION2-main,src-tauri/src/scanners/probes/nasl/builtin/find_service,1,0
