sha256,count,refs
98a75a217173ff9d6f17bda626c90a59ca167c71e1f4d7cb3821dd742c702bf1,11,v2ray-core-main:app/observatory/command/errors.generated.go;v2ray-core-main:app/stats/command/errors.generated.go;v2ray-core-main:app/log/command/errors.generated.go;v2ray-core-main:app/proxyman/command/errors.generated.go;v2ray-core-main:app/router/command/errors.generated.go;v2ray-core-master:app/observatory/command/errors.generated.go;v2ray-core-master:app/stats/command/errors.generated.go;v2ray-core-master:app/subscription/subscriptionmanager/command/errors.generated.go;v2ray-core-master:app/log/command/errors.generated.go;v2ray-core-master:app/proxyman/command/errors.generated.go;v2ray-core-master:app/router/command/errors.generated.go
167b160ad672866ec92afd1bbe473341eec90c03847007abdb4bc4c60fd4fcca,10,v2ray-core-main:proxy/vlite/outbound/errors.generated.go;v2ray-core-main:proxy/vless/outbound/errors.generated.go;v2ray-core-main:proxy/vmess/outbound/errors.generated.go;v2ray-core-main:app/proxyman/outbound/errors.generated.go;v2ray-core-master:proxy/vlite/outbound/errors.generated.go;v2ray-core-master:proxy/vless/outbound/errors.generated.go;v2ray-core-master:proxy/vmess/outbound/errors.generated.go;v2ray-core-master:proxy/wireguard/outbound/errors.generated.go;v2ray-core-master:app/subscription/entries/outbound/errors.generated.go;v2ray-core-master:app/proxyman/outbound/errors.generated.go
bded47329362f4f67dd0c7f43bac5271128164b7d88525b93acc54c911c82216,10,v2ray-core-main:common/protocol/dns/errors.generated.go;v2ray-core-main:proxy/dns/errors.generated.go;v2ray-core-main:features/routing/dns/errors.generated.go;v2ray-core-main:app/dns/errors.generated.go;v2ray-core-main:infra/conf/synthetic/dns/errors.generated.go;v2ray-core-master:common/protocol/dns/errors.generated.go;v2ray-core-master:proxy/dns/errors.generated.go;v2ray-core-master:features/routing/dns/errors.generated.go;v2ray-core-master:app/dns/errors.generated.go;v2ray-core-master:infra/conf/synthetic/dns/errors.generated.go
972649945761563c2b9ace4022d08400c7ca74db674d73f5a310d56c95fd0e31,9,Xray-core-main:proxy/vless/outbound/config.go;Xray-core-main:proxy/vmess/outbound/config.go;Xray-tun-main:proxy/vless/outbound/config.go;Xray-tun-main:proxy/vmess/outbound/config.go;v2ray-core-main:proxy/vless/outbound/config.go;v2ray-core-main:proxy/vmess/outbound/config.go;v2ray-core-master:proxy/vless/outbound/config.go;v2ray-core-master:proxy/vmess/outbound/config.go;v2ray-go-main:proxy/vmess/outbound/config.go
f99cd29edd612ce538007fe8e901393b64ef7a6b53e2aa287d1cd52499a38ce9,8,v2ray-core-main:proxy/vlite/inbound/errors.generated.go;v2ray-core-main:proxy/vless/inbound/errors.generated.go;v2ray-core-main:proxy/vmess/inbound/errors.generated.go;v2ray-core-main:app/proxyman/inbound/errors.generated.go;v2ray-core-master:proxy/vlite/inbound/errors.generated.go;v2ray-core-master:proxy/vless/inbound/errors.generated.go;v2ray-core-master:proxy/vmess/inbound/errors.generated.go;v2ray-core-master:app/proxyman/inbound/errors.generated.go
f08182a91888053a289f80fce8f912c2d1feab35fb4387cd484398962142bff7,6,v2ray-core-main:proxy/http/errors.generated.go;v2ray-core-main:transport/internet/http/errors.generated.go;v2ray-core-main:transport/internet/headers/http/errors.generated.go;v2ray-core-master:proxy/http/errors.generated.go;v2ray-core-master:transport/internet/http/errors.generated.go;v2ray-core-master:transport/internet/headers/http/errors.generated.go
f5a3b29208b7ffa5f6506461e9d94316a53a2a9dba50982c95a0478892456b7e,6,v2ray-core-main:proxy/vless/encoding/errors.generated.go;v2ray-core-main:proxy/vmess/encoding/errors.generated.go;v2ray-core-main:transport/internet/grpc/encoding/errors.generated.go;v2ray-core-master:proxy/vless/encoding/errors.generated.go;v2ray-core-master:proxy/vmess/encoding/errors.generated.go;v2ray-core-master:transport/internet/grpc/encoding/errors.generated.go
4380e4e97043a863319543eb0f37230ade1fbceefd9d0a277de9faeff0f4b578,5,Xray-core-main:common/protocol/payload.go;Xray-tun-main:common/protocol/payload.go;v2ray-core-main:common/protocol/payload.go;v2ray-core-master:common/protocol/payload.go;v2ray-go-main:common/protocol/payload.go
4f4d66077ed7ac03d1c4e6dda8632238549d45df60b3f0c82a10ce19957adad4,5,Xray-core-main:common/protocol/context.go;Xray-tun-main:common/protocol/context.go;v2ray-core-main:common/protocol/context.go;v2ray-core-master:common/protocol/context.go;v2ray-go-main:common/protocol/context.go
5af07f55ce836815690137b975898ed38bfcbc2b7331e17869a68180d195ebe8,5,Xray-core-main:proxy/vmess/aead/authid_test.go;Xray-tun-main:proxy/vmess/aead/authid_test.go;v2ray-core-main:proxy/vmess/aead/authid_test.go;v2ray-core-master:proxy/vmess/aead/authid_test.go;v2ray-go-main:proxy/vmess/aead/authid_test.go
6335e99e8019dd1a6ae3bbd8f0ed2b5a20cf7fecd0a3b17e1fd008aeb58da0e1,5,Xray-core-main:common/peer/latency.go;Xray-tun-main:common/peer/latency.go;v2ray-core-main:common/peer/latency.go;v2ray-core-master:common/peer/latency.go;v2ray-go-main:common/peer/latency.go
692bbc3ca344d8549a650cf143ba2d79811c9ac879ecc0d04348ac5d7c8b9c5c,5,Xray-core-main:common/buf/readv_windows.go;Xray-tun-main:common/buf/readv_windows.go;v2ray-core-main:common/buf/readv_windows.go;v2ray-core-master:common/buf/readv_windows.go;v2ray-go-main:common/buf/readv_windows.go
9600ac8b7e52a72f03c73030c756a3551b6a6c88c74b843970353c9460d68343,5,Xray-core-main:common/cmdarg/cmdarg.go;Xray-tun-main:common/cmdarg/cmdarg.go;v2ray-core-main:common/cmdarg/cmdarg.go;v2ray-core-master:common/cmdarg/cmdarg.go;v2ray-go-main:common/cmdarg/cmdarg.go
96abe8e222c43cb0a395e1ff1a5adb62912841d817a230a2bcf4a948070c4d76,5,Xray-core-main:common/bitmask/byte.go;Xray-tun-main:common/bitmask/byte.go;v2ray-core-main:common/bitmask/byte.go;v2ray-core-master:common/bitmask/byte.go;v2ray-go-main:common/bitmask/byte.go
96dc8763e2276da983e48e2256fb84466d7d3128cd9e121bac62f0782a153c33,5,Xray-core-main:common/signal/semaphore/semaphore.go;Xray-tun-main:common/signal/semaphore/semaphore.go;v2ray-core-main:common/signal/semaphore/semaphore.go;v2ray-core-master:common/signal/semaphore/semaphore.go;v2ray-go-main:common/signal/semaphore/semaphore.go
9b710f0a763adc7959cd83db236bbf030dfea72f165fd9cea3b5349d0eb466f8,5,Xray-core-main:common/crypto/internal/chacha.go;Xray-tun-main:common/crypto/internal/chacha.go;v2ray-core-main:common/crypto/internal/chacha.go;v2ray-core-master:common/crypto/internal/chacha.go;v2ray-go-main:common/crypto/internal/chacha.go
a01b33d248a4fc501b9d1f9f7d2e17aba36c53ae6ba461f9d991679b7220ebee,5,Xray-core-main:common/task/periodic.go;Xray-tun-main:common/task/periodic.go;v2ray-core-main:common/task/periodic.go;v2ray-core-master:common/task/periodic.go;v2ray-go-main:common/task/periodic.go
a5e1f51efcb7853d17380470bda13ae21e7681227230fc07990e2622201aa736,5,Xray-core-main:common/signal/notifier.go;Xray-tun-main:common/signal/notifier.go;v2ray-core-main:common/signal/notifier.go;v2ray-core-master:common/signal/notifier.go;v2ray-go-main:common/signal/notifier.go
a8dcd9f4590ce446fc6fdebdae5105f2ec039248355d92a50b333b1fbff7670d,5,Xray-core-main:proxy/vmess/aead/consts.go;Xray-tun-main:proxy/vmess/aead/consts.go;v2ray-core-main:proxy/vmess/aead/consts.go;v2ray-core-master:proxy/vmess/aead/consts.go;v2ray-go-main:proxy/vmess/aead/consts.go
a922860b3ac656c9bc15008567cd826eb1d3ef1ed884bca34619d19df4c7ed54,5,Xray-core-main:main/distro/debug/debug.go;Xray-tun-main:main/distro/debug/debug.go;v2ray-core-main:main/distro/debug/debug.go;v2ray-core-master:main/distro/debug/debug.go;v2ray-go-main:main/distro/debug/debug.go
b5176ecfb1cc781b5c43883de6c74fa645f704c9cfbe4736e0667869e791a33d,5,Xray-core-main:common/peer/peer.go;Xray-tun-main:common/peer/peer.go;v2ray-core-main:common/peer/peer.go;v2ray-core-master:common/peer/peer.go;v2ray-go-main:common/peer/peer.go
b700648fdc1ae36f35aadd7b232cd8e21f462856db18d792b6d54468b7e5c133,5,Xray-core-main:transport/internet/headers/http/resp.go;Xray-tun-main:transport/internet/headers/http/resp.go;v2ray-core-main:transport/internet/headers/http/resp.go;v2ray-core-master:transport/internet/headers/http/resp.go;v2ray-go-main:transport/internet/headers/http/resp.go
bc99d85b8486bc40a4e4d8e5e24b93d39be79c32d6f75b175c56d7b8eb237153,5,Xray-core-main:common/protocol/udp/udp.go;Xray-tun-main:common/protocol/udp/udp.go;v2ray-core-main:common/protocol/udp/udp.go;v2ray-core-master:common/protocol/udp/udp.go;v2ray-go-main:common/protocol/udp/udp.go
be9ef51f635346b52d5bf6c6a6f0c2f13264461b0c6079f3b86452e3b59b585c,5,Xray-core-main:transport/internet/finalmask/mkcp/original/xor_amd64.s;Xray-tun-main:transport/internet/kcp/xor_amd64.s;v2ray-core-main:transport/internet/kcp/xor_amd64.s;v2ray-core-master:transport/internet/kcp/xor_amd64.s;v2ray-go-main:transport/internet/kcp/xor_amd64.s
d79b2cc0c2377d07fd13483dd90b19f9689dae63c410ff9597c3ca06a52e82ac,5,Xray-core-main:common/signal/done/done.go;Xray-tun-main:common/signal/done/done.go;v2ray-core-main:common/signal/done/done.go;v2ray-core-master:common/signal/done/done.go;v2ray-go-main:common/signal/done/done.go
