donor,category,path,matching_symbols,sample_symbols
LEGION2-main,dns_cache,src/stores/hostStore.ts,9,HostStoreState;useHostStore;allHosts;existingHostsMap;mergedHosts;dbHostsIps;missingHosts;lastHosts;cachedResult
LEGION2-main,dns_cache,src-tauri/src/scanners/probes/mix-probes/module_dns.c,8,build_global_dns_packets;dns_global_initialize;dns_global_cleanup;dns_prepare_packet;dns_make_packet;dns_print_packet;dns_add_null_fs;dns_process_packet
LEGION2-main,dns_cache,src-tauri/src/shared/parser.rs,8,get_all_hosts;get_hosts_count;get_hosts_by_vendor;get_hosts_with_open_ports;get_hosts_with_service;hosts_up_percentage;filter_hosts_by_os_family;get_hosts_with_vulnerabilities
LEGION2-main,dns_cache,src-tauri/src/commands/host_commands.rs,4,get_hosts_in_range;get_all_hosts;clear_all_hosts;batch_import_hosts
LEGION2-main,dns_cache,src-tauri/src/core/hostname_resolver.rs,4,HostnameResolver;refresh_known_hosts;get_hosts_with_capability;get_known_hosts
LEGION2-main,dns_cache,src-tauri/src/network/hostname_probes.rs,3,encode_dns_name;MDNSHostnameQuery;LocalDNSQuery
LEGION2-main,dns_cache,src/components/ScannerPanel.tsx,3,hosts;loadExistingHosts;existingHosts
LEGION2-main,dns_cache,src-tauri/src/analysis/vulnerability.rs,2,analyze_hosts_in_range;analyze_all_hosts
LEGION2-main,dns_cache,src-tauri/src/core/sinks.rs,2,increment_hosts;flush_hosts_batch
LEGION2-main,dns_cache,src-tauri/src/core/transformer.rs,2,detect_os_from_ttl;init_resolver
LEGION2-main,dns_cache,src-tauri/src/database.rs,2,get_all_hosts;clear_all_hosts
LEGION2-main,dns_cache,src-tauri/src/shared/host.rs,2,filter_hosts_by_status;filter_hosts_with_open_ports
LEGION2-main,dns_cache,src-tauri/src/shared/os.rs,2,detect_via_ttl;analyze_ttl
LEGION2-main,dns_cache,src-tauri/src/shared/session.rs,2,hosts_up_percentage;get_total_hosts_scanned
LEGION2-main,dns_cache,src-tauri/src/core/discovery_manager.rs,1,load_existing_hosts
LEGION2-main,dns_cache,src-tauri/src/core/mod.rs,1,hostname_resolver
LEGION2-main,dns_cache,src-tauri/src/scanners/probes/nasl/builtin/raw_ip/packet_forgery.rs,1,DEFAULT_TTL
LEGION2-main,dns_cache,src-tauri/src/scanners/probes/nasl/utils/mod.rs,1,hosts
LEGION2-main,dns_cache,src-tauri/src/scanners/probes/nasl/utils/scan_ctx.rs,1,vhosts
LEGION2-main,dns_cache,src-tauri/src/shared/types.rs,1,HostStatus
LEGION2-main,dns_cache,src-tauri/src/utils/parsing.rs,1,detect_os_by_ttl
LEGION2-main,dns_cache,src/components/HostTable.tsx,1,hosts
LEGION2-main,dns_cache,src/components/ResultViewer.tsx,1,hosts
LEGION2-main,dns_cache,src/stores/appStore.ts,1,existingHosts
LEGION2-main,health_selection,src-tauri/src/scanners/probes/iot_probes.rs,10,IoTProbeResponse;SSDPProbe;build_probe;MDNSProbe;WSDDProbe;SNMPProbe;CoAPProbe;MQTTProbe;IoTProbeSender;test_ssdp_probe_build
LEGION2-main,health_selection,src-tauri/src/scanners/netsniffer.rs,7,with_probe_interval;send_ssdp_probe;send_mdns_probe;send_udp_probes;send_tcp_syn_probes;get_probe_targets;pkt_to_observation
