donor,module_path,manifest_kind,manifest_path,manifest_sha256
LEGION2-main,.,package.json,package.json,7c398a32da206bf2863e7f6c73c91ee6c5a4b8183beb95677ee99d90c7ce2d69
LEGION2-main,src-tauri,cargo.toml,src-tauri/Cargo.toml,3ec1a1b3bd3eade14b53f64cfcfeaa10def3bc7844ec59fd72846f7913c58d00
OnionHop-master,.,root,.,f8651714ee533dd9dd8dc36097a0cc7109437e719a93992068afd0992f5d968a
SIMORGH-main,app,build.gradle.kts,app/build.gradle.kts,dad6c321c9463d2b1256604cddebd84aa18237c3193f96cd8e49e0bc9347eec3
SIMORGH-main,app,settings.gradle.kts,app/settings.gradle.kts,dc313c186a111ff878a0c1d0ae5be4ca1ac2075b40bff0e59d95757db3ccb186
Xray-core-main,.,go.mod,go.mod,edd18f2cf2685e623fcfff72489e8cd166eb1140b8fbd8e705610c61e525182a
Xray-core-main,.github/docker,dockerfile,.github/docker/Dockerfile,b39a40c9206463e050c6ca50f17a4ffa92896dc0e1f248f3e21f9f3f6e2267f0
Xray-docs-next-main,.,package.json,package.json,196e16d33455e12d3dc7316f5fc73935ec8e93c11d9ce01f43221044e7c22ef7
Xray-tun-main,.,go.mod,go.mod,61cd25c90e215f44e9fd79495e41e426fcc2bc00aa09ad6ea88f202cc23eea19
iperf-master,docs,makefile,docs/Makefile,8836b1617ae44803e10beaad0d5654accaa77ba63b187022b7c24a1d2e236926
iperf-master,contrib,dockerfile,contrib/Dockerfile,2efdeb2ee05000208c32f474f06a791d5a9bdf89eff9ee3acd5a2e4e73a825bd
lantern-main,.,go.mod,go.mod,cf54e1ab3612d64ef7c641549b265c3717c8fb96b2e4e12bf63107fcfcfead48
lantern-main,.,makefile,Makefile,9559c313bb00f503a4ea6dd117ae54ac76da32038d1f5652210372c1bf3ce5a0
lantern-main,.,dockerfile,Dockerfile,227ce92505f40c12d9ef638b756a61308f96cdbb561b94d054e617369b905b32
lantern-main,android,settings.gradle,android/settings.gradle,39c770c14e34076ff897ee86e4dcfb876e5242638925585740d889dc6deeead2
lantern-main,android,build.gradle,android/build.gradle,8b9efa3a66792ea7c07a4fca6637494539dc67919f579f6871b0dfab1a466522
lantern-main,scripts,requirements.txt,scripts/requirements.txt,ec72420df5dfbdce4111f715c96338df3b7cb75f58e478d2449c9720e560de8c
lantern-main,android/app,build.gradle,android/app/build.gradle,bf57340873de8b7e68bf5c51955ee7995c665b34327bdc94200ae2acb081b036
metacubexd-main,.,package.json,package.json,673443eb04d2c4c28037940a7798f88af22a1b70863ba1006bd8162fb0a8cbde
metacubexd-main,.,dockerfile,Dockerfile,13820c4f5895bb3a7cfdf455ea54ae7154d7ee38367d0d9a87fc7bb0bc72107f
nexvpn-main,.,package.json,package.json,23c241c9174fcb5d69a6cfaeb01afe3f12ded70bd143bcebf58e6e643305703c
nexvpn-main,src-tauri,cargo.toml,src-tauri/Cargo.toml,854a1d960da6074a9ad6a9a21cf1d82344a9c26aea309a320a706803e6408b77
nexvpn-main,src-tauri/gen/android,settings.gradle,src-tauri/gen/android/settings.gradle,99856053f245337d20d308dbeaf9cd7250ad0c186ebbb6866ab46a6e7005ee19
nexvpn-main,src-tauri/gen/android,build.gradle.kts,src-tauri/gen/android/build.gradle.kts,78f0727bbea1e0381ca56cbc140841762a4cbe8061a33a199cd2764ab524c645
nexvpn-main,src-tauri/gen/android/buildSrc,build.gradle.kts,src-tauri/gen/android/buildSrc/build.gradle.kts,11818be939b3aa44d691228f8666fba5efc796cdc1b4fb8072ab7c91bc056eb0
