donor,path,language,symbol,file_sha256
LEGION2-main,tauri.ts,TypeScript,invokeTauriCommand,9dd0a9545eacf9b6c7d4b5b7512451aec99d13fab96dab1d1231318b411c5110
LEGION2-main,tauri.ts,TypeScript,callTauriCommand,9dd0a9545eacf9b6c7d4b5b7512451aec99d13fab96dab1d1231318b411c5110
LEGION2-main,src-tauri/build.rs,Rust,main,4ae2333b11623039cc115e29b696e7ff5cdfcd5b7d628280ddf48fa733e6418d
LEGION2-main,src/App.tsx,TypeScript,App,1a20a83be5c129ce9d0673ecb0917613b5724c81306573653cfa0ea860885ef7
LEGION2-main,src/stores/appStore.ts,TypeScript,ScanDonePayload,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,SessionAnalyticsInfo,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,AppState,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,AppActions,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,useAppStore,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,setupEventListeners,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,hostData,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,serviceData,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,progressData,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,metricsData,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,errorData,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,vuln,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,vulnMsg,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,scanId,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,isTracked,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,newPendingScans,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,allScansDone,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,remainingScanIds,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,existingHosts,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,targets,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,ports,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,extraArgs,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,massmapResult,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,discoveryPlanId,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,masscanPlanId,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,plans,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,planScanIds,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,initialPhaseLabel,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,waitForScanCompletion,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,timeout,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,checkInterval,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,state,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,plan,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,isLastPlan,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,phaseLabel,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,completionPromise,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,aliveIps,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,nmapPlan,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,interfaceName,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,msg,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/appStore.ts,TypeScript,hint,64781978b0256ac2d76cada462001ae377b214384eb51a6d6ea48e625712b481
LEGION2-main,src/stores/vulnStore.ts,TypeScript,Vulnerability,f19a1f2dd6319c0e6994b4e3f97f807c4874eb5c166d8c6d01e281ac5712a3a9
LEGION2-main,src/stores/vulnStore.ts,TypeScript,VulnStore,f19a1f2dd6319c0e6994b4e3f97f807c4874eb5c166d8c6d01e281ac5712a3a9
