donor,archive,sha256,regular_files,directory_entries,symlinks,uncompressed_bytes,compressed_bytes,ratio
IPRadar2ForLinux,/mnt/data/IPRadar2ForLinux-main.zip,bb31f74a93c5de4d647376244114006de0a2a64c4833a8e7d0179e1247f88a18,46,13,0,2145508,1786929,1.200667737778054
obfuscated-openssh,/mnt/data/obfuscated-openssh-master (1).zip,d9cb272486e0b903fe474d09813626cfd8bd71f0a63312ce19920c05025a998d,450,13,0,4443754,1255349,3.5398554505559807
Yacd-meta,/mnt/data/Yacd-meta-master(1).zip,d6bdeb427be33d701d9cd34954e7be367ab8a244b87b9fe96b92321ffcddd8a0,226,31,0,2690222,1278458,2.1042709263816253
subconverter,/mnt/data/subconverter-master.zip,ccdee435e87c8477b74199f29bdb075355b94d31848cc62460569cd2f70bd0e3,508,58,0,5465803,1125480,4.856419483242705
ipscan,/mnt/data/ipscan-master.zip,74a5cf36656eb50df9b4291d160b37c948f4e851a3fbddb3889b98c59c2e1b22,350,75,0,2712649,1011018,2.6830867501864457
Throne,/mnt/data/Throne-dev.zip,8a734eaaf1b8249777e3151f7da10641f8e8886a3bdd3a90c14e43bd2eb58e30,844,136,0,18107752,6214694,2.91369969301787
WarpScanner,/mnt/data/WarpScanner-main(1).zip,db17f55307969470409a6f9a7c1cc83159b6f5c0eca1e9a36d8945e6a3e765c3,41,5,0,12778044,6072907,2.1041066494184744
Shin-TG-V2ray-Collector,/mnt/data/Shin-TG-V2ray-Collector-main.zip,713c2635806df68560a35c49ed2a7cf945c0053c74b6c8c3d6cac829d56cda3e,10,1,0,10991818,5530968,1.9873226531052068
V2RayDAR,/mnt/data/V2RayDAR-main.zip,ff03255ef6f8be15b08f1f2c1ae5d7603c40fc17cbb4509be854cd135dcfea8d,62,9,0,10484995,5281696,1.9851568511326665
SNI-Spoofing-Go,/mnt/data/SNI-Spoofing-Go-shahin.zip,e11b4b225bbc8e484aed2771290911fa4a9a1bcf4111d087e035e7cf269033df,52,21,0,9021382,5195785,1.7362885492759996
libcrafter,/mnt/data/libcrafter-master.zip,bc021e2984f081561604dc1502eee53b831de76b8afed4fb128c067cb64afa6e,1282,146,2,17165678,3810538,4.50479118696625
tailscale-rs,/mnt/data/tailscale-rs-main.zip,5ecf45641379b1aa1fc2daf2eed5966e92ddf93f637cbb938422240c82111495,485,164,0,5134342,3341727,1.5364337062842057
gotk4,/mnt/data/gotk4-4.zip,07dc14f4f4780b336b7095250a9fb0f0a17b5d61551a5e5fc35ce57f669b2c74,168,69,0,20048800,3344245,5.995015317358627
SNI-Spoofing-Pro,/mnt/data/SNI-Spoofing-Pro-main.zip,d09b52a9ed1ba0da978060b4848e0bacf51eed3550879cfd8201e30abeb1f975,31,7,0,3267373,3072877,1.06329443059387
Vwarp,/mnt/data/Vwarp-master(1).zip,36aeae1358bff0284aa724c3df4046bf209d929bc313adbaede4baac514071a0,195,60,0,3446063,2716875,1.2683921785139176
Scrapling,/mnt/data/Scrapling-main (1).zip,4714e95e7be11b0e8de83eb490fe3c3226c4f01ff4a9bf997a65a63e3629ad3c,236,42,0,4153323,2353066,1.7650686381087484
mylg,/mnt/data/mylg-master.zip,60dc992016e5cbefcceb53f1c36ceebc6d280597cd4db7aa0812a600d8119e75,392,64,0,9858650,2203630,4.473822737936949
tsidp,/mnt/data/tsidp-main.zip,ab98dceb906d57e26c99c2697810fc1e6ec48e39d2c7dc8cb8719e177d72e47a,86,19,0,3122282,2289418,1.3637885261669123
okhttp,/mnt/data/okhttp-master.zip,89766236272fafb00410b7d2c6b636a30d9bd261c7e7ae02cbdfee7385cd0f38,616,327,0,5306943,1987971,2.6695273723811868
Sanaei-3xui-v2ray,/mnt/data/Sanaei-3xui-v2ray-main.zip,6f257f6221a51e24a9c02aa158dd7c64dbd1a719b7fdb64850f2b23b4a8e97f8,150,50,0,6476600,2011267,3.2201592329611137
