role,project,archive_sha256,surface_count,exact_historical_matches,reopened_surfaces,root_record_ids,resolution,boundary
target,LumiNet,24db4253756f32c8a96cdb6783d498dd38bf076ac6bc5ff2a98536f152c96df2,n/a,n/a,n/a,PR222-S074;PR222-S075;PR222-S076,post-refactor-221 target frozen by exact archive hash; 222 changes are delta-accounted,target authority remains LumiNet-native
donor,Aether-GUI-main(1).zip,e2c174002c5c4cbe698bbf751546ca10f0d962e29861ee016a11b75c25d13df5,123,123,0,PR222-S001,exact matches revalidated; unmatched surfaces explicitly disposed in post-222 ledger,peer evidence only; no donor package owns target authority
donor,Aether-main(1).zip,7cdb092bef0540c8fc2dbe6cb70603fcd65ec306b8bcbd20ccf1d8f6aacb8700,2195,2180,15,PR222-S002;PR222-S077,exact matches revalidated; unmatched surfaces explicitly disposed in post-222 ledger,peer evidence only; no donor package owns target authority
donor,bittorrent-nodeid-master.zip,ddd01fb310cdbd85505838a263f4d6183daafccb5093b07a75e65d082214da05,4,0,4,PR222-S015,exact matches revalidated; unmatched surfaces explicitly disposed in post-222 ledger,peer evidence only; no donor package owns target authority
donor,Captcha_hacking-master.zip,620622d30bfa6280c08f025ffc2ee2130c54c2080d715159502d565f1d58406f,237,0,237,PR222-S022;PR222-S021,exact matches revalidated; unmatched surfaces explicitly disposed in post-222 ledger,peer evidence only; no donor package owns target authority
donor,cdin-main.zip,0260385738301b53ff9d513354b373ea29b23e4ae10b5d8254c4c5312634e8e1,168,2,166,PR222-S009;PR222-S028;PR222-S024;PR222-S026;PR222-S025;PR222-S027,exact matches revalidated; unmatched surfaces explicitly disposed in post-222 ledger,peer evidence only; no donor package owns target authority
donor,coredns-master(1).zip,99a1da842b6a5144590f526e7fe65835077255bc17c2f413aaefddc9c3d030f9,985,982,3,PR222-S003;PR222-S078,exact matches revalidated; unmatched surfaces explicitly disposed in post-222 ledger,peer evidence only; no donor package owns target authority
donor,Deanonymizing-quietly-all-of-Tor-main.zip,44d7b35a2fb0856478e87d41cb1e8fe122700cc58b4184b8ea190b243fe313e8,1,0,1,PR222-S023,exact matches revalidated; unmatched surfaces explicitly disposed in post-222 ledger,peer evidence only; no donor package owns target authority
donor,defyxVPN-main.zip,064e083e1333124f1c94a2c2b30ca83d27ba9cc0350aa46b2b7e3b75d2e604ae,315,315,0,PR222-S004,exact matches revalidated; unmatched surfaces explicitly disposed in post-222 ledger,peer evidence only; no donor package owns target authority
donor,dns-over-https-proxy-master(1).zip,2aa075051e81ed0daae1d3bb3db666e16a9b4e4358f5b16043caed40bcfee84f,1091,1090,1,PR222-S005;PR222-S079,exact matches revalidated; unmatched surfaces explicitly disposed in post-222 ledger,peer evidence only; no donor package owns target authority
donor,DNS-Persist-master(1).zip,0396f84ecbd482d9e84ca7b9862513fdf5475740dfb7854e4cbebf2adedb0778,30,30,0,PR222-S006,exact matches revalidated; unmatched surfaces explicitly disposed in post-222 ledger,peer evidence only; no donor package owns target authority
donor,EDtunnel-main.zip,e961cd3d95fb24a2c63758f1fb8077d476bad9bfd88678bb0e086647a6307c69,51,0,51,PR222-S031;PR222-S033;PR222-S032;PR222-S029;PR222-S030,exact matches revalidated; unmatched surfaces explicitly disposed in post-222 ledger,peer evidence only; no donor package owns target authority
