donor,directory,descendant_surfaces,direct_surfaces,tree_sha256,semantic_record_ids
mhurl-main,.,7,6,d393d756590a1ec81e292baf08829d28e065947598da95ee5a8d2c89f1800e3d,BASE01;MHURL001;MHURL002
mhurl-main,.github,1,0,0a1d4c397ea44c00f7ad5b5d06c7317f50d5f3b53696c179baaf04b4cdc69e91,BASE01
mhurl-main,.github/workflows,1,1,0a1d4c397ea44c00f7ad5b5d06c7317f50d5f3b53696c179baaf04b4cdc69e91,BASE01
Iran-configs-main,.,3,3,728ba78e1888b9f1970ab3bdc42c19dbafef17a7406fdf46319fed714b652668,BASE02;IRCFG001;IRCFG002
Iran-v2ray-rules-main,.,39,4,2bec8e4e74c6beb319274b0091690597ecfaf6cc13a09df5ea03096125ee92c6,BASE03;IRRULE001;IRRULE002;IRRULE003;IRRULE004
Iran-v2ray-rules-main,.github,4,0,15e756f731b1eae7e587f825b021efa78c400b28f83803825bb9430ed3b0475a,BASE03
Iran-v2ray-rules-main,.github/workflows,4,4,15e756f731b1eae7e587f825b021efa78c400b28f83803825bb9430ed3b0475a,BASE03
Iran-v2ray-rules-main,assets,14,14,200cb3e86f4027fff9903f80f0e65e288fe92deafe6fd41404711248cfda7fd1,BASE03;IRRULE003
Iran-v2ray-rules-main,scripts,9,9,93a8cacda55ba46fbc0011e09d04c27696d7af470e66b37aea54ee3261f572f5,BASE03;IRRULE001;IRRULE004
Iran-v2ray-rules-main,v2rayN,8,8,730ae85f40ebf55d724b9fd09a54c632c8bf195494c80630882433da8886870b,BASE03;IRRULE002
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,.,44,12,c673b924f4277e72e6e9c101fbe3e23deb45552c60fbab96d94d2779556064d9,BASE04;JJ001;JJ002;JJ003;JJ004;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,.github,2,0,5c87d91a12039ecf644f57c13e1484f4d8368acc06689b72c8e4945883f2e422,BASE04
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,.github/workflows,2,2,5c87d91a12039ecf644f57c13e1484f4d8368acc06689b72c8e4945883f2e422,BASE04
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,apps_script,7,7,d4c7466e6396621cdbcd5006011e4a9cf609e0c1c0c33842c0f6064f87176ae6,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,docs,2,0,30c90784ecf83d7be5d66cbf84cbab3a1e5c5bce5be786d4db61794e0414c012,BASE04
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,docs/exit-node,2,2,30c90784ecf83d7be5d66cbf84cbab3a1e5c5bce5be786d4db61794e0414c012,BASE04
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,scripts,1,1,7afcfd7631b74b0103af5f8f7ad0c5dc0a06af7761cefdb46369dbeb4d3ffec0,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src,19,0,f9dad1076be5618b77d901a2e030cc5ebfc60723b1a71f83d95e2103c05c4381,BASE04;JJ001;JJ002;JJ003;JJ004;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core,7,7,26976f30f857896754157bdb53cbcdef8df0ec102e1d786fb10cefefcf5d8df2,BASE04;JJ003;JJ004;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/proxy,6,6,a37a4f6177c28311b7ba29baa930335e99d6eb33b1e435eb5d3e6dcd1b85e289,BASE04;JJ001;JJ002;JJ003;JJ004;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/relay,6,6,5191d8e7bcd32a0b15303f33eef80825a35a20a1374b8815b598cc1ece2b68c8,BASE04;JJ001;JJ002;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,tests,1,1,4a81f0dec93e29a7b788e487b722678bec7ebf11fb1b2140d2175f6f06872219,BASE04;JJ005
kcp-go-master,.,46,38,4affc8f03c8d7a1447da0f97da802664da273e60ecaef0a81906a5fc54e26df7,BASE05;KCPGO001;KCPGO002;KCPGO003;KCPGO004;KCPGO005
kcp-go-master,.github,1,0,56411e6755a705995c49c28737102e0b8aa91b7fe5c22d5f81c45bc1c5f0b095,BASE05
