donor,path,sha256,size_bytes,type,file_type,language,classification,authority_status,symlink_target,semantic_record_ids,surface_disposition,surface_rationale,notes
mhurl-main,.github/workflows/go.yml,684302c7e241e24cd71464eb0a8215304449eb790a4ddac39047ac842942840d,1194,file,file,yaml,repository-administration,derived,,BASE01,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
mhurl-main,.gitignore,97073bbbb95844ebad5210ce13888e3988e5d5b9b279606bc6ae8bed83db2d5c,524,file,file,other,repository-administration,derived,,BASE01,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
mhurl-main,LICENSE,22975ebe413674bc619428a26e53412013dccffa69e2f27100dbd8d946fde287,1452,file,file,other,governance,descriptive,,BASE01,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
mhurl-main,README.md,33b96e36423860ed8def900ce8a518f2b4649c0ca5c7050b183582bc9661310c,490,file,file,markdown,documentation,descriptive,,BASE01,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
mhurl-main,go.mod,754ccfe17992597c700d3fc2324301a0526e3bc2f6d6fa11a4fb53d6c124c20a,44,file,file,other,configuration,authoritative,,BASE01,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
mhurl-main,url.go,71a51f55c3cbe6c94a375146f2999ecb9b7e28fbb738a6974e774b6f5352ab35,24663,file,file,go,implementation,authoritative,,BASE01;MHURL001;MHURL002,guardrail-derived,Comma-separated URL authority conflicts with LumiNet typed endpoint ownership; preserve interoperability by rejecting ambiguity rather than forking URL syntax.,Focused semantic link(s) plus base accountability.
mhurl-main,url_test.go,f6d3e9c0a91d3c6f77bed0260f1108ba9d7bb75c548aef87777388ab3f5a921c,2225,file,file,go,test,derived,,BASE01;MHURL001;MHURL002,guardrail-derived,Comma-separated URL authority conflicts with LumiNet typed endpoint ownership; preserve interoperability by rejecting ambiguity rather than forking URL syntax.,Focused semantic link(s) plus base accountability.
Iran-configs-main,.gitignore,48b33f9f89ef24f8a66f461ea9278e7ecf21b4660c26088989d231e53c578724,4688,file,file,other,repository-administration,derived,,BASE02,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
Iran-configs-main,README.md,babdd9217450da9ad5b7141dda24fd0194979ac1c7aea9fa4d7204ee8e938096,479,file,file,markdown,documentation,descriptive,,BASE02;IRCFG002,rejected-with-reason,"Repository content is an ephemeral service feed, not a safe durable product dependency.",Focused semantic link(s) plus base accountability.
Iran-configs-main,ir_configs.txt,17fcbd7d250b7ec2bda2ee7e35a3b23ef1e0adde12675ae2f853fb2a6fe745ac,55764,file,file,other,fixture,derived,,BASE02;IRCFG001,extracted,Live account endpoints are volatile and credential-bearing; convert protocol diversity into synthetic credential-free regression fixtures instead of copying accounts.,Focused semantic link(s) plus base accountability.
