donor,path,line,kind,symbol,surface_sha256,semantic_record_ids
mhurl-main,url.go,21,function,ishex,71a51f55c3cbe6c94a375146f2999ecb9b7e28fbb738a6974e774b6f5352ab35,BASE01;MHURL001;MHURL002
mhurl-main,url.go,26,function,unhex,71a51f55c3cbe6c94a375146f2999ecb9b7e28fbb738a6974e774b6f5352ab35,BASE01;MHURL001;MHURL002
mhurl-main,url.go,31,function,shouldEscape,71a51f55c3cbe6c94a375146f2999ecb9b7e28fbb738a6974e774b6f5352ab35,BASE01;MHURL001;MHURL002
mhurl-main,url.go,37,function,unescape,71a51f55c3cbe6c94a375146f2999ecb9b7e28fbb738a6974e774b6f5352ab35,BASE01;MHURL001;MHURL002
mhurl-main,url.go,115,function,escape,71a51f55c3cbe6c94a375146f2999ecb9b7e28fbb738a6974e774b6f5352ab35,BASE01;MHURL001;MHURL002
mhurl-main,url.go,173,function,getScheme,71a51f55c3cbe6c94a375146f2999ecb9b7e28fbb738a6974e774b6f5352ab35,BASE01;MHURL001;MHURL002
mhurl-main,url.go,203,function,Parse,71a51f55c3cbe6c94a375146f2999ecb9b7e28fbb738a6974e774b6f5352ab35,BASE01;MHURL001;MHURL002
mhurl-main,url.go,223,function,parse,71a51f55c3cbe6c94a375146f2999ecb9b7e28fbb738a6974e774b6f5352ab35,BASE01;MHURL001;MHURL002
mhurl-main,url.go,303,function,parseAuthority,71a51f55c3cbe6c94a375146f2999ecb9b7e28fbb738a6974e774b6f5352ab35,BASE01;MHURL001;MHURL002
mhurl-main,url.go,340,function,parseHost,71a51f55c3cbe6c94a375146f2999ecb9b7e28fbb738a6974e774b6f5352ab35,BASE01;MHURL001;MHURL002
mhurl-main,url.go,352,function,_parseHost,71a51f55c3cbe6c94a375146f2999ecb9b7e28fbb738a6974e774b6f5352ab35,BASE01;MHURL001;MHURL002
mhurl-main,url.go,432,function,setPath,71a51f55c3cbe6c94a375146f2999ecb9b7e28fbb738a6974e774b6f5352ab35,BASE01;MHURL001;MHURL002
mhurl-main,url.go,448,function,setFragment,71a51f55c3cbe6c94a375146f2999ecb9b7e28fbb738a6974e774b6f5352ab35,BASE01;MHURL001;MHURL002
mhurl-main,url.go,465,function,validOptionalPort,71a51f55c3cbe6c94a375146f2999ecb9b7e28fbb738a6974e774b6f5352ab35,BASE01;MHURL001;MHURL002
mhurl-main,url.go,489,function,validUserinfo,71a51f55c3cbe6c94a375146f2999ecb9b7e28fbb738a6974e774b6f5352ab35,BASE01;MHURL001;MHURL002
mhurl-main,url.go,523,function,stringContainsCTLByte,71a51f55c3cbe6c94a375146f2999ecb9b7e28fbb738a6974e774b6f5352ab35,BASE01;MHURL001;MHURL002
mhurl-main,url.go,533,type,encoding,71a51f55c3cbe6c94a375146f2999ecb9b7e28fbb738a6974e774b6f5352ab35,BASE01;MHURL001;MHURL002
mhurl-main,url_test.go,10,type,URL,f6d3e9c0a91d3c6f77bed0260f1108ba9d7bb75c548aef87777388ab3f5a921c,BASE01;MHURL001;MHURL002
mhurl-main,url_test.go,12,type,URLTest,f6d3e9c0a91d3c6f77bed0260f1108ba9d7bb75c548aef87777388ab3f5a921c,BASE01;MHURL001;MHURL002
mhurl-main,url_test.go,102,function,TestParse,f6d3e9c0a91d3c6f77bed0260f1108ba9d7bb75c548aef87777388ab3f5a921c,BASE01;MHURL001;MHURL002
mhurl-main,url_test.go,116,function,ufmt,f6d3e9c0a91d3c6f77bed0260f1108ba9d7bb75c548aef87777388ab3f5a921c,BASE01;MHURL001;MHURL002
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,apps_script/cloudflare_worker.js,22,function,decodeBase64ToBytes,3ab186cb45fa08203f86000698e53f2ebab6c4a506dc93304e14c9c809a5f60a,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,apps_script/cloudflare_worker.js,29,function,encodeBytesToBase64,3ab186cb45fa08203f86000698e53f2ebab6c4a506dc93304e14c9c809a5f60a,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,apps_script/cloudflare_worker.js,35,function,sanitizeHeaders,3ab186cb45fa08203f86000698e53f2ebab6c4a506dc93304e14c9c809a5f60a,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,apps_script/cloudflare_worker_tcp.js,24,function,bytesToB64,7825b88085b84957692d4b70192e29ec176909d67afb781a1bb1640893ec6a00,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,apps_script/cloudflare_worker_tcp.js,34,function,b64ToBytes,7825b88085b84957692d4b70192e29ec176909d67afb781a1bb1640893ec6a00,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,apps_script/cloudflare_worker_tcp.js,41,type,TcpTunnel,7825b88085b84957692d4b70192e29ec176909d67afb781a1bb1640893ec6a00,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,apps_script/deno_deploy.ts,24,function,decodeBase64ToBytes,d64436433671e541e90ff1f31215e890e1785eede6c36d4be46172c1ab73b712,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,apps_script/deno_deploy.ts,31,function,encodeBytesToBase64,d64436433671e541e90ff1f31215e890e1785eede6c36d4be46172c1ab73b712,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,apps_script/deno_deploy.ts,37,function,sanitizeHeaders,d64436433671e541e90ff1f31215e890e1785eede6c36d4be46172c1ab73b712,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,apps_script/vps_exit_node.py,100,function,_sanitize_headers,4f94bff12861552e9ec216c63950df17a49c41e784e45c6109fc280bdb8d887d,BASE04;JJ005
