donor,path,sha256,size_bytes,file_type,language,classification,authority_status,semantic_record_ids,surface_disposition,surface_rationale
mitm-proxy,.DS_Store,3a8578ce12b3cd39423510c9d68c3058efc9857b295c9ec3d3572eedd545d598,6148,file,other,repository-administration,supporting-evidence,PR225-R022;PR225-M023,focused-module-repository-administration,focused module-level disposition
mitm-proxy,.air.toml,bcaeb023b232f468cd1f814da41ec43ceeabdefe1524e676e2f9cecba6f30c75,912,file,TOML,configuration,authoritative-source,PR225-R022;PR225-M023;PR225-F0001,focused-file-configuration,independent file-level semantic disposition
mitm-proxy,.gitignore,bd6cb355439b7f256d48e595cca8c04dc5b16bd9cfa020e59847c92000ff3a8d,579,file,other,repository-administration,supporting-evidence,PR225-R022;PR225-M023,focused-module-repository-administration,focused module-level disposition
mitm-proxy,README.md,a04e36962bbd9504de7197217c7232df50226a206dd2a9e4073f4d4bb7f4e83f,334,file,Markdown,documentation,supporting-evidence,PR225-R022;PR225-M023,focused-module-documentation,focused module-level disposition
mitm-proxy,ca.go,215b049efc9ce71c10b23b96f79b5858645bd75da5d9405f3c3c6049c6f96652,4792,file,Go,implementation,authoritative-source,PR225-R022;PR225-M023;PR225-F0002,focused-file-implementation,independent file-level semantic disposition
mitm-proxy,certs/ca-key.pem,05abec09d27d616de9628da67b1190e9c0f140e31b45566c0769bb33261d2a5f,3243,file,other,repository-administration,supporting-evidence,PR225-R022,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
mitm-proxy,certs/ca.pem,15f8f6dd18bf99b611f48d9a74b0bbcb0afe9118e082d2bc52c2c75271471e3b,1846,file,other,repository-administration,supporting-evidence,PR225-R022,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
mitm-proxy,conf.go,9cb7792ec26ef6d7ae24ce133dd2ce5ddd81cdf6611f5a213ffd7f196decf3d8,1414,file,Go,implementation,authoritative-source,PR225-R022;PR225-M023;PR225-F0003,focused-file-implementation,independent file-level semantic disposition
mitm-proxy,config.yaml,9f240a878308d5abb47c725190318c08b427a085c36c3fc1779006c3cdd5113f,246,file,YAML,configuration,authoritative-source,PR225-R022;PR225-M023;PR225-F0004,focused-file-configuration,independent file-level semantic disposition
mitm-proxy,go.mod,16992a856855698aaab634f3b2cf95bc103383f54e5013e6af8da9b4d97747d8,993,file,other,configuration,authoritative-source,PR225-R022;PR225-M023;PR225-F0005,focused-file-configuration,independent file-level semantic disposition
