donor,path,sha256,line,kind,name,extraction_policy,semantic_record_ids
browser-ext,background.js,4f93703a902adeecadc502ae71ebb59d87e7a141d1d5474435a3660e61a81554,5,function,setPopupIcon,legacy-225-compatible,PR226-R133;PR226-M134;PR226-F0001
browser-ext,background.js,4f93703a902adeecadc502ae71ebb59d87e7a141d1d5474435a3660e61a81554,22,function,enableProxy,legacy-225-compatible,PR226-R133;PR226-M134;PR226-F0001
browser-ext,background.js,4f93703a902adeecadc502ae71ebb59d87e7a141d1d5474435a3660e61a81554,35,function,disableProxy,legacy-225-compatible,PR226-R133;PR226-M134;PR226-F0001
browser-ext,background.js,4f93703a902adeecadc502ae71ebb59d87e7a141d1d5474435a3660e61a81554,84,function,browserByte,legacy-225-compatible,PR226-R133;PR226-M134;PR226-F0001
browser-ext,background.js,4f93703a902adeecadc502ae71ebb59d87e7a141d1d5474435a3660e61a81554,94,function,sendPopupStatus,legacy-225-compatible,PR226-R133;PR226-M134;PR226-F0001
browser-ext,background.js,4f93703a902adeecadc502ae71ebb59d87e7a141d1d5474435a3660e61a81554,111,function,sendToPopup,legacy-225-compatible,PR226-R133;PR226-M134;PR226-F0001
browser-ext,background.js,4f93703a902adeecadc502ae71ebb59d87e7a141d1d5474435a3660e61a81554,123,function,connectToNativeHost,legacy-225-compatible,PR226-R133;PR226-M134;PR226-F0001
browser-ext,background.js,4f93703a902adeecadc502ae71ebb59d87e7a141d1d5474435a3660e61a81554,174,function,setProxy,legacy-225-compatible,PR226-R133;PR226-M134;PR226-F0001
browser-ext,background.js,4f93703a902adeecadc502ae71ebb59d87e7a141d1d5474435a3660e61a81554,219,function,maybeSendInit,legacy-225-compatible,PR226-R133;PR226-M134;PR226-F0001
browser-ext,firefox/background.js,33fbde5e4b4dff318a025de1d5aa485ff8d09d2ba2b28bcad0b50f416d8cf741,5,function,setPopupIcon,legacy-225-compatible,PR226-R133;PR226-M135;PR226-F0002
browser-ext,firefox/background.js,33fbde5e4b4dff318a025de1d5aa485ff8d09d2ba2b28bcad0b50f416d8cf741,17,function,enableProxy,legacy-225-compatible,PR226-R133;PR226-M135;PR226-F0002
browser-ext,firefox/background.js,33fbde5e4b4dff318a025de1d5aa485ff8d09d2ba2b28bcad0b50f416d8cf741,30,function,disableProxy,legacy-225-compatible,PR226-R133;PR226-M135;PR226-F0002
browser-ext,firefox/background.js,33fbde5e4b4dff318a025de1d5aa485ff8d09d2ba2b28bcad0b50f416d8cf741,79,function,browserByte,legacy-225-compatible,PR226-R133;PR226-M135;PR226-F0002
browser-ext,firefox/background.js,33fbde5e4b4dff318a025de1d5aa485ff8d09d2ba2b28bcad0b50f416d8cf741,86,function,sendPopupStatus,legacy-225-compatible,PR226-R133;PR226-M135;PR226-F0002
browser-ext,firefox/background.js,33fbde5e4b4dff318a025de1d5aa485ff8d09d2ba2b28bcad0b50f416d8cf741,112,function,sendToPopup,legacy-225-compatible,PR226-R133;PR226-M135;PR226-F0002
browser-ext,firefox/background.js,33fbde5e4b4dff318a025de1d5aa485ff8d09d2ba2b28bcad0b50f416d8cf741,124,function,connectToNativeHost,legacy-225-compatible,PR226-R133;PR226-M135;PR226-F0002
