predecessor_wave,predecessor_record_id,donor,domain,value_unit,donor_path,donor_sha256,predecessor_disposition,predecessor_validation_status,post_refactor_228_status,post_refactor_228_record_ids,fresh_source_hash_verified,post_refactor_228_rationale
226,PR226-R001,shadowsocks-crypto,repository-accountability,shadowsocks-crypto complete repository accountability,.github/workflows/build-and-test.yml,3baa331bc947d3120b2d7ac5fb06a311267e36bba9d0144383adee75dc0fe48c,reference-only,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M002,shadowsocks-crypto,@root,@root semantics,Cargo.toml,9b4b321e6fb26ffba17481e6a01ff6ecb93488dce07d2e1405353957c2ae99f9,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M003,shadowsocks-crypto,src,src semantics,src/kind.rs,d2c4732f6222617f6f07f06389c4c55d3f62b465cb5bb885f8b385b0b861824d,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-R004,shadowsocksr,repository-accountability,ShadowsocksR complete repository accountability,.gitignore,57078847e4f4ecdde2c8b6b21a7e5343583269ad7e615a1252c1feea3d660e1c,reference-only,verified,refined-with-new-record,PR228-SSR001,true,Second-order review split/promoted a narrower independently meaningful unit; predecessor context remains preserved.
226,PR226-M005,shadowsocksr,@root,@root semantics,go.mod,3b88114f4fe1fbc32ce5c7219444e1c2542b70ea931f6ad2234e280a296584e6,guardrail-derived,verified,refined-with-new-record,PR228-SSR001,true,Second-order review split/promoted a narrower independently meaningful unit; predecessor context remains preserved.
226,PR226-M006,shadowsocksr,obfs,obfs semantics,obfs/base.go,ca34319045fe54c87df1f109e5c9eebb3ef63abb873f42f58b3afb971c0659e7,guardrail-derived,verified,refined-with-new-record,PR228-SSR001,true,Second-order review split/promoted a narrower independently meaningful unit; predecessor context remains preserved.
226,PR226-M007,shadowsocksr,protocol,protocol semantics,protocol/auth_aes128_md5.go,e9b21c03bac6fee0a9e4a154df6113e3f9ae75363d5be01866f2c4df57d08f0b,guardrail-derived,verified,refined-with-new-record,PR228-SSR001,true,Second-order review split/promoted a narrower independently meaningful unit; predecessor context remains preserved.
226,PR226-M008,shadowsocksr,ssr,ssr semantics,ssr/adler32.go,934a3c159e374d5c0cb5b48cab0f1105b392cf7f69dde8e45c87141e30559493,guardrail-derived,verified,refined-with-new-record,PR228-SSR001,true,Second-order review split/promoted a narrower independently meaningful unit; predecessor context remains preserved.
226,PR226-M009,shadowsocksr,streamCipher,streamCipher semantics,streamCipher/encrypt.go,017a52597aada9cc28f21edb732a56ecb10243d4ec33d120bdd3edf5ac83bccb,guardrail-derived,verified,refined-with-new-record,PR228-SSR001,true,Second-order review split/promoted a narrower independently meaningful unit; predecessor context remains preserved.
226,PR226-M010,shadowsocksr,tools,tools semantics,tools/encrypt.go,7ff61055616d0cde75d3da405da1ec74e18911981d65e787e82fd1ad05eadb8d,guardrail-derived,verified,refined-with-new-record,PR228-SSR001,true,Second-order review split/promoted a narrower independently meaningful unit; predecessor context remains preserved.
226,PR226-R011,shadowsocks-rust,repository-accountability,shadowsocks-rust complete repository accountability,.circleci/config.yml,85b2699b1ca3bba3caf6aca2c21f883e2dcf3895b810927c904a0f6801d466eb,reference-only,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M012,shadowsocks-rust,.circleci,.circleci semantics,.circleci/config.yml,85b2699b1ca3bba3caf6aca2c21f883e2dcf3895b810927c904a0f6801d466eb,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M013,shadowsocks-rust,@root,@root semantics,.travis.yml,5e67da4dc81b970e8201302adc9c35411a06e4b75839e5801af96a8ffaa4059e,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M014,shadowsocks-rust,acl,acl semantics,acl/genacl_proxy_gfw_bypass_china_ip.py,4c31371c1c8521a1b59759ea2c4ef715f6a495daed95aa4bc8932cd9c540cbfe,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M015,shadowsocks-rust,bin,bin semantics,bin/sslocal.rs,84f988ba13fc499acd8e675e9eaaea4fb10874c0fa1b3d9a07cf99b7e3fd8774,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M016,shadowsocks-rust,build,build semantics,build/build-host-release.ps1,75a97a178b93287c774f565e2cf3c7ba57aad798de22646b7c9c58fef0523d25,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M017,shadowsocks-rust,configs,configs semantics,configs/genipset.py,85355047da7c56faba3687ceaa44963bcda8556ea366b664598f1b9c82551f55,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M018,shadowsocks-rust,crates-shadowsocks,crates shadowsocks semantics,crates/shadowsocks/Cargo.toml,2d349fc3387a767ae8155ea3fb8f6949c0d01d53100b2690f2ea3ce7bf257dbf,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M019,shadowsocks-rust,crates-shadowsocks-config.rs,crates shadowsocks config.rs semantics,crates/shadowsocks/src/config.rs,350b33851b02e4245da73e2e3b9ba0fe4b69f8e6c1055c48ce1d0a81bdbfbd39,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M020,shadowsocks-rust,crates-shadowsocks-context.rs,crates shadowsocks context.rs semantics,crates/shadowsocks/src/context.rs,0d316cf17f98d8d061db41f3a11e02644c41ca954de28f0b90f0733040dea621,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M021,shadowsocks-rust,crates-shadowsocks-dns_resolver,crates shadowsocks dns_resolver semantics,crates/shadowsocks/src/dns_resolver/hickory_dns_resolver.rs,5f9f00582b8c76f8d2e6ab9ed4a63c964204316b1fbb4cb6fb6973ed66848e54,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M022,shadowsocks-rust,crates-shadowsocks-lib.rs,crates shadowsocks lib.rs semantics,crates/shadowsocks/src/lib.rs,0c02fe660dfccd9db37d30f6b64d0d1d629276fea53008d08e41ee3f6288081c,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M023,shadowsocks-rust,crates-shadowsocks-manager,crates shadowsocks manager semantics,crates/shadowsocks/src/manager/client.rs,641a6eb5f97306f1ee75551dae8d1bead5ac72ff36cc7206785d976ca40db5cb,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M024,shadowsocks-rust,crates-shadowsocks-net,crates shadowsocks net semantics,crates/shadowsocks/src/net/mod.rs,ee6ad0e215356dc3d6810b5c4010623caa8892fed3d0fdca07388a8de053750e,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M025,shadowsocks-rust,crates-shadowsocks-plugin,crates shadowsocks plugin semantics,crates/shadowsocks/src/plugin/mod.rs,95f2f27f063500e411cafc174d0808d8c89c495ff84701ab0a2ba2052a5dd4eb,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M026,shadowsocks-rust,crates-shadowsocks-relay,crates shadowsocks relay semantics,crates/shadowsocks/src/relay/mod.rs,ae9e64966fe09e481ae5569fc184b736f918a29172dfe3e720756a20515571c9,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M027,shadowsocks-rust,crates-shadowsocks-security,crates shadowsocks security semantics,crates/shadowsocks/src/security/mod.rs,352a830684a0f222688d4b65ccfc218cf91328a753ede52c8f55432ed4d461be,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M028,shadowsocks-rust,crates-shadowsocks-service,crates shadowsocks service semantics,crates/shadowsocks-service/Cargo.toml,f058460eb0e2c81da5350f683ceee89353a2f25df68e5aa98b1081bc74fcea04,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M029,shadowsocks-rust,crates-shadowsocks-service-acl,crates shadowsocks service acl semantics,crates/shadowsocks-service/src/acl/mod.rs,ba174fada052e71253e937c6a937adb4471b19c79ff5be0a79b3ae9590555b6a,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M030,shadowsocks-rust,crates-shadowsocks-service-config.rs,crates shadowsocks service config.rs semantics,crates/shadowsocks-service/src/config.rs,2e29c45607d281f03857531f7aa45576b79a47a30f827808ebaf361509f6aac5,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M031,shadowsocks-rust,crates-shadowsocks-service-dns,crates shadowsocks service dns semantics,crates/shadowsocks-service/src/dns/mod.rs,909cbc2f390aef258ac83b23570ea3b0d453a8a4bf760bb3a7d4bb8dd2c4ed14,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M032,shadowsocks-rust,crates-shadowsocks-service-lib.rs,crates shadowsocks service lib.rs semantics,crates/shadowsocks-service/src/lib.rs,87cbb3432aee13f95985e6be19f0f42c9f1cb6885af9976abbdedd04ee79065a,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M033,shadowsocks-rust,crates-shadowsocks-service-local,crates shadowsocks service local semantics,crates/shadowsocks-service/src/local/context.rs,9834d9b71375ecee4c19e8ecfe94d8ea9b6a4b21697271a60407336c3368670b,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M034,shadowsocks-rust,crates-shadowsocks-service-manager,crates shadowsocks service manager semantics,crates/shadowsocks-service/src/manager/mod.rs,2748b52931a072f9bec50cd946f30099f54521ce1e20b7a2042bda07594977c1,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M035,shadowsocks-rust,crates-shadowsocks-service-net,crates shadowsocks service net semantics,crates/shadowsocks-service/src/net/flow.rs,2afa8335592e51a24a5594d87638a245f7619c7ba845c833f4b5a386a49e9305,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M036,shadowsocks-rust,crates-shadowsocks-service-server,crates shadowsocks service server semantics,crates/shadowsocks-service/src/server/context.rs,31400c439822d3a52c361cec26484ba97033a718395afb739113a142987568be,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M037,shadowsocks-rust,crates-shadowsocks-service-sys,crates shadowsocks service sys semantics,crates/shadowsocks-service/src/sys/mod.rs,01c38f9fcca7fd4fbb552ef08a5cd8e256e69dc75315a02b91794688156a0892,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M038,shadowsocks-rust,crates-shadowsocks-service-utils.rs,crates shadowsocks service utils.rs semantics,crates/shadowsocks-service/src/utils.rs,9c4e4631a408c223bc32a327eee1c9ba0dfa52a7559cf11221f5d6d1c1a39ec2,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M039,shadowsocks-rust,debian,debian semantics,debian/config.json,60422c95ea3eaac20319ab01d4e0dfa28acd6e8ee5d348f914c907291657f0eb,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M040,shadowsocks-rust,docker,docker semantics,docker/Dockerfile.v2ray,0afd34ae8a5a801b63d05d88dcc5e7fd0e54c4d89d1fb03bd85db3ee1477110f,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M041,shadowsocks-rust,examples,examples semantics,examples/config.json,6f5f5143a4eeb900fd8b87fd7deed010163f2afc19c097037e7533883328e9cd,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M042,shadowsocks-rust,k8s,k8s semantics,k8s/chart/Chart.yaml,7925f7f9dee40a98ba869ed007dbdb6464a19b3e5c338f8f8203623b8e4e7c5e,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M043,shadowsocks-rust,root-src-allocator,root src allocator semantics,src/allocator/mod.rs,f39c26784f0597cd54b1641bb87220208187d4b6c54ecbd8dbe4dc5a2200f2a1,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M044,shadowsocks-rust,root-src-daemonize,root src daemonize semantics,src/daemonize/daemonize/error.rs,1a1f2aea6508b526b50f5d3f610bfce45c5512ff9cff33e50155ae6def54717e,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M045,shadowsocks-rust,root-src-logging,root src logging semantics,src/logging/log4rs.rs,07ebfd9e2b11bf6a5f020541abdc543dbda1b74357c9d1ee41474cd18b0a3a84,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M046,shadowsocks-rust,root-src-monitor,root src monitor semantics,src/monitor/mod.rs,921c30fc378ee85cf60a65ce33efefc9998b69edb38a667718f8f50be7c62985,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M047,shadowsocks-rust,root-src-root,root src root semantics,src/config.rs,c6189d92eb0ee7818a49a337c4341d25b1c9825e3d0587a2b5f618607309e4ad,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M048,shadowsocks-rust,root-src-service,root src service semantics,src/service/genkey.rs,ff508e55a1ae9f3e8859863f662dcecfe313cbb436497c8830ec9a391951a8d0,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
226,PR226-M049,shadowsocks-rust,root-src-vparser,root src vparser semantics,src/vparser/mod.rs,eb6569189b9096af6c8321c2ada3b0b4c1a9309d99c1cee9d6ef5dba9bf46bc5,hardened,verified,revalidated-unchanged,n/a,true,Fresh donor bytes and predecessor evidence were rechecked; no stronger target-native change was justified without duplicating authority or weakening invariants.
