donor,path,sha256,size_bytes,file_type,language,classification,authority_status,semantic_record_ids,surface_disposition,surface_rationale,predecessor_wave,post_refactor_228_review,post_refactor_228_record_ids
browser-ext,LICENSE,d1ee1c7947d4b2c1963ea214d5324f1d4c89f2f1d0f0224889b4dfb868dad725,1510,file,other,documentation,supporting-evidence,PR226-R133;PR226-M134,accounted-supporting-documentation,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
browser-ext,PATENTS,debc5ca73d082a6c7de743fecdba6f75deafdf9200acfbddeb8ca32d66e6e128,1377,file,other,repository-administration,supporting-evidence,PR226-R133;PR226-M134,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
browser-ext,README.md,041e736f16270f679be003c782b4e8fa85faec36317e1c74aef6e0c071d1d89e,3531,file,Markdown,documentation,supporting-evidence,PR226-R133;PR226-M134,accounted-supporting-documentation,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
browser-ext,background.js,4f93703a902adeecadc502ae71ebb59d87e7a141d1d5474435a3660e61a81554,6561,file,JavaScript,implementation,authoritative-source,PR226-R133;PR226-M134;PR226-F0001,focused-file-implementation,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,PR228-B002
browser-ext,chrome.txt,90933cebf59e39b48bb74ca0b382decaa6c9b434ee7d5cefbfa55e149a62b60c,374,file,other,documentation,supporting-evidence,PR226-R133;PR226-M134,accounted-supporting-documentation,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
browser-ext,firefox/background.js,33fbde5e4b4dff318a025de1d5aa485ff8d09d2ba2b28bcad0b50f416d8cf741,6547,file,JavaScript,implementation,authoritative-source,PR226-R133;PR226-M135;PR226-F0002,focused-file-implementation,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
browser-ext,firefox/icon.png,5a8a6778bb25fd9383b400f4853f0a21e2763681ef0614a21a0b423e41c87578,31174,file,other,fixture,supporting-evidence,PR226-R133;PR226-M135,accounted-supporting-fixture,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
browser-ext,firefox/manifest.json,ce0ab06e13d5a583ef9e7f0ced3db665f597b474b6def6584993c12302e68c86,751,file,JSON,configuration,authoritative-source,PR226-R133;PR226-M135;PR226-F0003,focused-file-configuration,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,PR228-B001
browser-ext,firefox/need-install.png,520ebbb541cd7a581802742997000a0a399c7fb95a09c800b56dd0cc65e7ebd8,12916,file,other,fixture,supporting-evidence,PR226-R133;PR226-M135,accounted-supporting-fixture,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
browser-ext,firefox/offline.png,e3c986b1e96393a2dba36b14cee730a3e11e027384d3fd2be0bc07680e2eaca6,7507,file,other,fixture,supporting-evidence,PR226-R133;PR226-M135,accounted-supporting-fixture,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
browser-ext,firefox/online.png,a5440b73954477e35a46cde477466775de5c0742def2c5e86f1cd94871cf4395,11971,file,other,fixture,supporting-evidence,PR226-R133;PR226-M135,accounted-supporting-fixture,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
browser-ext,firefox/popup.html,0d1e20ab0dcd90244fdf79dcfbe893b0fa0356ac5823141e2a24aa1436869b5b,11865,file,HTML,ui-or-product,authoritative-source,PR226-R133;PR226-M135;PR226-F0004,focused-file-ui-or-product,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
browser-ext,firefox/popup.js,6b4cb0460c50a92e7748e12972ecdfd4b1d9ec8360a083bb97545f8056caf66a,3738,file,JavaScript,implementation,authoritative-source,PR226-R133;PR226-M135;PR226-F0005,focused-file-implementation,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
browser-ext,go.mod,c5ba629d6ef0302b2ac43d818afbe7426632fe65becc9ee0f2887771518f0ecb,2644,file,other,configuration,authoritative-source,PR226-R133;PR226-M134;PR226-F0006,focused-file-configuration,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
browser-ext,go.sum,f42aa767f60c2e7eaba3f5f6ce9fd39452f272ad8daec8ead3175f98d3e719a7,22506,file,other,configuration,authoritative-source,PR226-R133;PR226-M134;PR226-F0007,focused-file-configuration,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
browser-ext,icon.png,5a8a6778bb25fd9383b400f4853f0a21e2763681ef0614a21a0b423e41c87578,31174,file,other,fixture,supporting-evidence,PR226-R133;PR226-M134,accounted-supporting-fixture,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
browser-ext,manifest.json,f455b89588ac257aea101aad5cd38a30cb10831d0901312dc4c14320535aa564,620,file,JSON,configuration,authoritative-source,PR226-R133;PR226-M134;PR226-F0008,focused-file-configuration,independent file-level disposition,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
browser-ext,offline.png,e3c986b1e96393a2dba36b14cee730a3e11e027384d3fd2be0bc07680e2eaca6,7507,file,other,fixture,supporting-evidence,PR226-R133;PR226-M134,accounted-supporting-fixture,supporting/admin/fixture/documentation surface explicitly accounted by donor record,226,fresh-byte-reverified-and-semantic-row-revisited,n/a
