donor,module,surfaces,high_signal_surfaces,ui_product_surfaces,implementation_surfaces,test_surfaces,focused_record_ids,current_outcome,current_product_surfaces,surface_sha256
hiddify-app-main,.github,20,0,0,0,0,n/a,focused target-native semantics promoted where justified; otherwise explicitly reviewed/reference-only,governance/convergence,2f184ee6e37945e6a391c2c74c4baf4d8c65b138aa8395dd26648e08d306508c
hiddify-app-main,.vscode,3,3,0,0,0,n/a,focused target-native semantics promoted where justified; otherwise explicitly reviewed/reference-only,governance/convergence,334ba16e3a93cd73bf9a165524b441a6eefaca0f96dac64dee232fa7e3930ebe
hiddify-app-main,android,6,6,0,2,0,n/a,focused target-native semantics promoted where justified; otherwise explicitly reviewed/reference-only,governance/convergence,2bfe8aed794ddf79dab233c6e1ce3f758a376d8df7124c8f79cda2c9a3b1c533
hiddify-app-main,android/app,95,78,0,55,0,PR229-S008;PR229-S020,focused target-native semantics promoted where justified; otherwise explicitly reviewed/reference-only,Rules;Health;Profiles;Settings;Operations,f9b9d971fe53f02f724c6993d56b6a6e7ac1db4d5728a47e77b7ac5bf3f45fbf
hiddify-app-main,assets,35,1,0,1,0,n/a,focused target-native semantics promoted where justified; otherwise explicitly reviewed/reference-only,governance/convergence,84bfd831122a5e83abf33a6b9ddc778e1748bd0821ad2d901d2c15de8c0a8d37
hiddify-app-main,docs,1,0,0,0,0,n/a,focused target-native semantics promoted where justified; otherwise explicitly reviewed/reference-only,governance/convergence,723ff14e2a8daa9bb2ceb2acd5f3044f0195f4b5d1d146b212a88cf5f7e37d76
hiddify-app-main,ios,67,60,0,42,0,n/a,focused target-native semantics promoted where justified; otherwise explicitly reviewed/reference-only,governance/convergence,08d73b62cc8259bd144267b7cb9fbc9a8a48ee311431597dddaa1afe8ff0d968
hiddify-app-main,lib/bootstrap.dart,1,1,0,1,0,n/a,focused target-native semantics promoted where justified; otherwise explicitly reviewed/reference-only,governance/convergence,175df559a7169feb97da6e26ee8bf9d3bb4b25083b06555cf3766369a1d339c6
hiddify-app-main,lib/core,93,92,26,60,0,n/a,focused target-native semantics promoted where justified; otherwise explicitly reviewed/reference-only,governance/convergence,742671f44ff2461a4e4ea8514b333fee1d654cbea375cc6f117b482c47c81f37
hiddify-app-main,lib/features/about,1,1,0,1,0,n/a,focused target-native semantics promoted where justified; otherwise explicitly reviewed/reference-only,governance/convergence,3920eac6e018fde306a6283a2a3ae2a3b34fb4dabf59fffc735255ef56badc00
hiddify-app-main,lib/features/app,1,1,0,1,0,n/a,focused target-native semantics promoted where justified; otherwise explicitly reviewed/reference-only,governance/convergence,7d982cec4965bc41706f63e60f2b0f6f97ab95afca6b8ee7bf5fdd1b0f8030b0
hiddify-app-main,lib/features/app_update,7,7,0,7,0,PR229-S015,focused target-native semantics promoted where justified; otherwise explicitly reviewed/reference-only,Rules;Health;Profiles;Settings;Operations,1594721d23d42f74dc7a9a484ce3812481b88725eea5ab13ac0c85878edd8bbc
hiddify-app-main,lib/features/auto_start,1,1,0,1,0,n/a,focused target-native semantics promoted where justified; otherwise explicitly reviewed/reference-only,governance/convergence,5742c74fd2f31e30a86cd45694e8f9a5e58a3dbbc0b83b9ca5b2f2fea81158ae
hiddify-app-main,lib/features/chain,9,9,0,9,0,PR229-S012,focused target-native semantics promoted where justified; otherwise explicitly reviewed/reference-only,Rules;Health;Profiles;Settings;Operations,251ceb1315a9e4e7e1c4ba1d0efa751dd1ce04eb9d034276c0ab27eb119985c2
hiddify-app-main,lib/features/common,4,4,0,4,0,n/a,focused target-native semantics promoted where justified; otherwise explicitly reviewed/reference-only,governance/convergence,db45592ab349f68d68a34b17dbe42e9eac1bb4f9fc931f54814221a699e028ab
hiddify-app-main,lib/features/connection,6,6,0,6,0,PR229-S006,focused target-native semantics promoted where justified; otherwise explicitly reviewed/reference-only,Rules;Health;Profiles;Settings;Operations,44b1cfcc2de8494c4da6bbe386fc7e1c4bf685918515afd13928cdef96f00afb
hiddify-app-main,lib/features/deep_link,1,1,0,1,0,PR229-S019,focused target-native semantics promoted where justified; otherwise explicitly reviewed/reference-only,Rules;Health;Profiles;Settings;Operations,3ee91deb1c19bfd98ac2da987fa5dc0c714dca482438e350503ca05a3b48c4ee
hiddify-app-main,lib/features/home,5,5,0,5,0,n/a,focused target-native semantics promoted where justified; otherwise explicitly reviewed/reference-only,governance/convergence,587f87bcb41a1e6b3ee8d7601202e2dcca343e501b58aa1234d8e0b27aa39f89
hiddify-app-main,lib/features/intro,1,1,0,1,0,n/a,focused target-native semantics promoted where justified; otherwise explicitly reviewed/reference-only,governance/convergence,2024331ef8bec8a5944a645fc94a923c3e9b1c87e18cf565e15f3b66d800bef1
hiddify-app-main,lib/features/log,10,10,0,10,0,n/a,focused target-native semantics promoted where justified; otherwise explicitly reviewed/reference-only,governance/convergence,aa0993ef8857061f57ef5815dcb0dda4429365336689efe8c6c563754fb75210
hiddify-app-main,lib/features/per_app_proxy,12,12,0,12,0,PR229-S001;PR229-S002,focused target-native semantics promoted where justified; otherwise explicitly reviewed/reference-only,Rules;Health;Profiles;Settings;Operations,09c076d54bc0d13e6347af50294bfbed1cdcdd1cb70cbdd488ad274cecb50dae
