donor,path,file_sha256,language,kind,name,line,snippet
mitmengine-master,cmd/demo/main.go,5430b3a791763def30c701d9b08dd49dafafdc5a4bfeafbd3e06ffbbe95ee452,go,func,main,18,func main() {
mitmengine-master,cmd/mergedb/main.go,49a02be767ec91ef5879ea2f039a1e5e24f71b52cece418f85bcda63fafa385b,go,var,outDir,14,"var outDir = filepath.Join(""mergedb"")"
mitmengine-master,cmd/mergedb/main.go,49a02be767ec91ef5879ea2f039a1e5e24f71b52cece418f85bcda63fafa385b,go,var,mitmConfig,15,var mitmConfig = mitmengine.Config{
mitmengine-master,cmd/mergedb/main.go,49a02be767ec91ef5879ea2f039a1e5e24f71b52cece418f85bcda63fafa385b,go,func,askUser,21,"func askUser(scanner *bufio.Scanner, message string) bool {"
mitmengine-master,cmd/mergedb/main.go,49a02be767ec91ef5879ea2f039a1e5e24f71b52cece418f85bcda63fafa385b,go,func,main,33,func main() {
mitmengine-master,db/db.go,8651a1f303c948d140f4074d2f7844e27c8e49c6027cfd4eeadc67b92f74515c,go,type,Database,13,type Database struct {
mitmengine-master,db/db.go,8651a1f303c948d140f4074d2f7844e27c8e49c6027cfd4eeadc67b92f74515c,go,func,NewDatabase,18,"func NewDatabase(input io.Reader) (Database, error) {"
mitmengine-master,db/db.go,8651a1f303c948d140f4074d2f7844e27c8e49c6027cfd4eeadc67b92f74515c,go,func,Load,27,func (a *Database) Load(input io.Reader) error {
mitmengine-master,db/db.go,8651a1f303c948d140f4074d2f7844e27c8e49c6027cfd4eeadc67b92f74515c,go,func,Len,54,func (a *Database) Len() int {
mitmengine-master,db/db.go,8651a1f303c948d140f4074d2f7844e27c8e49c6027cfd4eeadc67b92f74515c,go,func,Add,59,func (a *Database) Add(record Record) int {
mitmengine-master,db/db.go,8651a1f303c948d140f4074d2f7844e27c8e49c6027cfd4eeadc67b92f74515c,go,func,Clear,65,func (a *Database) Clear() {
mitmengine-master,db/db.go,8651a1f303c948d140f4074d2f7844e27c8e49c6027cfd4eeadc67b92f74515c,go,func,Dump,70,func (a Database) Dump(output io.Writer) error {
mitmengine-master,db/db.go,8651a1f303c948d140f4074d2f7844e27c8e49c6027cfd4eeadc67b92f74515c,go,func,GetByRequestFingerprint,82,func (a Database) GetByRequestFingerprint(requestFingerprint fp.RequestFingerprint) []int {
mitmengine-master,db/db.go,8651a1f303c948d140f4074d2f7844e27c8e49c6027cfd4eeadc67b92f74515c,go,func,GetByUAFingerprint,91,func (a Database) GetByUAFingerprint(uaFingerprint fp.UAFingerprint) []int {
mitmengine-master,db/db.go,8651a1f303c948d140f4074d2f7844e27c8e49c6027cfd4eeadc67b92f74515c,go,func,GetBy,96,func (a Database) GetBy(getFunc func(Record) bool) []int {
mitmengine-master,db/db.go,8651a1f303c948d140f4074d2f7844e27c8e49c6027cfd4eeadc67b92f74515c,go,func,DeleteBy,107,func (a *Database) DeleteBy(deleteFunc func(Record) bool) {
mitmengine-master,db/db.go,8651a1f303c948d140f4074d2f7844e27c8e49c6027cfd4eeadc67b92f74515c,go,func,MergeBy,115,"func (a *Database) MergeBy(mergeFunc func(Record, Record) bool) (int, int) {"
mitmengine-master,db/db_test.go,4a731502db3cf918d9433e7292b4a0b68603cbac5729c7c4fe9621fe660fda21,go,func,TestNewDatabase,12,func TestNewDatabase(t *testing.T) {
mitmengine-master,db/db_test.go,4a731502db3cf918d9433e7292b4a0b68603cbac5729c7c4fe9621fe660fda21,go,func,TestDatabaseLoad,17,func TestDatabaseLoad(t *testing.T) {
mitmengine-master,db/db_test.go,4a731502db3cf918d9433e7292b4a0b68603cbac5729c7c4fe9621fe660fda21,go,func,TestDatabaseAdd,23,func TestDatabaseAdd(t *testing.T) {
mitmengine-master,db/db_test.go,4a731502db3cf918d9433e7292b4a0b68603cbac5729c7c4fe9621fe660fda21,go,func,TestDatabaseClear,32,func TestDatabaseClear(t *testing.T) {
