donor,path,sha256,language,kind,symbol,line,snippet,semantic_record_ids,post_refactor_229_review
MasterHttpRelayVPN-RUST-main,.github/scripts/telegram_publish_files.py,fb14135e49ff5648f37a91fb32c3233979fb310f9fb79f543e4fca020fa632dc,python,function,caption_for,77,def caption_for(filename: str) -> str:,PR229-F00697,definition-indexed-on-fresh-bytes
MasterHttpRelayVPN-RUST-main,.github/scripts/telegram_publish_files.py,fb14135e49ff5648f37a91fb32c3233979fb310f9fb79f543e4fca020fa632dc,python,function,order_files,86,def order_files(files: list[Path]) -> list[Path]:,PR229-F00697,definition-indexed-on-fresh-bytes
MasterHttpRelayVPN-RUST-main,.github/scripts/telegram_publish_files.py,fb14135e49ff5648f37a91fb32c3233979fb310f9fb79f543e4fca020fa632dc,python,function,key,92,"def key(p: Path) -> tuple[int, str]:",PR229-F00697,definition-indexed-on-fresh-bytes
MasterHttpRelayVPN-RUST-main,.github/scripts/telegram_publish_files.py,fb14135e49ff5648f37a91fb32c3233979fb310f9fb79f543e4fca020fa632dc,python,function,split_file,102,"def split_file(path: Path, chunk_bytes: int) -> list[Path]:",PR229-F00697,definition-indexed-on-fresh-bytes
MasterHttpRelayVPN-RUST-main,.github/scripts/telegram_publish_files.py,fb14135e49ff5648f37a91fb32c3233979fb310f9fb79f543e4fca020fa632dc,python,function,part_name,111,def part_name(idx: int) -> str:,PR229-F00697,definition-indexed-on-fresh-bytes
MasterHttpRelayVPN-RUST-main,.github/scripts/telegram_publish_files.py,fb14135e49ff5648f37a91fb32c3233979fb310f9fb79f543e4fca020fa632dc,python,function,send_document,131,def send_document(,PR229-F00697,definition-indexed-on-fresh-bytes
MasterHttpRelayVPN-RUST-main,.github/scripts/telegram_publish_files.py,fb14135e49ff5648f37a91fb32c3233979fb310f9fb79f543e4fca020fa632dc,python,function,build_multipart,168,def build_multipart(,PR229-F00697,definition-indexed-on-fresh-bytes
MasterHttpRelayVPN-RUST-main,.github/scripts/telegram_publish_files.py,fb14135e49ff5648f37a91fb32c3233979fb310f9fb79f543e4fca020fa632dc,python,function,html_escape,199,def html_escape(s: str) -> str:,PR229-F00697,definition-indexed-on-fresh-bytes
MasterHttpRelayVPN-RUST-main,.github/scripts/telegram_publish_files.py,fb14135e49ff5648f37a91fb32c3233979fb310f9fb79f543e4fca020fa632dc,python,function,load_changelog,203,"def load_changelog(repo_root: Path, version: str) -> tuple[str | None, str | None]:",PR229-F00697,definition-indexed-on-fresh-bytes
MasterHttpRelayVPN-RUST-main,.github/scripts/telegram_publish_files.py,fb14135e49ff5648f37a91fb32c3233979fb310f9fb79f543e4fca020fa632dc,python,function,brief_changelog,234,"def brief_changelog(text: str, max_total: int = 1500) -> str:",PR229-F00697,definition-indexed-on-fresh-bytes
