record_id,parent_record_id,composition_group_id,donor,domain,value_unit,source_granularity,value_form,separability,donor_path,donor_sha256,donor_symbol,transformation,mapping_topology,disposition,decision_rationale,target_capability,target_nodes,invariant,negative_invariant,test_node,operator_surface,migration_impact,license_note,risk_tier,dependency_record_ids,evidence_confidence,validation_status
PR230-R001,n/a,CG230-Hiddify-Manager-dev-root,Hiddify-Manager-dev,repository-accountability,Hiddify-Manager-dev complete archive/repository accountability,repository,evidence corpus,context-dependent,.dockerignore,22942cc4b45864ab6ac31687a88441b76653f235e025851e69e514e9131eef4c,n/a,exhaustive evidence review,one-to-many,reference-only,"Every archive member, regular file, normalized directory, indexed definition, and archived symlink is accounted before behavior-level selection.",convergence evidence,governance/convergence/post-refactor-230-surface-accountability.csv,all donor bytes remain attributable to exact source hashes,repository size or popularity cannot grant target authority,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none,source provenance retained; no bulk donor import,low,n/a,high,reviewed
PR230-R002,n/a,CG230-IPScanner-main-root,IPScanner-main,repository-accountability,IPScanner-main complete archive/repository accountability,repository,evidence corpus,context-dependent,.readme/ClearARP.png,8efd5e43b62e5d2e56d2d2df428cb7653a357975a62770bdcdcc3961bc6eb32a,n/a,exhaustive evidence review,one-to-many,reference-only,"Every archive member, regular file, normalized directory, indexed definition, and archived symlink is accounted before behavior-level selection.",convergence evidence,governance/convergence/post-refactor-230-surface-accountability.csv,all donor bytes remain attributable to exact source hashes,repository size or popularity cannot grant target authority,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none,source provenance retained; no bulk donor import,low,n/a,high,reviewed
PR230-R003,n/a,CG230-NoMoreWalls-master-root,NoMoreWalls-master,repository-accountability,NoMoreWalls-master complete archive/repository accountability,repository,evidence corpus,context-dependent,.github/workflows/fetch.yml,879e3c1901784ba9c429699ecd258bf7ca6c39d20b69d8a1be38f1b059d25a12,n/a,exhaustive evidence review,one-to-many,reference-only,"Every archive member, regular file, normalized directory, indexed definition, and archived symlink is accounted before behavior-level selection.",convergence evidence,governance/convergence/post-refactor-230-surface-accountability.csv,all donor bytes remain attributable to exact source hashes,repository size or popularity cannot grant target authority,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none,source provenance retained; no bulk donor import,low,n/a,high,reviewed
PR230-R004,n/a,CG230-SenPaiScanner-main-root,SenPaiScanner-main,repository-accountability,SenPaiScanner-main complete archive/repository accountability,repository,evidence corpus,context-dependent,.github/workflows/ci.yml,4d3bac7b7bc5b06eaa1a3b27fa95939032a6ea0343914870e79e30d434f26ad5,n/a,exhaustive evidence review,one-to-many,reference-only,"Every archive member, regular file, normalized directory, indexed definition, and archived symlink is accounted before behavior-level selection.",convergence evidence,governance/convergence/post-refactor-230-surface-accountability.csv,all donor bytes remain attributable to exact source hashes,repository size or popularity cannot grant target authority,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none,source provenance retained; no bulk donor import,low,n/a,high,reviewed
PR230-R005,n/a,CG230-bine-master-root,bine-master,repository-accountability,bine-master complete archive/repository accountability,repository,evidence corpus,context-dependent,.gitignore,135a47132b345748caba1af38c44476e765f453fe94fb497c1df6e43351aaf47,n/a,exhaustive evidence review,one-to-many,reference-only,"Every archive member, regular file, normalized directory, indexed definition, and archived symlink is accounted before behavior-level selection.",convergence evidence,governance/convergence/post-refactor-230-surface-accountability.csv,all donor bytes remain attributable to exact source hashes,repository size or popularity cannot grant target authority,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none,source provenance retained; no bulk donor import,low,n/a,high,reviewed
PR230-R006,n/a,CG230-bridgedb-main-root,bridgedb-main,repository-accountability,bridgedb-main complete archive/repository accountability,repository,evidence corpus,context-dependent,.coveragerc,a7acd6e8b11aa1cacb8d845db429ac9af3e2e43675af3cff9b54d0b7d973afa4,n/a,exhaustive evidence review,one-to-many,reference-only,"Every archive member, regular file, normalized directory, indexed definition, and archived symlink is accounted before behavior-level selection.",convergence evidence,governance/convergence/post-refactor-230-surface-accountability.csv,all donor bytes remain attributable to exact source hashes,repository size or popularity cannot grant target authority,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none,source provenance retained; no bulk donor import,low,n/a,high,reviewed
PR230-R007,n/a,CG230-conjure-master-root,conjure-master,repository-accountability,conjure-master complete archive/repository accountability,repository,evidence corpus,context-dependent,.dockerignore,bd9de15da1ec8ae755dccc6c01beff63b4ff68a427515cad711fbee678d5483a,n/a,exhaustive evidence review,one-to-many,reference-only,"Every archive member, regular file, normalized directory, indexed definition, and archived symlink is accounted before behavior-level selection.",convergence evidence,governance/convergence/post-refactor-230-surface-accountability.csv,all donor bytes remain attributable to exact source hashes,repository size or popularity cannot grant target authority,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none,source provenance retained; no bulk donor import,low,n/a,high,reviewed
PR230-R008,n/a,CG230-mitmengine-master-root,mitmengine-master,repository-accountability,mitmengine-master complete archive/repository accountability,repository,evidence corpus,context-dependent,.gitignore,6ae3aa7d616148bdf0f26854be0567f30fa6fbfd25f6317788e68dcf895c9d3f,n/a,exhaustive evidence review,one-to-many,reference-only,"Every archive member, regular file, normalized directory, indexed definition, and archived symlink is accounted before behavior-level selection.",convergence evidence,governance/convergence/post-refactor-230-surface-accountability.csv,all donor bytes remain attributable to exact source hashes,repository size or popularity cannot grant target authority,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none,source provenance retained; no bulk donor import,low,n/a,high,reviewed
PR230-R009,n/a,CG230-mitmproxy-main-root,mitmproxy-main,repository-accountability,mitmproxy-main complete archive/repository accountability,repository,evidence corpus,context-dependent,.gitattributes,5b6e03248cdff56f8f8514ca5fdb8f2cdb0cd04164133ae5b644825a3a25c424,n/a,exhaustive evidence review,one-to-many,reference-only,"Every archive member, regular file, normalized directory, indexed definition, and archived symlink is accounted before behavior-level selection.",convergence evidence,governance/convergence/post-refactor-230-surface-accountability.csv,all donor bytes remain attributable to exact source hashes,repository size or popularity cannot grant target authority,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none,source provenance retained; no bulk donor import,low,n/a,high,reviewed
PR230-R010,n/a,CG230-pion-dtls-main-root,pion-dtls-main,repository-accountability,pion-dtls-main complete archive/repository accountability,repository,evidence corpus,context-dependent,.editorconfig,cf4d6fea3751e7695e280aa37b7d09a34eac6d134985d97eeb5fa807d1590af3,n/a,exhaustive evidence review,one-to-many,reference-only,"Every archive member, regular file, normalized directory, indexed definition, and archived symlink is accounted before behavior-level selection.",convergence evidence,governance/convergence/post-refactor-230-surface-accountability.csv,all donor bytes remain attributable to exact source hashes,repository size or popularity cannot grant target authority,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none,source provenance retained; no bulk donor import,low,n/a,high,reviewed
PR230-R011,n/a,CG230-probe-legacy-master-root,probe-legacy-master,repository-accountability,probe-legacy-master complete archive/repository accountability,repository,evidence corpus,context-dependent,.coveragerc,f60f0a5d3cf77df8079a745d767765c6804494c10f4844fa5770f6a2bf13aa52,n/a,exhaustive evidence review,one-to-many,reference-only,"Every archive member, regular file, normalized directory, indexed definition, and archived symlink is accounted before behavior-level selection.",convergence evidence,governance/convergence/post-refactor-230-surface-accountability.csv,all donor bytes remain attributable to exact source hashes,repository size or popularity cannot grant target authority,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none,source provenance retained; no bulk donor import,low,n/a,high,reviewed
PR230-R012,n/a,CG230-qjs-master-root,qjs-master,repository-accountability,qjs-master complete archive/repository accountability,repository,evidence corpus,context-dependent,.codecov.yml,cfa80e371ec11e71ae2535671b593daa7b9f11a80a59c07442f6245b56f951ca,n/a,exhaustive evidence review,one-to-many,reference-only,"Every archive member, regular file, normalized directory, indexed definition, and archived symlink is accounted before behavior-level selection.",convergence evidence,governance/convergence/post-refactor-230-surface-accountability.csv,all donor bytes remain attributable to exact source hashes,repository size or popularity cannot grant target authority,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none,source provenance retained; no bulk donor import,low,n/a,high,reviewed
PR230-R013,n/a,CG230-smux-master-root,smux-master,repository-accountability,smux-master complete archive/repository accountability,repository,evidence corpus,context-dependent,.gitignore,cb568f716e3315bcebfc75bbc274b56577c2734ec3da6729ffac15919f416240,n/a,exhaustive evidence review,one-to-many,reference-only,"Every archive member, regular file, normalized directory, indexed definition, and archived symlink is accounted before behavior-level selection.",convergence evidence,governance/convergence/post-refactor-230-surface-accountability.csv,all donor bytes remain attributable to exact source hashes,repository size or popularity cannot grant target authority,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none,source provenance retained; no bulk donor import,low,n/a,high,reviewed
PR230-M0001,PR230-R001,CG230-Hiddify-Manager-dev-bdcc6a2a85,Hiddify-Manager-dev,module-accountability,.github module/subtree review,module/subtree,mixed evidence,module-cohesive,.github/FUNDING.yml,f0d5097435b4ffeef43ff50816d0e5566603ea5690eb2d29bab1b90b488985e9,n/a,mechanism-level review,many-to-many,accounted-reference,"10 surfaces reviewed; 0 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,low,PR230-R001,high,reviewed
PR230-M0002,PR230-R001,CG230-Hiddify-Manager-dev-27bf025903,Hiddify-Manager-dev,module-accountability,.vscode module/subtree review,module/subtree,mixed evidence,module-cohesive,.vscode/launch.json,caac1ea481b83adc90071add118b5de0888fbdbb40249df9691440578fcb3950,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"3 surfaces reviewed; 3 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R001,high,reviewed
PR230-M0003,PR230-R001,CG230-Hiddify-Manager-dev-fa7257dd71,Hiddify-Manager-dev,module-accountability,acme.sh module/subtree review,module/subtree,mixed evidence,module-cohesive,acme.sh/cert_utils.sh,f97d7141da4c5c3fb4a2900fadb5b1b8f788e6d5dd82810477a74e0f095d065f,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"6 surfaces reviewed; 6 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R001,high,reviewed
PR230-M0004,PR230-R001,CG230-Hiddify-Manager-dev-fa47c8990e,Hiddify-Manager-dev,module-accountability,btn-deploy module/subtree review,module/subtree,mixed evidence,module-cohesive,btn-deploy/oracle/VERSION,35a46a442defa82ca36265889ecde77d189d9040e80c746aff175e34f91a735c,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"17 surfaces reviewed; 17 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R001,high,reviewed
PR230-M0005,PR230-R001,CG230-Hiddify-Manager-dev-e113bf20c7,Hiddify-Manager-dev,module-accountability,common/__pycache__ module/subtree review,module/subtree,mixed evidence,module-cohesive,common/__pycache__/commander.cpython-310.pyc,24b49caa5fc7b8f14216f3d1b1064afa131b2bf9b2cf3e7203dd4ce3dc0d5109,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"1 surfaces reviewed; 1 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R001,high,reviewed
PR230-M0006,PR230-R001,CG230-Hiddify-Manager-dev-291f08942b,Hiddify-Manager-dev,module-accountability,common/add_remote_assistant.sh module/subtree review,module/subtree,mixed evidence,module-cohesive,common/add_remote_assistant.sh,4d74b23fd1bb59ee09c4ed5d41c0c0f9fabe1de6fbaaab3ce6a4b5b334885f39,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"1 surfaces reviewed; 1 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R001,high,reviewed
