donor,path,sha256,size_bytes,file_type,language,classification,authority_status,module,semantic_record_ids,post_refactor_230_review,post_refactor_230_disposition,notes
Hiddify-Manager-dev,.dockerignore,22942cc4b45864ab6ac31687a88441b76653f235e025851e69e514e9131eef4c,42,<none>,text-or-other,repository-administration,authoritative,root,PR230-F00001;PR230-M0074,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,.gitchangelog.rc,78c46ba79f228da1ee19071c2f8b23af2e5897adec84b8bd6dcc3908ccde5614,442,.rc,text-or-other,repository-administration,authoritative,root,PR230-F00002;PR230-M0074,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,.github/FUNDING.yml,f0d5097435b4ffeef43ff50816d0e5566603ea5690eb2d29bab1b90b488985e9,1171,.yml,yaml,repository-administration,authoritative,.github,PR230-F00003;PR230-M0001,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,.github/ISSUE_TEMPLATE/bug-report-گزارش-مشکل.md,20c0c59d26bd432fee137b20cd40f6e49b84e438a99366a4a026a6be8415e844,858,.md,markdown,repository-administration,authoritative,.github,PR230-F00004;PR230-M0001,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,.github/ISSUE_TEMPLATE/feature-request-پیشنهاد-ایده.md,3a3c0037030d41045c93ec0b52f92c1f67ce8dd59fe8f70a33df133566b404b1,619,.md,markdown,repository-administration,authoritative,.github,PR230-F00005;PR230-M0001,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,.github/ISSUE_TEMPLATE/question-سوال.md,99164af8bdb25358af84ca5162e25181948fa34b543d20c9a706fa7db607949f,127,.md,markdown,repository-administration,authoritative,.github,PR230-F00006;PR230-M0001,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,.github/dependabot.yml,ece58275eccf52e97b28b04d7787fba37b6dfe253e365719392888f42d6381cd,541,.yml,yaml,repository-administration,authoritative,.github,PR230-F00007;PR230-M0001,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,.github/release_message.sh,c13689edffe2168d9e7d58f035d55ed34fcffb5c479d142c7db2555b53e51570,232,.sh,shell,repository-administration,authoritative,.github,PR230-F00008;PR230-M0001,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,.github/workflows/delete_issue.yml,b6966815b962a940e93aaf88a67c7be22dea67256082c9d7092cd639dda23672,568,.yml,yaml,repository-administration,authoritative,.github,PR230-F00009;PR230-M0001,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,.github/workflows/docker.yaml,f5c8f9c0fcfad07a96904b8a196fb8875fb22b565d2f3fbfd0244e5fa5f7534d,3440,.yaml,yaml,repository-administration,authoritative,.github,PR230-F00010;PR230-M0001,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,.github/workflows/main.yml,c8d3deadc529c11416bc3c628a667a868889167754d00a3cf8ecdd4e2f079fc0,1090,.yml,yaml,repository-administration,authoritative,.github,PR230-F00011;PR230-M0001,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,.github/workflows/release.yml,dd336d87990f6ce72cce81299e91ea6a288a2276f0d73637004417c1a24b7d29,2106,.yml,yaml,repository-administration,authoritative,.github,PR230-F00012;PR230-M0001,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,.gitignore,3edcdf33c30bf506e1e97e4a6b2a533b30e82a3c0be4807e6e70030e8e2dd9ee,44,<none>,text-or-other,repository-administration,authoritative,root,PR230-F00013;PR230-M0074,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,.gitmodules,36a2d9a8a0751d9e6d5bbb10d533b5bd366ee0ad08a9faa027d0c3f32b390206,110,<none>,text-or-other,repository-administration,authoritative,root,PR230-F00014;PR230-M0074,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,.vscode/launch.json,caac1ea481b83adc90071add118b5de0888fbdbb40249df9691440578fcb3950,2360,.json,json,configuration,authoritative,.vscode,PR230-F00015;PR230-M0002,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,.vscode/settings.json,a40f398706762f92cf927a496affb806912439c34a06945f9f19e2a6bd99882a,203,.json,json,configuration,authoritative,.vscode,PR230-F00016;PR230-M0002,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,.vscode/tasks.json,089426f26c247027e0cdca11c5ed7bda99bd6e82ee50f3882908d45a40a7470f,843,.json,json,configuration,authoritative,.vscode,PR230-F00017;PR230-M0002,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,CONTRIBUTING.md,a1de93e67c238b24a47ca715e7dc8db1f5768a4ad3218d88817d8a76aa8b667a,3635,.md,markdown,documentation,authoritative,root,PR230-F00018;PR230-M0074,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,Dockerfile,358055b54c4da564315347584723899633b10d628c827186c4ee8e8320c93e6d,516,<none>,dockerfile,deployment,authoritative,root,PR230-F00019;PR230-M0074,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,HISTORY.md,456cdde6be6175c33c71dc665147b48cc9dcd03a2a6abdffef054eeb67239a95,135612,.md,markdown,documentation,authoritative,root,PR230-F00020;PR230-M0074,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,LICENSE,3972dc9744f6499f0f9b2dbf76696f2ae7ad8af9b23dde66d6af86c9dfb36986,35149,<none>,text-or-other,repository-administration,authoritative,root,PR230-F00021;PR230-M0074,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,LICENSE.md,2580c2afea9ad6a146400f02c7485d72655174b916db2541b46839898d058b82,7500,.md,markdown,repository-administration,authoritative,root,PR230-F00022;PR230-M0074,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,Makefile,9a5b6489d9b97f50ecf96474667d9db761eaae20dc80977204bac96f6501427e,3143,<none>,text-or-other,configuration,authoritative,root,PR230-F00023;PR230-M0074,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,README.md,99f595dc7918317a50b3ead62b6139c184ad1d17bb9528cf125fd9b5b8be364c,16782,.md,markdown,documentation,authoritative,root,PR230-F00024;PR230-M0074,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,README_cn.md,4c9cb9533540b802e618dce85937867470e0bfe7910223efab134cb8db7ed038,13775,.md,markdown,documentation,authoritative,root,PR230-F00025;PR230-M0074,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,README_fa.md,eea37ea9f285f0298bbac758ba3f8820ab5755d514321356d108532c8696afcc,16937,.md,markdown,documentation,authoritative,root,PR230-F00026;PR230-M0074,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,README_ru.md,2162205a599f2e2fa0b53e671079613a89ba2b18d7510fa7f7058bde3c2bc5c5,14770,.md,markdown,documentation,authoritative,root,PR230-F00027;PR230-M0074,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,VERSION,9acc0fc978ce4d83a5370ac9301986bfb6c5c57f8f38cca012f55abeb66b65e9,7,<none>,text-or-other,implementation,authoritative,root,PR230-F00028;PR230-M0074,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,acme.sh/cert_utils.sh,f97d7141da4c5c3fb4a2900fadb5b1b8f788e6d5dd82810477a74e0f095d065f,4940,.sh,shell,script,authoritative,acme.sh,PR230-F00029;PR230-M0003,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,acme.sh/generate_self_signed_cert.sh,3f96af0aa089176a02f99c37263340df954b14f379d5cb0f3a7c01eff885663b,67,.sh,shell,script,authoritative,acme.sh,PR230-F00030;PR230-M0003,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,acme.sh/get_cert.sh,7a1de165ae389a0606ea00a4bfd7e9a8a676721fe0cdc20e8927f7d81a6486b5,179,.sh,shell,script,authoritative,acme.sh,PR230-F00031;PR230-M0003,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,acme.sh/install.sh,10303c66ea57bb90b59070e48022e8b24af76b0b72abd8e3c41841f05c377bbc,779,.sh,shell,script,authoritative,acme.sh,PR230-F00032;PR230-M0003,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,acme.sh/prepare_acme.sh,25268a5d5a6ed1bf7670c7bb721e9b9b2fe51b142b8af972cb608de2483e7e49,280,.sh,shell,script,authoritative,acme.sh,PR230-F00033;PR230-M0003,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,acme.sh/run.sh,ab6ea0ec34cb129c70a93127774e70dde382b4f78276146d0f633a30101c4df3,797,.sh,shell,script,authoritative,acme.sh,PR230-F00034;PR230-M0003,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
Hiddify-Manager-dev,apply_configs.sh,d2135152caa3e78db830709ba626b989d47ed0c2aa4589881958b8faa8e07bba,118,.sh,shell,script,authoritative,root,PR230-F00035;PR230-M0074,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
