donor,path,sha256,size_bytes,mode,classification,authority,module,extension,semantic_record_ids,post_refactor_231_review,post_refactor_231_disposition,notes
IPtProxy-master,.gitignore,3b639b9365c0c056c9ffe169f715028d09168615651138ddcedf6540932a205c,3520,0o644,repository-administration,authoritative,.gitignore,n/a,PR231-F00001;PR231-M0001,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,.gitlab-ci.yml,a6191d9a1cecf279bc4a3ae18312ef2a1732290edf66cb3bcd0d3a92ebb03d2a,1796,0o644,configuration,authoritative,.gitlab-ci.yml,.yml,PR231-F00002;PR231-M0002,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,.gitmodules,fcbe3aa7cfc96bec9540a58d87ddb7c07f032cd9c38dda70524451cf9aaf7a58,79,0o644,operational,authoritative,.gitmodules,n/a,PR231-F00003;PR231-M0003,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,CHANGELOG.md,9d99d7825d85eb9c82f4f936ff83839369358a07f5e8f2ce0a44f8c05330a920,7034,0o644,documentation,authoritative,CHANGELOG.md,.md,PR231-F00004;PR231-M0004,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,IPtProxy.go/controller.go,d01e32641ad29110d390e2bee2933c808fa051724725b9c60a7102d5d4c36e1b,18285,0o644,implementation,authoritative,IPtProxy.go/controller.go,.go,PR231-F00005;PR231-M0005;PR231-S011;PR231-S012;PR231-S013;PR231-S014;PR231-S015;PR231-S016,fresh-byte-reverified-and-context-reviewed,focused-behavior-source,Focused semantic record linked.
IPtProxy-master,IPtProxy.go/go.mod,9b4734746c123623ba6af87bcf47d4b1f93f67c11afda43c55586efffc037cee,4453,0o644,configuration,authoritative,IPtProxy.go/go.mod,.mod,PR231-F00006;PR231-M0006,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,IPtProxy.go/go.sum,2a3f6690919f49daf7b304b6e6c142b7503f620566cf38b86371a5c9211010a4,30366,0o644,configuration,authoritative,IPtProxy.go/go.sum,.sum,PR231-F00007;PR231-M0007,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,IPtProxy.go/kindness.go,a7c32f43231464036de57e312ac612fbd0f421eb7c9e890af5f6dadc77551f93,8523,0o644,implementation,authoritative,IPtProxy.go/kindness.go,.go,PR231-F00008;PR231-M0008;PR231-S017,fresh-byte-reverified-and-context-reviewed,focused-behavior-source,Focused semantic record linked.
IPtProxy-master,IPtProxy.podspec,3b162c7d8496477d3a11e64578b9f72db75a68bc897b922ed4156070ebaec5a7,2757,0o644,test,authoritative,IPtProxy.podspec,.podspec,PR231-F00009;PR231-M0009,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,IPtProxy.xcframework/Info.plist,73924187ede1fe929397dcc5253c6a2f3c09e490325fa007948e9f9e505f211a,1602,0o644,operational,authoritative,IPtProxy.xcframework/Info.plist,.plist,PR231-F00010;PR231-M0010,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; module decision retained.
IPtProxy-master,IPtProxy.xcframework/ios-arm64/IPtProxy.framework/Headers/IPtProxy.h,c6a68ea0f813315dae83ba6db40d9c8ad586a9f1491cd7e323132855fcdf444c,286,0o644,implementation,authoritative,IPtProxy.xcframework/ios-arm64,.h,PR231-F00011;PR231-M0011,fresh-byte-reverified-and-context-reviewed,reviewed-superseded-or-reference,Exhaustive per-file accountability; module decision retained.
