record_id,parent_record_id,composition_group_id,donor,domain,value_unit,source_granularity,value_form,separability,donor_path,donor_sha256,donor_symbol,transformation,mapping_topology,disposition,decision_rationale,target_capability,target_nodes,invariant,negative_invariant,test_node,operator_surface,migration_impact,license_note,risk_tier,dependency_record_ids,evidence_confidence,validation_status
PR232-R001,n/a,CG232-splitpt-root,splitpt,repository-accountability,splitpt complete archive/repository accountability,repository,evidence corpus,context-dependent,.gitignore,56291442b777ac9285ca212d93f1d20d3a7e8417fde1927b422454fc0e7619f7,n/a,exhaustive evidence review,one-to-many,reference-only,"Every archive member, regular file, normalized directory, indexed definition, and archived symlink is accounted before behavior-level selection.",convergence evidence,governance/convergence/post-refactor-232-surface-accountability.csv,all donor bytes remain attributable to exact source hashes,repository popularity or file count cannot grant target runtime authority,scripts/checks/check_post_refactor_232_convergence.py,governance/convergence,none,source provenance retained; no bulk donor import,low,n/a,high,reviewed
PR232-R002,n/a,CG232-dns-tunnel-deploy-root,dns-tunnel-deploy,repository-accountability,dns-tunnel-deploy complete archive/repository accountability,repository,evidence corpus,context-dependent,.gitignore,b6d5281f2e97bd8507de6697c0d40a8d87be62d9efba7371e1d1749b58cbbe68,n/a,exhaustive evidence review,one-to-many,reference-only,"Every archive member, regular file, normalized directory, indexed definition, and archived symlink is accounted before behavior-level selection.",convergence evidence,governance/convergence/post-refactor-232-surface-accountability.csv,all donor bytes remain attributable to exact source hashes,repository popularity or file count cannot grant target runtime authority,scripts/checks/check_post_refactor_232_convergence.py,governance/convergence,none,source provenance retained; no bulk donor import,low,n/a,high,reviewed
PR232-R003,n/a,CG232-outline-client-root,outline-client,repository-accountability,outline-client complete archive/repository accountability,repository,evidence corpus,context-dependent,.browserslistrc,1a92a524e5bd25095ea5a903117c10361eb8d4e8f6e64bb37d9eaa431a3cb640,n/a,exhaustive evidence review,one-to-many,reference-only,"Every archive member, regular file, normalized directory, indexed definition, and archived symlink is accounted before behavior-level selection.",convergence evidence,governance/convergence/post-refactor-232-surface-accountability.csv,all donor bytes remain attributable to exact source hashes,repository popularity or file count cannot grant target runtime authority,scripts/checks/check_post_refactor_232_convergence.py,governance/convergence,none,source provenance retained; no bulk donor import,low,n/a,high,reviewed
PR232-R004,n/a,CG232-pydns-scanner-root,pydns-scanner,repository-accountability,pydns-scanner complete archive/repository accountability,repository,evidence corpus,context-dependent,.github/ISSUE_TEMPLATE/bug_report.yml,65781c3ebd1e31ee7158a0149c3cb72fe1c6bcd33b5ab3a8337768c8d673663a,n/a,exhaustive evidence review,one-to-many,reference-only,"Every archive member, regular file, normalized directory, indexed definition, and archived symlink is accounted before behavior-level selection.",convergence evidence,governance/convergence/post-refactor-232-surface-accountability.csv,all donor bytes remain attributable to exact source hashes,repository popularity or file count cannot grant target runtime authority,scripts/checks/check_post_refactor_232_convergence.py,governance/convergence,none,source provenance retained; no bulk donor import,low,n/a,high,reviewed
PR232-M0001,PR232-R002,CG232-dns-tunnel-deploy-bc37d034ba,dns-tunnel-deploy,module-accountability,.gitignore module/subtree review,module/subtree,implementation/product/test evidence,module-level,.gitignore,b6d5281f2e97bd8507de6697c0d40a8d87be62d9efba7371e1d1749b58cbbe68,n/a,module mechanism review,one-to-many,accounted-reference,Module is independently accounted and reviewed; focused semantics are split into child behavior records when material.,target-native convergence,governance/convergence/post-refactor-232-module-audit.csv,module review cannot hide independent high-signal surfaces,module grouping cannot substitute for per-file accountability,scripts/checks/check_post_refactor_232_convergence.py,governance/convergence,none,n/a,low,PR232-R002,high,reviewed
PR232-M0002,PR232-R002,CG232-dns-tunnel-deploy-b5de98abd8,dns-tunnel-deploy,module-accountability,README-fa.md module/subtree review,module/subtree,implementation/product/test evidence,module-level,README-fa.md,ad69479de2e3baa062f23672f989d88160b5676e0233fe0c7d6b06323d0b25ec,n/a,module mechanism review,one-to-many,accounted-reference,Module is independently accounted and reviewed; focused semantics are split into child behavior records when material.,target-native convergence,governance/convergence/post-refactor-232-module-audit.csv,module review cannot hide independent high-signal surfaces,module grouping cannot substitute for per-file accountability,scripts/checks/check_post_refactor_232_convergence.py,governance/convergence,none,n/a,low,PR232-R002,high,reviewed
PR232-M0003,PR232-R002,CG232-dns-tunnel-deploy-b335630551,dns-tunnel-deploy,module-accountability,README.md module/subtree review,module/subtree,implementation/product/test evidence,module-level,README.md,efc7c6fd14d4f719b022dffe93a94868c56c75eb8d26a6e8729fe211fef915d4,n/a,module mechanism review,one-to-many,accounted-reference,Module is independently accounted and reviewed; focused semantics are split into child behavior records when material.,target-native convergence,governance/convergence/post-refactor-232-module-audit.csv,module review cannot hide independent high-signal surfaces,module grouping cannot substitute for per-file accountability,scripts/checks/check_post_refactor_232_convergence.py,governance/convergence,none,n/a,low,PR232-R002,high,reviewed
PR232-M0004,PR232-R002,CG232-dns-tunnel-deploy-163a72a28d,dns-tunnel-deploy,module-accountability,dnstt-deploy.sh module/subtree review,module/subtree,implementation/product/test evidence,module-level,dnstt-deploy.sh,5e3903c9c1c9ec6bd1ed1b5661915cb2a7f3006867ce836b24908baf25af54e5,n/a,module mechanism review,one-to-many,focused-adoption-or-guardrail,Module is independently accounted and reviewed; focused semantics are split into child behavior records when material.,target-native convergence,governance/convergence/post-refactor-232-module-audit.csv,module review cannot hide independent high-signal surfaces,module grouping cannot substitute for per-file accountability,scripts/checks/check_post_refactor_232_convergence.py,governance/convergence,none,n/a,low,PR232-R002,high,reviewed
PR232-M0005,PR232-R002,CG232-dns-tunnel-deploy-047007876c,dns-tunnel-deploy,module-accountability,gui module/subtree review,module/subtree,implementation/product/test evidence,module-level,gui/build_linux.sh,5a12b9d37964108eb3201da41865ffcc2d4f468f8b2cd69da7a1e9360846a697,n/a,module mechanism review,one-to-many,focused-adoption-or-guardrail,Module is independently accounted and reviewed; focused semantics are split into child behavior records when material.,target-native convergence,governance/convergence/post-refactor-232-module-audit.csv,module review cannot hide independent high-signal surfaces,module grouping cannot substitute for per-file accountability,scripts/checks/check_post_refactor_232_convergence.py,governance/convergence,none,n/a,low,PR232-R002,high,reviewed
PR232-M0006,PR232-R003,CG232-outline-client-43302d1852,outline-client,module-accountability,.browserslistrc module/subtree review,module/subtree,implementation/product/test evidence,module-level,.browserslistrc,1a92a524e5bd25095ea5a903117c10361eb8d4e8f6e64bb37d9eaa431a3cb640,n/a,module mechanism review,one-to-many,accounted-reference,Module is independently accounted and reviewed; focused semantics are split into child behavior records when material.,target-native convergence,governance/convergence/post-refactor-232-module-audit.csv,module review cannot hide independent high-signal surfaces,module grouping cannot substitute for per-file accountability,scripts/checks/check_post_refactor_232_convergence.py,governance/convergence,none,n/a,low,PR232-R003,high,reviewed
