donor,path,sha256,size_bytes,mode,classification,authority,module,extension,semantic_record_ids,post_refactor_232_review,post_refactor_232_disposition,notes
dns-tunnel-deploy,.gitignore,b6d5281f2e97bd8507de6697c0d40a8d87be62d9efba7371e1d1749b58cbbe68,5,0o644,repository-administration,authoritative,.gitignore,n/a,PR232-F00001;PR232-M0001,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
dns-tunnel-deploy,README-fa.md,ad69479de2e3baa062f23672f989d88160b5676e0233fe0c7d6b06323d0b25ec,15101,0o644,documentation,authoritative,README-fa.md,.md,PR232-F00002;PR232-M0002,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
dns-tunnel-deploy,README.md,efc7c6fd14d4f719b022dffe93a94868c56c75eb8d26a6e8729fe211fef915d4,10503,0o644,documentation,authoritative,README.md,.md,PR232-F00003;PR232-M0003,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
dns-tunnel-deploy,dnstt-deploy.sh,5e3903c9c1c9ec6bd1ed1b5661915cb2a7f3006867ce836b24908baf25af54e5,36899,0o755,script,authoritative,dnstt-deploy.sh,.sh,PR232-F00004;PR232-M0004;PR232-S012;PR232-S013;PR232-S014;PR232-S015;PR232-S016;PR232-S017;PR232-S018;PR232-S019;PR232-S020,fresh-byte-reverified-and-context-reviewed,focused-adoption-or-guardrail,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
dns-tunnel-deploy,gui/build_linux.sh,5a12b9d37964108eb3201da41865ffcc2d4f468f8b2cd69da7a1e9360846a697,312,0o755,script,authoritative,gui,.sh,PR232-F00005;PR232-M0005,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
dns-tunnel-deploy,gui/build_windows.bat,ce9ddb92abd8348e873c9f9ada6491cbd95afd7ab85024ade60f41e865fccd3b,327,0o644,script,authoritative,gui,.bat,PR232-F00006;PR232-M0005,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
dns-tunnel-deploy,gui/builds/DNSTT-Manager-macOS.zip,136d07eda2478c0e64335f359a3249310f803a60ed58a536a86854fc5de1e909,33068692,0o644,generated,derived,gui,.zip,PR232-F00007;PR232-M0005,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
dns-tunnel-deploy,gui/dnstt_manager.py,cc7f7a48ebe1e5d2f8520403a1ba80d221187a1189ec11c1b1a601910b89a9db,20989,0o644,implementation,authoritative,gui,.py,PR232-F00008;PR232-M0005;PR232-S021,fresh-byte-reverified-and-context-reviewed,focused-adoption-or-guardrail,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
dns-tunnel-deploy,gui/requirements.txt,971e2465cb4d33ad5448f620c0811a30b229c2ca8767302bcd2b6912d66d49b8,16,0o644,configuration,authoritative,gui,.txt,PR232-F00009;PR232-M0005,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,.browserslistrc,1a92a524e5bd25095ea5a903117c10361eb8d4e8f6e64bb37d9eaa431a3cb640,532,0o644,operational,authoritative,.browserslistrc,n/a,PR232-F00010;PR232-M0006,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,.eslintignore,2a7199c7de0d459ce68142cf332f08862ff135e13150fae3877741fb4bd08afb,66,0o644,operational,authoritative,.eslintignore,n/a,PR232-F00011;PR232-M0007,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,.eslintrc.json,b5c67566c14b0ec32bdcedd74f5a5320618c7e8e0802bb8c52412e02552d83b6,3190,0o644,configuration,authoritative,.eslintrc.json,.json,PR232-F00012;PR232-M0008,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,.gitattributes,06602dfabe5fe5d9f2840530413b107b67077c7640b7f6f8141f6529ac515f79,135,0o644,repository-administration,authoritative,.gitattributes,n/a,PR232-F00013;PR232-M0009,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,.github/CODEOWNERS,21c7dd0e936cb15ddcca562e31648f0766a2f67b20bd247378b1a105e0db416f,254,0o644,repository-administration,authoritative,.github,n/a,PR232-F00014;PR232-M0010,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,.github/ISSUE_TEMPLATE/bug_report.md,10ac3fc5b6821165cc9f636d42facb7958969eb087d57cbc38603fb26f629f50,1103,0o644,repository-administration,authoritative,.github,.md,PR232-F00015;PR232-M0010,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,.github/ISSUE_TEMPLATE/build_issue.md,6852d9b72f4d68e84400fa91f8bbb5f058e4346080ba34aafae28a7607d11e7c,380,0o644,repository-administration,authoritative,.github,.md,PR232-F00016;PR232-M0010,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,.github/ISSUE_TEMPLATE/feature_request.md,676696667aa5ea50a72149886944352161e98b48b5df22a3b48669143854d6ff,421,0o644,repository-administration,authoritative,.github,.md,PR232-F00017;PR232-M0010,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,.github/ISSUE_TEMPLATE/question.md,49b9fb5174d0fe6a91645ae5226261c6eb60bc970289b79bae4156a01b84a6cb,525,0o644,repository-administration,authoritative,.github,.md,PR232-F00018;PR232-M0010,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,.github/ISSUE_TEMPLATE/support_request.md,280f54072ab7bf15eea87c698673e27fb6d4cf87fad426a715232876969e1d85,556,0o644,repository-administration,authoritative,.github,.md,PR232-F00019;PR232-M0010,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,.github/workflows/build_and_test_debug.yml,9f775057d5d2c90866e96afc5d2735888cde731fe8367e9b04149fde3af2410f,4181,0o644,repository-administration,authoritative,.github,.yml,PR232-F00020;PR232-M0010,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,.github/workflows/pull_request_checks.yml,1116d6362cc665d5116906eaabda440e2c9ebe97ee0cfec6c7da119b509b909d,4057,0o644,repository-administration,authoritative,.github,.yml,PR232-F00021;PR232-M0010,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,.gitignore,b869fce74073dfeace2fb280ef528aca4c846ecf6cd0bb0801006f17d2a9c2da,377,0o644,repository-administration,authoritative,.gitignore,n/a,PR232-F00022;PR232-M0011,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,.java-version,25d4f2a86deb5e2574bb3210b67bb24fcc4afb19f93a7b65a057daa874a9d18e,3,0o644,operational,authoritative,.java-version,n/a,PR232-F00023;PR232-M0012,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,.npmrc,91a755274d03258426124d8c7ba0fcb234c85c99b3a71890dd8a060fb16e2f9a,93,0o644,operational,authoritative,.npmrc,n/a,PR232-F00024;PR232-M0013,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
