donor,archive,archive_sha256,members,files,dirs,symlinks,uncompressed_bytes
location,location-main.zip,dbadd98f75c6846632af3bc1579c7b36b6e24f95ba6ba47f701ab76501f9f902,303,295,8,0,3538045
gfw_resist_https_proxy,gfw_resist_HTTPS_proxy-main.zip,6bcf6c6cbe9998bea044cd1700fec31b2aeef73c2494fbcd755b5dda4ccce4d5,40,34,6,0,818516
kscanner,kscanner-main.zip,5a673a34714ca355782a487d614272e53f96a86f35b9ef192bab0780994100d5,78,57,21,0,1444536
dnsrefiner,DnsRefiner-main.zip,faaef0743bee8ed29f2498cfcf814378537bf184783a66387b93d372c8a741b1,10,7,3,0,11356
exitmap,exitmap-main.zip,8a65ebd7251fc37a5ca7b5121521598e75172c492e684c99090c8aabb59f39ba,49,42,7,0,41192179
candyconnect,CandyConnect-main.zip,1abdb174c163ce1c5584ee09d9ef6e83cfc953d2f37cd10c0d970284332edf2c,198,165,33,0,78733279
psiphon_over_mitm,PsiphonOverMITM-main.zip,ebf96afe7b2a51ec8d7f314c5895a71507f1da69ee81fdcaaef1e2f6918eebd2,22,18,4,0,76393208
personal_security_checklist,personal-security-checklist-master.zip,86a9e4123c23b3dba62768a0b7cd5645bb1d6d4667a1d5c9ebd3ef2de63124a5,129,95,33,1,25448073
orbot_apple,orbot-apple-main.zip,4d64d4f8d3ed30766b22aa8c12108b41c98b875b0a90fc164dbc7180a61e0194,547,430,117,0,50160521
karing,karing-main.zip,8a6f288ba495a2844c3dcf0467d035b8e4566e16b9a7f6025d9147809752cfd6,3005,2855,150,0,39286817
fptn,fptn-master.zip,b5051fc924999b04ce93965c32d64a47cfa513cc832b355d6e099a1594d8aad9,470,324,146,0,25662537
https_everywhere,https-everywhere-master.zip,fe88904e77ed0beed6bcac680e0e1f7716c0d23660c4da9dc1d6a60327aa1a0a,24453,24111,61,281,21913388
