donor,directory,tree_sha256,direct_files,direct_dirs,descendant_files,descendant_symlinks
whitedns_android,.,ee291ce012289c42abca39a9e390cb9ce63529289c40672767e9da37f31e7f5f,15,6,130,0
whitedns_android,.github,86fa0b4cd606f3445326b1f06dd4e345f1ef2dd56b1a95492b2108c124edaa6e,0,1,2,0
whitedns_android,.github/workflows,86fa0b4cd606f3445326b1f06dd4e345f1ef2dd56b1a95492b2108c124edaa6e,2,0,2,0
whitedns_android,app,b1a062164d3fa62675319bafa3dce5ec5f86e14a0539a1202e62254af325f8cb,3,1,103,0
whitedns_android,app/src,10ce441ae6dead8e240c6f95ff51bc00dec136f7ea5afab88e8dc561fc334b2f,0,4,100,0
whitedns_android,app/src/androidTest,2414896507ed18b10fef72a3cbff0afd42f6beb4cad030a83a4ba14fb426de7a,0,1,1,0
whitedns_android,app/src/androidTest/java,2414896507ed18b10fef72a3cbff0afd42f6beb4cad030a83a4ba14fb426de7a,0,1,1,0
whitedns_android,app/src/androidTest/java/com,2414896507ed18b10fef72a3cbff0afd42f6beb4cad030a83a4ba14fb426de7a,0,1,1,0
whitedns_android,app/src/androidTest/java/com/example,2414896507ed18b10fef72a3cbff0afd42f6beb4cad030a83a4ba14fb426de7a,0,1,1,0
whitedns_android,app/src/androidTest/java/com/example/whitedns_connect,2414896507ed18b10fef72a3cbff0afd42f6beb4cad030a83a4ba14fb426de7a,1,0,1,0
whitedns_android,app/src/debug,33f77c122995066c31a5a5b7f8d42fd9eb502b8e6e47becf422306929128a93b,0,1,1,0
whitedns_android,app/src/debug/res,33f77c122995066c31a5a5b7f8d42fd9eb502b8e6e47becf422306929128a93b,0,1,1,0
whitedns_android,app/src/debug/res/values,33f77c122995066c31a5a5b7f8d42fd9eb502b8e6e47becf422306929128a93b,1,0,1,0
whitedns_android,app/src/main,d7b4848526a77fdf25df0d6394ba546d1127f193fc09e792e3411207f1d3cc46,2,4,86,0
whitedns_android,app/src/main/assets,73025d3b121fa6bf781e2b6e0b0d0d9fe296cbf5b0f8b7eb6e6c57ba31517310,2,0,2,0
whitedns_android,app/src/main/java,a3af3d827302dc8c2a9577e327a48aa7220b7c3cd4de84984fa6af3f93f262c0,0,2,37,0
whitedns_android,app/src/main/java/com,f8ebf60689a685562b67b38217c7269a587bb7f445982bbb0508fc4f8dc0f025,0,1,1,0
whitedns_android,app/src/main/java/com/github,f8ebf60689a685562b67b38217c7269a587bb7f445982bbb0508fc4f8dc0f025,0,1,1,0
whitedns_android,app/src/main/java/com/github/shadowsocks,f8ebf60689a685562b67b38217c7269a587bb7f445982bbb0508fc4f8dc0f025,0,1,1,0
whitedns_android,app/src/main/java/com/github/shadowsocks/bg,f8ebf60689a685562b67b38217c7269a587bb7f445982bbb0508fc4f8dc0f025,1,0,1,0
whitedns_android,app/src/main/java/shop,c6de33f1c4156a6331a8e1a33a27d1ecf7196c880d2ec0e64edf631c2ea0433f,0,1,36,0
whitedns_android,app/src/main/java/shop/whitedns,c6de33f1c4156a6331a8e1a33a27d1ecf7196c880d2ec0e64edf631c2ea0433f,0,1,36,0
whitedns_android,app/src/main/java/shop/whitedns/client,c6de33f1c4156a6331a8e1a33a27d1ecf7196c880d2ec0e64edf631c2ea0433f,1,8,36,0
whitedns_android,app/src/main/java/shop/whitedns/client/model,5e75f15fa4c09a65c197f4aa4321eccdaf7b5386fbe283dfde2e6e2fa974cded,5,0,5,0
whitedns_android,app/src/main/java/shop/whitedns/client/proxy,2be7711225472fd6716286bb124b6a82c20c3f3f1814cebbc10beed30014859c,3,0,3,0
whitedns_android,app/src/main/java/shop/whitedns/client/quicksettings,8df09d3f6f07518ea4b9e980ba0aab414631a4dd3ba48a5a45f40a9746c0f4d6,1,0,1,0
whitedns_android,app/src/main/java/shop/whitedns/client/runtime,9b52478c080d88e8b6f0fe36080b9b5a350caf8ec80ec52375c4b9466e899fc8,6,0,6,0
whitedns_android,app/src/main/java/shop/whitedns/client/scan,ddab57181a61c75b48d5b8329b0092da65435a77c5dc14830806f73e7d859d86,8,0,8,0
whitedns_android,app/src/main/java/shop/whitedns/client/storm,dc6b370c4b555faba30e72c3d02973cae2442cf5d8122f044bdaa9d636390a73,4,0,4,0
whitedns_android,app/src/main/java/shop/whitedns/client/ui,195b21a658b4f6222d5e1cbc795576e7fa11210f65a3080035d9063ccd0f31d9,4,0,4,0
whitedns_android,app/src/main/java/shop/whitedns/client/vpn,46cf2bbb0a324f0b2114189be2dd41f2ed847d3eba77242f56ffe11c6324ac6f,4,0,4,0
whitedns_android,app/src/main/jniLibs,a70551ef54799c15ebaab55c8be79a34d71c59ac7efba3c1a52cd59735006bcc,0,4,8,0
whitedns_android,app/src/main/jniLibs/arm64-v8a,b7010a3657292754456c29213352fba9b26f8a1c23e17ce5aa874f0093038208,2,0,2,0
whitedns_android,app/src/main/jniLibs/armeabi-v7a,e9b7d8b6486032307fbfb51711dbfc17b509a27a58b7aaf7c791abae13d7c404,2,0,2,0
whitedns_android,app/src/main/jniLibs/x86,763eb432eff7a12c8508c24c30ff2402d36da4061688d120c829754ce9d504b8,2,0,2,0
whitedns_android,app/src/main/jniLibs/x86_64,5f1b85fd362e4817fca6b843fa5bb002678041c3d73c0046dca06e8fa5885975,2,0,2,0
whitedns_android,app/src/main/res,720d21a6e76c413e43a26d57cffb8b45628590a0e3c48b25f3eb341112458f4c,0,12,37,0
whitedns_android,app/src/main/res/drawable,334a231a556943c048526c290c3d68873ad581ca67f05d738b7732dac46d5ee5,3,0,3,0
whitedns_android,app/src/main/res/font,02d1cdb4d2850ec415009d450fbbd0aae00055b779479b6d666a8ddd010312b1,4,0,4,0
whitedns_android,app/src/main/res/mipmap-anydpi-v26,9ceb5a65bbca6d0e4c9afb34e8ae96856ef348c144634518955090a234ec4c1a,1,0,1,0
whitedns_android,app/src/main/res/mipmap-hdpi,6f1ca9fde1174e674223a72edaf267c10d8d09221cf7c77deb2cabbbe76c8251,4,0,4,0
whitedns_android,app/src/main/res/mipmap-mdpi,c7a97f2186b95e5b0055442ee66f502c3bc82a3262b7c9bb3db9c3e83b52c0fa,4,0,4,0
whitedns_android,app/src/main/res/mipmap-xhdpi,93499d69ec34170f6a66f057d3e72c4cb0bc1435a71e07903d5abc987d213fc4,4,0,4,0
whitedns_android,app/src/main/res/mipmap-xxhdpi,1a1ee0962d39b1a7289b8d2103aa8849dc0dc47b118f1678617bb507ee870ad4,4,0,4,0
whitedns_android,app/src/main/res/mipmap-xxxhdpi,3b648b1ad62dd529c44d64a3309119fa694a2d1683a431f5ca4f11803ffbac12,4,0,4,0
