wave,donor,module,surfaces,high_signal_surfaces,ui_product_surfaces,bytes
234,dns_blocklists,.gitattributes,1,0,0,751
234,dns_blocklists,.github/ISSUE_TEMPLATE,4,4,0,9623
234,dns_blocklists,.github/dependabot.yml,1,1,0,117
234,dns_blocklists,.github/workflows,6,6,0,7483
234,dns_blocklists,.gitignore,1,0,0,339
234,dns_blocklists,LICENSE,1,0,0,35149
234,dns_blocklists,README.md,1,0,0,119939
234,dns_blocklists,adblock/anti.piracy.txt,1,0,0,631091
234,dns_blocklists,adblock/blocklist-referral-native.txt,1,0,0,33564
234,dns_blocklists,adblock/doh-ips.txt,1,0,0,24334
234,dns_blocklists,adblock/doh-vpn-proxy-bypass.txt,1,0,0,371279
234,dns_blocklists,adblock/doh.top.txt,1,0,0,5854
234,dns_blocklists,adblock/doh.txt,1,0,0,71900
234,dns_blocklists,adblock/dyndns.txt,1,0,0,24612
234,dns_blocklists,adblock/fake.txt,1,0,0,340504
234,dns_blocklists,adblock/gambling.medium.txt,1,0,0,2932760
234,dns_blocklists,adblock/gambling.mini.txt,1,0,0,2429868
234,dns_blocklists,adblock/gambling.txt,1,0,0,5156142
234,dns_blocklists,adblock/hoster.txt,1,0,0,18004
234,dns_blocklists,adblock/light.txt,1,0,0,977307
234,dns_blocklists,adblock/multi.txt,1,0,0,3411506
234,dns_blocklists,adblock/nameserver-ips.txt,1,0,0,1681716
234,dns_blocklists,adblock/native.amazon.txt,1,0,0,11854
234,dns_blocklists,adblock/native.apple.txt,1,0,0,3814
234,dns_blocklists,adblock/native.huawei.txt,1,0,0,5968
234,dns_blocklists,adblock/native.lgwebos.txt,1,0,0,9884
234,dns_blocklists,adblock/native.oppo-realme.txt,1,0,0,15783
234,dns_blocklists,adblock/native.roku.txt,1,0,0,2887
234,dns_blocklists,adblock/native.samsung.txt,1,0,0,6763
234,dns_blocklists,adblock/native.tiktok.extended.txt,1,0,0,19573
234,dns_blocklists,adblock/native.tiktok.txt,1,0,0,14025
234,dns_blocklists,adblock/native.vivo.txt,1,0,0,7842
234,dns_blocklists,adblock/native.winoffice.txt,1,0,0,13850
234,dns_blocklists,adblock/native.xiaomi.txt,1,0,0,10336
234,dns_blocklists,adblock/nosafesearch.txt,1,0,0,4582
234,dns_blocklists,adblock/nsfw.txt,1,0,0,2126755
234,dns_blocklists,adblock/popupads.txt,1,0,0,1170171
234,dns_blocklists,adblock/pro.mini.txt,1,0,0,1746564
234,dns_blocklists,adblock/pro.plus.mini.txt,1,0,0,1990169
234,dns_blocklists,adblock/pro.plus.txt,1,0,0,5456685
234,dns_blocklists,adblock/pro.txt,1,0,0,5031626
234,dns_blocklists,adblock/social.txt,1,0,0,16959
234,dns_blocklists,adblock/spam-tlds-adblock-aggressive.txt,1,0,0,6020
234,dns_blocklists,adblock/spam-tlds-adblock-allow.txt,1,0,0,17981
234,dns_blocklists,adblock/spam-tlds-adblock.txt,1,0,0,2227
234,dns_blocklists,adblock/spam-tlds-ublock.txt,1,0,0,22923
234,dns_blocklists,adblock/spam-tlds.txt,1,0,0,21513
234,dns_blocklists,adblock/tif-ips.txt,1,0,0,895296
234,dns_blocklists,adblock/tif.medium.txt,1,0,0,8219283
234,dns_blocklists,adblock/tif.mini.txt,1,0,0,4642730
234,dns_blocklists,adblock/tif.txt,1,0,0,33981583
234,dns_blocklists,adblock/ultimate.mini.txt,1,0,0,2270924
234,dns_blocklists,adblock/ultimate.txt,1,0,0,5853453
234,dns_blocklists,adblock/urlshortener.txt,1,0,0,142675
234,dns_blocklists,adblock/whitelist-referral-native.txt,1,0,0,36616
234,dns_blocklists,adblock/whitelist-referral.txt,1,0,0,21006
234,dns_blocklists,adblock/whitelist-urlshortener.txt,1,0,0,162483
234,dns_blocklists,adguard/apple-private-relay.txt,1,0,0,665
234,dns_blocklists,adguard/dns-rebind-protection.txt,1,0,0,1248
234,dns_blocklists,adguard/regex-wildcard-rules.txt,1,0,0,1303
234,dns_blocklists,controld/apple-private-relay-allow-folder.json,1,1,0,2722
234,dns_blocklists,controld/badware-hoster-folder.json,1,1,0,125420
234,dns_blocklists,controld/meta-tracker-allow-folder.json,1,1,0,2567
234,dns_blocklists,controld/microsoft-allow-folder.json,1,1,0,9262
234,dns_blocklists,controld/native-tracker-amazon-folder.json,1,1,0,43031
234,dns_blocklists,controld/native-tracker-apple-folder.json,1,1,0,12728
234,dns_blocklists,controld/native-tracker-huawei-folder.json,1,1,0,17081
234,dns_blocklists,controld/native-tracker-lgwebos-folder.json,1,1,0,39387
234,dns_blocklists,controld/native-tracker-microsoft-folder.json,1,1,0,47478
234,dns_blocklists,controld/native-tracker-oppo-realme-folder.json,1,1,0,56279
234,dns_blocklists,controld/native-tracker-roku-folder.json,1,1,0,8723
234,dns_blocklists,controld/native-tracker-samsung-folder.json,1,1,0,23859
234,dns_blocklists,controld/native-tracker-tiktok-aggressive-folder.json,1,1,0,69880
234,dns_blocklists,controld/native-tracker-tiktok-folder.json,1,1,0,50829
234,dns_blocklists,controld/native-tracker-vivo-folder.json,1,1,0,27405
234,dns_blocklists,controld/native-tracker-xiaomi-folder.json,1,1,0,40457
234,dns_blocklists,controld/nosafesearch-folder.json,1,1,0,22177
234,dns_blocklists,controld/referral-allow-folder.json,1,1,0,100195
234,dns_blocklists,controld/spam-idns-folder.json,1,1,0,16097
234,dns_blocklists,controld/spam-tlds-allow-folder.json,1,1,0,103934
234,dns_blocklists,controld/spam-tlds-combined-folder.json,1,1,0,149017
234,dns_blocklists,controld/spam-tlds-folder.json,1,1,0,29238
234,dns_blocklists,controld/spam-tlds-light-folder.json,1,1,0,12805
234,dns_blocklists,controld/ultimate-known_issues-allow-folder.json,1,1,0,19626
234,dns_blocklists,dnsmasq/anti.piracy.txt,1,0,0,784581
234,dns_blocklists,dnsmasq/doh-vpn-proxy-bypass.txt,1,0,0,457424
234,dns_blocklists,dnsmasq/doh.txt,1,0,0,89085
234,dns_blocklists,dnsmasq/dyndns.txt,1,0,0,32202
234,dns_blocklists,dnsmasq/fake.txt,1,0,0,424719
234,dns_blocklists,dnsmasq/gambling.medium.txt,1,0,0,3627135
234,dns_blocklists,dnsmasq/gambling.mini.txt,1,0,0,3006308
234,dns_blocklists,dnsmasq/gambling.txt,1,0,0,6510382
234,dns_blocklists,dnsmasq/hoster.txt,1,0,0,24134
234,dns_blocklists,dnsmasq/light.txt,1,0,0,1196322
234,dns_blocklists,dnsmasq/multi.txt,1,0,0,4189081
234,dns_blocklists,dnsmasq/native.amazon.txt,1,0,0,13649
234,dns_blocklists,dnsmasq/native.apple.txt,1,0,0,4344
