donor,path,sha256,size_bytes,mode,classification,module,language,semantic_record_ids,post_refactor_234_disposition,notes
whitedns_android,.gitattributes,1d5d71dcc6ccd28ab46a335349ecc74742ca4b81f4fcad212f8d134f70f1f13e,17,0o644,data,.gitattributes,n/a,PR234-F00001;PR234-M0788,accounted-reference,Exhaustive per-file accountability; semantic child records capture independent value/negative evidence.
whitedns_android,.github/workflows/release.yml,9647e93dcd50783a2106687459c55cc61d51340c5ccd5d067a67cd6248f714bf,5517,0o644,deployment,.github/workflows,yml,PR234-F00002;PR234-M0789,accounted-reference,Exhaustive per-file accountability; semantic child records capture independent value/negative evidence.
whitedns_android,.github/workflows/stormdns-boundary.yml,8fd1a491a7026173613c9e8facd6aa5d4e8d09489f03b23ef9b005eef468e849,1073,0o644,deployment,.github/workflows,yml,PR234-F00003;PR234-M0789,accounted-reference,Exhaustive per-file accountability; semantic child records capture independent value/negative evidence.
whitedns_android,.gitignore,47486e07d2bdfa19b9952f2990a9978c897ab35c8b793fd85162ccdc10929eb4,194,0o644,data,.gitignore,n/a,PR234-F00004;PR234-M0790,accounted-reference,Exhaustive per-file accountability; semantic child records capture independent value/negative evidence.
whitedns_android,.gitmodules,b5c97645c5a77daac95d5dafa2160f1bc8e17b57d88bfae336bbc6953ba53c86,151,0o644,data,.gitmodules,n/a,PR234-F00005;PR234-M0791,accounted-reference,Exhaustive per-file accountability; semantic child records capture independent value/negative evidence.
whitedns_android,CLA.md,d78a31abf5eb327484aab089df5db796cc518d68cf9872c600c8f2e4925cf066,1217,0o644,documentation,CLA.md,md,PR234-F00006;PR234-M0792,accounted-reference,Exhaustive per-file accountability; semantic child records capture independent value/negative evidence.
whitedns_android,CONTRIBUTING.md,b37847d46a754a2b4102c677e15d4f92e7b90233c03d2a565f788ef5690fcec4,1351,0o644,documentation,CONTRIBUTING.md,md,PR234-F00007;PR234-M0793,accounted-reference,Exhaustive per-file accountability; semantic child records capture independent value/negative evidence.
whitedns_android,LICENSE.MD,98438810c03d84a44d56ea71507f886c3c5ef7f1c9d03ba852a32d16e25d94dc,2648,0o644,documentation,LICENSE.MD,md,PR234-F00008;PR234-M0794,accounted-reference,Exhaustive per-file accountability; semantic child records capture independent value/negative evidence.
whitedns_android,Makefile,6644d99b997c0a83e5b2775af66c5a47419c94570d1172487c931d1e1ff1ad24,3583,0o644,deployment,Makefile,n/a,PR234-F00009;PR234-M0795,accounted-reference,Exhaustive per-file accountability; semantic child records capture independent value/negative evidence.
whitedns_android,README.md,3f17ad556183d0618ba30272ad2c34bc63bc5239bc69ee352499449f85d1622b,4664,0o644,documentation,README.md,md,PR234-F00010;PR234-M0796,accounted-reference,Exhaustive per-file accountability; semantic child records capture independent value/negative evidence.
whitedns_android,THIRD_PARTY_NOTICES.md,305c2ba1476e2ca1232cd79b16de13cc4637105eea642439f85296678df429f4,3697,0o644,documentation,THIRD_PARTY_NOTICES.md,md,PR234-F00011;PR234-M0797,accounted-reference,Exhaustive per-file accountability; semantic child records capture independent value/negative evidence.
