donor,path,sha256,line,kind,symbol,snippet
whitedns_android,app/src/androidTest/java/com/example/whitedns_connect/ExampleInstrumentedTest.kt,126910840f44f314d341bb97b21357c17213ad246e774880336d11dbae113a7b,17,type,ExampleInstrumentedTest,class ExampleInstrumentedTest {
whitedns_android,app/src/androidTest/java/com/example/whitedns_connect/ExampleInstrumentedTest.kt,126910840f44f314d341bb97b21357c17213ad246e774880336d11dbae113a7b,19,function,useAppContext,fun useAppContext() {
whitedns_android,app/src/main/java/com/github/shadowsocks/bg/Tun2proxy.java,b9bfe76437b3ac68868df17edb926858e5e4e36cda981d76f2154afe5aace8a0,3,type,Tun2proxy,public final class Tun2proxy {
whitedns_android,app/src/main/java/shop/whitedns/client/MainActivity.kt,5f9a4d90dcbf36375c6fbd3f5d2921459a70f0001b64fa2fd3a05e32977cdbc3,31,type,MainActivity,class MainActivity : ComponentActivity() {
whitedns_android,app/src/main/java/shop/whitedns/client/MainActivity.kt,5f9a4d90dcbf36375c6fbd3f5d2921459a70f0001b64fa2fd3a05e32977cdbc3,35,function,onResume,override fun onResume() {
whitedns_android,app/src/main/java/shop/whitedns/client/MainActivity.kt,5f9a4d90dcbf36375c6fbd3f5d2921459a70f0001b64fa2fd3a05e32977cdbc3,42,function,onCreate,override fun onCreate(savedInstanceState: Bundle?) {
whitedns_android,app/src/main/java/shop/whitedns/client/MainActivity.kt,5f9a4d90dcbf36375c6fbd3f5d2921459a70f0001b64fa2fd3a05e32977cdbc3,144,function,onNewIntent,override fun onNewIntent(intent: Intent) {
whitedns_android,app/src/main/java/shop/whitedns/client/MainActivity.kt,5f9a4d90dcbf36375c6fbd3f5d2921459a70f0001b64fa2fd3a05e32977cdbc3,150,function,openNotificationSettings,private fun openNotificationSettings() {
whitedns_android,app/src/main/java/shop/whitedns/client/MainActivity.kt,5f9a4d90dcbf36375c6fbd3f5d2921459a70f0001b64fa2fd3a05e32977cdbc3,165,function,requestBatteryOptimizationExemption,private fun requestBatteryOptimizationExemption() {
whitedns_android,app/src/main/java/shop/whitedns/client/MainActivity.kt,5f9a4d90dcbf36375c6fbd3f5d2921459a70f0001b64fa2fd3a05e32977cdbc3,184,function,handleProfileLinkIntent,private fun handleProfileLinkIntent(intent: Intent?) {
whitedns_android,app/src/main/java/shop/whitedns/client/model/AdvancedSettingsTomlImport.kt,4730f5551833040f84a48ff06111d3a4a66eca68ed964a2bca20ac6c2cd1ba46,5,function,WhiteDnsSettings,fun WhiteDnsSettings.importAdvancedSettingsProfileFromToml(
whitedns_android,app/src/main/java/shop/whitedns/client/model/AdvancedSettingsTomlImport.kt,4730f5551833040f84a48ff06111d3a4a66eca68ed964a2bca20ac6c2cd1ba46,19,function,parseAdvancedSettingsProfileFromToml,private fun parseAdvancedSettingsProfileFromToml(
whitedns_android,app/src/main/java/shop/whitedns/client/model/AdvancedSettingsTomlImport.kt,4730f5551833040f84a48ff06111d3a4a66eca68ed964a2bca20ac6c2cd1ba46,31,function,applyIfPresent,"fun applyIfPresent(key: String, update: (TomlValue) -> WhiteDnsSettings) {"
