change_type,path,baseline_sha256,baseline_size_bytes,baseline_mode,current_sha256,current_size_bytes,current_mode
modified,Makefile,7bc2ac85433783be905f9d58ce290dd6a29cdcda4d7d3e0e4ce294f56df29cb6,19313,0o644,6eea65ac70dca8aa14a48bce2ab5869783df07c958b132f29d17e52f96eeab19,19947,0o644
added,governance/convergence/post-refactor-234-adoption-ledger.csv,n/a,n/a,n/a,877db31ed3b01ea4c362e6aeb410e41fecf9f12649f41df537991b348e785af2,2902958,0o644
added,governance/convergence/post-refactor-234-all-history-module-audit.csv,n/a,n/a,n/a,cc5a15b57a40a16b462ed45b96daa740779d5052d5c54f0f03a9ce02f8e51dc8,540203,0o644
added,governance/convergence/post-refactor-234-all-history-second-order-audit.md,n/a,n/a,n/a,a7f3ecb99e4d9a46a7e3630e731e9a00caa467db00c1cc9d4f155037f00ce7ac,314,0o644
added,governance/convergence/post-refactor-234-all-history-summary.json,n/a,n/a,n/a,d6295b5bd2a76ad38caec90093681577476a2bcca0a58a51ffc5b902e8015c91,595,0o644
added,governance/convergence/post-refactor-234-all-history-surface-audit.csv,n/a,n/a,n/a,1cf1efee04317f010c7d01f55300b1318fedf64aa1ef8a432ccae9e224d1733f,28851606,0o644
added,governance/convergence/post-refactor-234-all-history-symbol-index.csv,n/a,n/a,n/a,1cb1fa3414c42a395fb4f2513f0621ecb55d4b0166ebd94b1845ecaf61e7471b,16292748,0o644
added,governance/convergence/post-refactor-234-architecture.md,n/a,n/a,n/a,8d918530b04ff1231b8b686d8bf969ed78b20676d5d28c4c1ae1742ddb4f215b,461,0o644
added,governance/convergence/post-refactor-234-archive-accountability.csv,n/a,n/a,n/a,d10e9faf692c9527ed7ad17a03f1946c6ece44107c74a49ab574f8eb61d255ce,2407,0o644
added,governance/convergence/post-refactor-234-baseline-files.csv,n/a,n/a,n/a,9c4dfe7b9757293668380dfa6cca290bb8f07ea9a1c567063a1bc49ec4cd8f2a,424086,0o644
added,governance/convergence/post-refactor-234-directories.csv,n/a,n/a,n/a,3e29fccf6ded0bfd9842ea50c7f1ec8e8ec2d616d0dea6dd3b53acfe3e0f9541,125066,0o644
added,governance/convergence/post-refactor-234-evidence-summary.json,n/a,n/a,n/a,b71e5643a1d2e86b7dcb1767b7d529affc59de88de35f5a934c01c4cdd0cd4e4,676,0o644
added,governance/convergence/post-refactor-234-module-audit.csv,n/a,n/a,n/a,c7f1b2bc6620090929d1fa4abe5cc7f8da270e9cbf49b9d451a2b997468f6ffb,48282,0o644
added,governance/convergence/post-refactor-234-omission-audit.md,n/a,n/a,n/a,5bbe6057d59cf853c82d2683103fb76ae4de7f0f4234b44df67daf376d88dc2d,437,0o644
added,governance/convergence/post-refactor-234-operator-runbook.md,n/a,n/a,n/a,fcee68aba9c3296cb44f5c70b1fbdb8751030e25fb9b79c1499ac5055ce7ca52,453,0o644
added,governance/convergence/post-refactor-234-peer-synthesis.md,n/a,n/a,n/a,94bf56bf11a4bda4d7d24abbefcc63ddd8bc0503d18985602678bf46a510831c,546,0o644
added,governance/convergence/post-refactor-234-security-model.md,n/a,n/a,n/a,6cfa6191c0f18c97410b9da70282b84c27312c021fe209c1250fb69264bbd34b,449,0o644
added,governance/convergence/post-refactor-234-state-machines.md,n/a,n/a,n/a,f67ca97985b5decab39d4660134f5df09b54ed9e602f7e039d7a49bbe97030d2,356,0o644
added,governance/convergence/post-refactor-234-supersession-map.csv,n/a,n/a,n/a,a64fa8bcee6b2f8f8e935f43407715fcaa118087a54bfe47d18f1a845b8942f2,5231,0o644
added,governance/convergence/post-refactor-234-surface-accountability.csv,n/a,n/a,n/a,f657761cde1aace73b0930ca76cf59966aa892a3b279fc0f972c908f7bbb0c0f,1176897,0o644
added,governance/convergence/post-refactor-234-symbols.csv,n/a,n/a,n/a,8e0ddbe297dc0a15d25482c49883c47e653967ca85ceb2390fcfa9605e2bb5d2,1176128,0o644
added,governance/convergence/post-refactor-234-symlinks.csv,n/a,n/a,n/a,a1b674c3afa2de4d4e0998ba9f805c7ee3d6a61e318ff7d9d1e9246117b59bdf,280,0o644
added,governance/convergence/post-refactor-234-validation.md,n/a,n/a,n/a,39e190d27d512a8ed4287bd970731c3dffc07849af8f5000b7b0229a1c413e43,1051,0o644
added,governance/convergence/post-refactor-234-whitedns-revision-delta.csv,n/a,n/a,n/a,160fe49a25327ba481db60392287e67a1d59a2e8b60628d4039aa1cd6adb7e38,77725,0o644
added,scripts/checks/check_post_refactor_234_convergence.py,n/a,n/a,n/a,038898e73db6f7aef2aaf315a657c366ec5e3b353ff51aaac55506a74ca595b5,14785,0o755
added,scripts/generate/generate_post_refactor_234_delta.py,n/a,n/a,n/a,c477e2737cd2a2edcef602f074121fbf7126db014b1f819b692995c4d85c80d7,2006,0o755
added,scripts/generate/generate_post_refactor_234_evidence.py,n/a,n/a,n/a,d2f9337fec7eda6f3256f7745aea15cfd90c841fa8ab6a53e0e2732e488011b1,32987,0o755
added,src/apps/daemon/internal/adapters/api/handlers_post_refactor_234_planners.go,n/a,n/a,n/a,8651eb5260a167f88ae09614622ebc9a840bd5cca09073e800daefe0d8a5994b,1583,0o644
modified,src/apps/daemon/internal/adapters/api/routes_system.go,5f590570c2efcc65a21ad3e46f41f4eed58aa95e21ecc9eac9affe9707aac828,11137,0o644,e64fa204f4d60920ad33db2fb3e3297fb94161f0ab16b0d9c2faf18102871c96,11525,0o644
added,src/apps/daemon/internal/analysis/diagnostics/post_refactor_234_plans.go,n/a,n/a,n/a,a9ad1c50397034457f01dfd786045c9a2a6ae2d663f4aa748126ad4073ff3832,18473,0o644
added,src/apps/daemon/internal/analysis/diagnostics/post_refactor_234_plans_test.go,n/a,n/a,n/a,e2d655f11a72b0ea656303e1ec5632922223dd726a5a65b5f7970c35ad2f0609,4127,0o644
modified,src/packages/control-ui/package.json,ffd092b0b70a48dda08ba573d41d2951a755942edbabc1ec87e3c3dc82385d27,2505,0o644,4c8a60a0aa97b54eb5aca6047f2a4ae179e4323f20d9b63add44504846ece5cf,2584,0o644
added,src/packages/control-ui/scripts/test-post-refactor-234.mjs,n/a,n/a,n/a,7fb38a129bb4e3d7692a078212dd3755b991434cd28998bc1906ec6f959b2d8d,2965,0o644
modified,src/packages/control-ui/src/pages/Operations.tsx,99d0d046ba8dc516c87dcd5b466c27541635239b284892ae58911eb88c2556b2,143035,0o644,e0f47cfe6b5f49d3a99d0e96bee828a1c97319c7b021c9efc61b674dee3c58c8,145079,0o644
