donor,archive,sha256,members,files,symlinks,normalized_prefix
phantom,Phantom-main.zip,b9e94c851d027fc50a9bd513aa9df9097766fc917dee65b44b278044144be48a,52,43,0,Phantom-main
doh_server,doh-server-master.zip,366b0710261f3358188e7e9a58ffa4d562dfdad3bafaeda0b9a69c17419c2d83,32,26,0,doh-server-master
ansible_relayor,ansible-relayor-master.zip,514efddfb24b127dc6fb61b8c101e2be84000284412caf7d8363f6c26d52ef5a,85,67,0,ansible-relayor-master
clienthellod,clienthellod-master.zip,a5f796946fbbf5eda5622d4ef8fdc8792ee4b76a9338468aab369e8f638fcd29,70,58,0,clienthellod-master
haskell_tor,haskell-tor-master.zip,74066fd7e54b50fb0ba85a470f758796761bb7b9de54692839c7fd4e6cb13104,61,44,0,haskell-tor-master
encrypted_dns_server,encrypted-dns-server-master.zip,fbcb224497d9eb122dd73ec9e8adaf806f8e160e8db2a064bd87c2352d260c5e,35,31,0,encrypted-dns-server-master
exitmap,exitmap-master.zip,1c7db56ec83f7556bd60d7207291298ac1b85e04d0421e1c72e4502151e55892,42,36,0,exitmap-master
qtun_android,qtun-android-main.zip,f7a0e34e3514357ed941360d5ef9cfcc0eea6bf46c1699fde7045f5dc5f98c3f,59,29,0,qtun-android-main
fptnclient_ios,FptnClient-iOS-master.zip,dbf767bc53ff4841befdacfb821feb12aae4aaa7df8f0ee493821b576a145ec7,76,48,0,FptnClient-iOS-master
proxychains_ng,proxychains-ng-master.zip,9b87ef3105a95e2542fc4f54a84ad0f2a6c7d0b59c0e19a8c2a374441663a25b,56,51,0,proxychains-ng-master
mem_db,mem-db-master.zip,38a7c33fe8dfa4fa80a3e6767eb0a22715d9098c79ee4e517b2e4508efe6754c,54,40,0,mem-db-master
backhaulmanager,BackhaulManager-master.zip,b83f538e73e033a495e4f19d10ba06d6800307137d6de6034dcdce1518f24585,6,4,0,BackhaulManager-master
incy_link_encoder,incy-link-encoder-main.zip,f0d2aa818e7322645fc18e6f3263be458d1fc61840346aa4881aeb5914f2a163,18,13,0,incy-link-encoder-main
njuconnect,NJUConnect-main.zip,4aaca504be74cd55df1f768413c8af0e865cc9fb1b96dbc38c1d51b9230d0a33,20,14,0,NJUConnect-main
chutney,chutney-main.zip,e4c338a867c4aa9f87f898177a97ce37e86ee45c21d7fdec2b0c1be7de2db5a5,111,93,6,chutney-main
gojq,gojq-main.zip,5e833766902a68d198b46333e896218a79a42da5106315ddf4362a2ece387b39,111,100,0,gojq-main
pion_transport,pion-transport-main.zip,487bbd24f5dbb7ea13af03826684c54256ecf1cc6d3bb4aabd36d22b380b167e,133,113,0,pion-transport-main
reality,REALITY-main.zip,890fae551a6359d24ce470a86ab60f729ec537ca3d3962812f5b141e10c9e2f6,39,34,0,REALITY-main
outline_ss_server,outline-ss-server-main.zip,a9b027a4576fc54617d36ddbb6cf9769e535fab95023ae2d7eb172190021c138,74,57,0,outline-ss-server-main
setec,setec-main.zip,d6b2855e4db7711687ba209f92de04264b2434171ba40384ec98b9279f299a88,63,43,0,setec-main
