module_record_id,donor,module,surfaces,high_signal_surfaces,ui_product_surfaces,merkle_sha256,first_path,last_path,disposition,semantic_record_ids,unresolved
PR236-M001,ansible_relayor,.github,1,0,1,994f106dfe2e70bc6fb5d778b1ca604da625b04939fea29c5d262c9db42dd593,.github/ISSUE_TEMPLATE/Bug_report.md,.github/ISSUE_TEMPLATE/Bug_report.md,product-and-semantic-reviewed,PR236-S001;PR236-S027;PR236-S028;PR236-S029,0
PR236-M002,ansible_relayor,@root,6,4,0,63ac137280d3b994e6674e6bff4ad198353d05c6a0c32afe039d600ced2acaac,.gitignore,SECURITY.md,semantic-mechanism-reviewed,PR236-S001;PR236-S027;PR236-S028;PR236-S029,0
PR236-M003,ansible_relayor,defaults,1,1,0,256af3ba7be2d402c8e2a14ab5efa8daaa44d631161f12b20810faf1542838a7,defaults/main.yml,defaults/main.yml,semantic-mechanism-reviewed,PR236-S001;PR236-S027;PR236-S028;PR236-S029,0
PR236-M004,ansible_relayor,files,3,1,0,331b46ebff25ee87304c33f1fcba72b88b9d39d819ecb0c9d43d0c5e4cb5f6d0,files/deb.torproject.org-keyring.gpg,files/tor-generator,semantic-mechanism-reviewed,PR236-S001;PR236-S027;PR236-S028;PR236-S029,0
PR236-M005,ansible_relayor,handlers,1,1,0,6a84bb06e7aba33bc36f32f55f9acb1e4e312ecb69fa1c299da9ecb622a64eeb,handlers/main.yml,handlers/main.yml,semantic-mechanism-reviewed,PR236-S001;PR236-S027;PR236-S028;PR236-S029,0
PR236-M006,ansible_relayor,meta,1,1,0,73db8e5667f2ff03a70022055e1b321643fb391866fbd24909a9e23626fb13b7,meta/main.yml,meta/main.yml,semantic-mechanism-reviewed,PR236-S001;PR236-S027;PR236-S028;PR236-S029,0
PR236-M007,ansible_relayor,playbook-examples,12,12,0,87d51978db5e4e74284571a9c0004ac2694b499aa0eec890aa3412e6d200e6f4,playbook-examples/exit-relays/10_4_instances_per_IP.yml,playbook-examples/non-exit-relays/7_alpha-apt-repo.yml,semantic-mechanism-reviewed,PR236-S001;PR236-S027;PR236-S028;PR236-S029,0
PR236-M008,ansible_relayor,tasks,10,10,3,aa8450ba992f313bdbc7d466fa0ad8a0dae894a9ae2c266c114db887a23c9619,tasks/apt_prepare.yml,tasks/rpm_prepare.yml,product-and-semantic-reviewed,PR236-S001;PR236-S027;PR236-S028;PR236-S029,0
PR236-M009,ansible_relayor,templates,6,0,6,720ac82f0487620c060fef45dc0c869b1f6d5de746098750d7b857b82770b58e,templates/cpu-affinity-service-drop-in,templates/torrc,product-and-semantic-reviewed,PR236-S001;PR236-S027;PR236-S028;PR236-S029,0
PR236-M010,ansible_relayor,test/integration,19,17,0,892b223f3002d0e9d1e625a5f53a75febdb015a578a83474e375b08ac68d50dc,test/integration/default/2publicIPs-exit-node.yml,test/integration/default/vars/per-instance-exitpolicy,semantic-mechanism-reviewed,PR236-S001;PR236-S027;PR236-S028;PR236-S029,0
PR236-M011,ansible_relayor,test/vagrant_provisions,2,2,0,359285da58f04ddad8268129644f10f155dd77e9f0b471cb9bb5b54eb1936b23,test/vagrant_provisions/freebsd_vagrant_provision.rb,test/vagrant_provisions/openbsd_vagrant_provision.rb,semantic-mechanism-reviewed,PR236-S001;PR236-S027;PR236-S028;PR236-S029,0
PR236-M012,ansible_relayor,vars,5,5,0,c286baa52b5af79fc43b65e4dd588e412154bf3fc8e410b10bc275ee2e9bffef,vars/os_Debian.yml,vars/private_IPv4_only.yml,semantic-mechanism-reviewed,PR236-S001;PR236-S027;PR236-S028;PR236-S029,0
PR236-M013,backhaulmanager,@root,3,3,0,b5ac61b6ce81185105edb2ea76025789a6ab83e920ccd947a1d6190d18d5a5a9,README.md,linktest.sh,semantic-mechanism-reviewed,PR236-S002;PR236-S052;PR236-S053,0
PR236-M014,backhaulmanager,assets,1,0,0,835d3f5dbbd3484d39e70f0f326736f41d83e0744d26da1ef87c26ad8d533446,assets/showcase.png,assets/showcase.png,accounted-low-signal,PR236-S002;PR236-S052;PR236-S053,0
PR236-M015,chutney,.gitlab,4,0,4,891150b0144238ad10a4efbc05d378f7b5580ecc2f8532ded7da1899bb04e5bf,.gitlab/issue_templates/bug.md,.gitlab/issue_templates/proposal.md,product-and-semantic-reviewed,PR236-S003;PR236-S058;PR236-S059;PR236-S060;PR236-S078,0
PR236-M016,chutney,@root,12,5,0,5b3e9397a415855bed35466b42bf295ee8cbd684b5757c8afac0843d1bf50d8a,.flake8,resolv.conf,semantic-mechanism-reviewed,PR236-S003;PR236-S058;PR236-S059;PR236-S060;PR236-S078,0
PR236-M017,chutney,ci,1,1,0,d31b40f12edd99cb265b72545bcc717d492b1c64d10fd8748cd180c8df7dd768,ci/tor-gitlab-ci.yml,ci/tor-gitlab-ci.yml,semantic-mechanism-reviewed,PR236-S003;PR236-S058;PR236-S059;PR236-S060;PR236-S078,0
PR236-M018,chutney,examples,1,1,0,916fb9c33428e770851ee5fd0c54ef6e1a68429bcdda815a2e9ec1cf483747c8,examples/use_as_module.py,examples/use_as_module.py,semantic-mechanism-reviewed,PR236-S003;PR236-S058;PR236-S059;PR236-S060;PR236-S078,0
PR236-M019,chutney,lib/chutney,50,27,6,7807ce6d0d1864655a7ada7e197bea77dbdb193043626922c9c1e5c322ddc2ed,lib/chutney/Host.py,lib/chutney/tor/util.py,product-and-semantic-reviewed,PR236-S003;PR236-S058;PR236-S059;PR236-S060;PR236-S078,0
PR236-M020,chutney,net,1,0,0,f0fac13a6a77f5d2cf4bc336d19b59208567aaedbbc691690d739eb9183f67bd,net/.empty,net/.empty,accounted-low-signal,PR236-S003;PR236-S058;PR236-S059;PR236-S060;PR236-S078,0
