record_id,donor,level,value_unit,source_path,source_sha256,transformation,disposition,target_capability,target_nodes,invariant,negative_invariant,validation_status
PR236-S001,ansible_relayor,repository,repository-wide second-order disposition envelope,.github/ISSUE_TEMPLATE/Bug_report.md,e5bf244ff096e5f22642f4a69cc99b87d2d7b5e1c764471ba6981eddc7b6f079,exhaustive-module-decomposition,resolved-by-module-and-focused-records,post-refactor-236 convergence graph,governance/convergence/post-refactor-236-module-audit.csv,every regular file resolves through an explicit module group and donor envelope,repository envelope never substitutes for independently meaningful focused records,verified
PR236-S002,backhaulmanager,repository,repository-wide second-order disposition envelope,README.md,69fe3d9ff1ad78b9fd6e7df4fdd2b3227ea8db7dabe0c7470deaaa6b8f5b3282,exhaustive-module-decomposition,resolved-by-module-and-focused-records,post-refactor-236 convergence graph,governance/convergence/post-refactor-236-module-audit.csv,every regular file resolves through an explicit module group and donor envelope,repository envelope never substitutes for independently meaningful focused records,verified
PR236-S003,chutney,repository,repository-wide second-order disposition envelope,.flake8,7f1b1518b6ea148087b73985ab39dfa9597c45a83956092030870d6a72829449,exhaustive-module-decomposition,resolved-by-module-and-focused-records,post-refactor-236 convergence graph,governance/convergence/post-refactor-236-module-audit.csv,every regular file resolves through an explicit module group and donor envelope,repository envelope never substitutes for independently meaningful focused records,verified
PR236-S004,clienthellod,repository,repository-wide second-order disposition envelope,.deepsource.toml,5d64f16602c50062a43db0e7afc44e4aa37830533a68b5b9ccab3f5226bd86b1,exhaustive-module-decomposition,resolved-by-module-and-focused-records,post-refactor-236 convergence graph,governance/convergence/post-refactor-236-module-audit.csv,every regular file resolves through an explicit module group and donor envelope,repository envelope never substitutes for independently meaningful focused records,verified
PR236-S005,doh_server,repository,repository-wide second-order disposition envelope,.github/FUNDING.yml,c7031e964e8b241947071d9a7d9bc4ce55beb8f225df692683121629e4a168fd,exhaustive-module-decomposition,resolved-by-module-and-focused-records,post-refactor-236 convergence graph,governance/convergence/post-refactor-236-module-audit.csv,every regular file resolves through an explicit module group and donor envelope,repository envelope never substitutes for independently meaningful focused records,verified
PR236-S006,encrypted_dns_server,repository,repository-wide second-order disposition envelope,.github/FUNDING.yml,c7031e964e8b241947071d9a7d9bc4ce55beb8f225df692683121629e4a168fd,exhaustive-module-decomposition,resolved-by-module-and-focused-records,post-refactor-236 convergence graph,governance/convergence/post-refactor-236-module-audit.csv,every regular file resolves through an explicit module group and donor envelope,repository envelope never substitutes for independently meaningful focused records,verified
PR236-S007,exitmap,repository,repository-wide second-order disposition envelope,.coveragerc,fd135a8f5d86849ea21e7636b7a6fb6eabc4d06b0d53c88506e2def5d817390e,exhaustive-module-decomposition,resolved-by-module-and-focused-records,post-refactor-236 convergence graph,governance/convergence/post-refactor-236-module-audit.csv,every regular file resolves through an explicit module group and donor envelope,repository envelope never substitutes for independently meaningful focused records,verified
PR236-S008,fptnclient_ios,repository,repository-wide second-order disposition envelope,.gitignore,2a946cbe89dff166867dd1012bf4a8450096e9192a92c0f719fc970d07b04746,exhaustive-module-decomposition,resolved-by-module-and-focused-records,post-refactor-236 convergence graph,governance/convergence/post-refactor-236-module-audit.csv,every regular file resolves through an explicit module group and donor envelope,repository envelope never substitutes for independently meaningful focused records,verified
PR236-S009,gojq,repository,repository-wide second-order disposition envelope,.dockerignore,354337e8bcd074cc72416f6b2ba2b7894972e07f8834d400f9da4f74168eaa71,exhaustive-module-decomposition,resolved-by-module-and-focused-records,post-refactor-236 convergence graph,governance/convergence/post-refactor-236-module-audit.csv,every regular file resolves through an explicit module group and donor envelope,repository envelope never substitutes for independently meaningful focused records,verified
PR236-S010,haskell_tor,repository,repository-wide second-order disposition envelope,.gitignore,a8b6ac78a9b2655ce54fd848d94963caf5cea3394657e93dc6d119c62367564f,exhaustive-module-decomposition,resolved-by-module-and-focused-records,post-refactor-236 convergence graph,governance/convergence/post-refactor-236-module-audit.csv,every regular file resolves through an explicit module group and donor envelope,repository envelope never substitutes for independently meaningful focused records,verified
PR236-S011,incy_link_encoder,repository,repository-wide second-order disposition envelope,.gitignore,adb6f1de15639975481c90c728d81430e39996f4d36c252ef4566ed89ddf6e35,exhaustive-module-decomposition,resolved-by-module-and-focused-records,post-refactor-236 convergence graph,governance/convergence/post-refactor-236-module-audit.csv,every regular file resolves through an explicit module group and donor envelope,repository envelope never substitutes for independently meaningful focused records,verified
