donor,path,sha256,size_bytes,mode,kind,authority,language,high_signal,ui_product,module_record_id,semantic_record_ids,disposition,unresolved
ansible_relayor,.github/ISSUE_TEMPLATE/Bug_report.md,e5bf244ff096e5f22642f4a69cc99b87d2d7b5e1c764471ba6981eddc7b6f079,720,0o644,documentation,authoritative-source,n/a,0,1,PR236-M001,PR236-S001,resolved,0
ansible_relayor,.gitignore,f9bf5596ed759a60b7933bbfd27b271fd8d13ac8a50bf1c4e64871ec4a80363c,30,0o644,repository-administration,derived-or-reference,n/a,0,0,PR236-M002,PR236-S001,resolved,0
ansible_relayor,.kitchen.yml,2637d973d6baa1ce87e7b0b01049118398a57f1ae7be37412a18180c29ed18b9,3188,0o644,configuration,authoritative-source,n/a,1,0,PR236-M002,PR236-S001,resolved,0
ansible_relayor,.travis.yml,6d4c57883b1a985c7a2f0f3fc77178b5458ebfa6ff1f4a2571cd7a69f042f7bc,106,0o644,configuration,authoritative-source,n/a,1,0,PR236-M002,PR236-S001,resolved,0
ansible_relayor,LICENSE,8ceb4b9ee5adedde47b31e975c1d90c73ad27b6b165a1dcd80c7c545eb65b903,35147,0o644,fixture,derived-or-reference,n/a,0,0,PR236-M002,PR236-S001,resolved,0
ansible_relayor,README.md,5100e3aa52eccf1c209d0292db636eb82098a0e9869f090d71bf0c757a3f1ccd,30878,0o644,documentation,authoritative-source,n/a,1,0,PR236-M002,PR236-S001,resolved,0
ansible_relayor,SECURITY.md,e3c134dfc8979cccf0f0ccb3b1fe6b5487d5742ed354e81c60521b9cf50bae7a,98,0o644,documentation,authoritative-source,n/a,1,0,PR236-M002,PR236-S001,resolved,0
ansible_relayor,defaults/main.yml,16d73d1cf776c6e3e1e5607b799f7172e8770cd3cb485ff0190ec98174f67237,9563,0o644,configuration,authoritative-source,n/a,1,0,PR236-M003,PR236-S001;PR236-S027,resolved,0
ansible_relayor,files/deb.torproject.org-keyring.gpg,f2d60f042bae9da3f4857a0a7ce36ea7c945e2cc725c283ae579eb526c844f05,36720,0o644,fixture,derived-or-reference,n/a,0,0,PR236-M004,PR236-S001,resolved,0
ansible_relayor,files/local.conf,ab8c16cc1fd5c1214cb8dcf579f20ede4e7871e35e114934faacca67f9784db0,73,0o644,configuration,authoritative-source,n/a,1,0,PR236-M004,PR236-S001,resolved,0
ansible_relayor,files/tor-generator,8f268e3c539bb2d0c752a7acc06a4f0033d310e25acea87d40a265036a0aa120,752,0o644,fixture,derived-or-reference,n/a,0,0,PR236-M004,PR236-S001,resolved,0
ansible_relayor,handlers/main.yml,908dd99b61a08a3543eca3d16f1b5f55ec84c6ef70c59c06689bea5675fed1b2,2980,0o644,configuration,authoritative-source,n/a,1,0,PR236-M005,PR236-S001,resolved,0
ansible_relayor,meta/main.yml,37146f552da3d973873ae964bef2a6eb0cf4128fb106c2e26e2597e1e8c3c713,428,0o644,configuration,authoritative-source,n/a,1,0,PR236-M006,PR236-S001,resolved,0
ansible_relayor,playbook-examples/exit-relays/10_4_instances_per_IP.yml,4310fcaa67d2045798cabc7e4b2d4358ba13573592f1bdb159b417659de4307e,287,0o644,configuration,authoritative-source,n/a,1,0,PR236-M007,PR236-S001,resolved,0
ansible_relayor,playbook-examples/exit-relays/11_4_instances_per_IP_prometheus.yml,b0b7f7ec141c46acbfe30307b9c69ea04012b4a0d86f365ba921649489459499,354,0o644,configuration,authoritative-source,n/a,1,0,PR236-M007,PR236-S001,resolved,0
ansible_relayor,playbook-examples/exit-relays/12_4_instances_per_IP_prometheus-alertrules.yml,129f599d531eccfd8c1003142f1bb732f6457857556f35d501a486573c37fe55,395,0o644,configuration,authoritative-source,n/a,1,0,PR236-M007,PR236-S001,resolved,0
ansible_relayor,playbook-examples/exit-relays/8_reduced_exitpolicy.yml,63543996aec885fcc1f8dc15ce14902e041aee3ba7ca7fc2bbd7c1f60e9ff0e4,231,0o644,configuration,authoritative-source,n/a,1,0,PR236-M007,PR236-S001,resolved,0
ansible_relayor,playbook-examples/exit-relays/9_custom_exit_policy.yml,85b420fd7f4a5279c9270807a79a102e61377f6c62535db52c48b9b941a73ce3,311,0o644,configuration,authoritative-source,n/a,1,0,PR236-M007,PR236-S001,resolved,0
ansible_relayor,playbook-examples/non-exit-relays/1_contactInfo.yml,3bdd7f23132723ba0ec0f0995262eb370e7f4f4ea23eadbb0932547eca55e0e6,108,0o644,configuration,authoritative-source,n/a,1,0,PR236-M007,PR236-S001,resolved,0
ansible_relayor,playbook-examples/non-exit-relays/2_keyexpiry_90days.yml,983335b0b1e816c5dc931d1f3d1f604c2af3dbe59cf76822abef03ad1f04c18f,144,0o644,configuration,authoritative-source,n/a,1,0,PR236-M007,PR236-S001,resolved,0
ansible_relayor,playbook-examples/non-exit-relays/3_nickname.yml,3040b4359719d5ba62cad1375066fe5fd100fefa0fdf524433453672e237ada5,187,0o644,configuration,authoritative-source,n/a,1,0,PR236-M007,PR236-S001,resolved,0
