path,change_type,baseline_sha256,current_sha256
Makefile,modified,71ed5558ce4ed481604bc52be71f17047c977198bbed68afabf8f75140270a54,841954fe068231bd1d3b86005598aff704977eb9eecaefb1e4ac9b80375d0342
governance/convergence/post-refactor-236-all-history-second-order-audit.md,added,n/a,generated-evidence
governance/convergence/post-refactor-236-all-history-summary.json,added,n/a,generated-evidence
governance/convergence/post-refactor-236-architecture.md,added,n/a,generated-evidence
governance/convergence/post-refactor-236-archive-accountability.csv,added,n/a,generated-evidence
governance/convergence/post-refactor-236-baseline-files.csv,added,n/a,generated-evidence
governance/convergence/post-refactor-236-directories.csv,added,n/a,generated-evidence
governance/convergence/post-refactor-236-evidence-summary.json,added,n/a,generated-evidence
governance/convergence/post-refactor-236-module-audit.csv,added,n/a,generated-evidence
governance/convergence/post-refactor-236-omission-audit.md,added,n/a,generated-evidence
governance/convergence/post-refactor-236-operator-runbook.md,added,n/a,generated-evidence
governance/convergence/post-refactor-236-peer-synthesis.md,added,n/a,generated-evidence
governance/convergence/post-refactor-236-security-model.md,added,n/a,generated-evidence
governance/convergence/post-refactor-236-semantic-ledger.csv,added,n/a,generated-evidence
governance/convergence/post-refactor-236-state-machines.md,added,n/a,generated-evidence
governance/convergence/post-refactor-236-supersession-map.csv,added,n/a,generated-evidence
governance/convergence/post-refactor-236-surface-accountability.csv,added,n/a,generated-evidence
governance/convergence/post-refactor-236-symbols.csv,added,n/a,generated-evidence
governance/convergence/post-refactor-236-symlinks.csv,added,n/a,generated-evidence
governance/convergence/post-refactor-236-target-delta.csv,added,n/a,generated-evidence
governance/convergence/post-refactor-236-validation.md,added,n/a,generated-evidence
scripts/checks/check_post_refactor_236_convergence.py,added,n/a,7f41fa00f35edcbe9322f3d140194fd85912f5db3ab9314474b2e00d9b402ec8
scripts/generate/generate_post_refactor_236_evidence.py,added,n/a,3b1706d41a0d161ec8104bcc49f990f011e5530e881b81483822993b4af92065
src/apps/daemon/internal/adapters/api/handlers_post_refactor_235_planners.go,modified,319f9ec46a5d28e13495fddff59f3bac5ae495e8825b9cdafd6fe66b6e4f565a,141b9c35c7c19b369d9457a83fa2ecc0e8de77070c3a6e0c7b81275f2ed92247
src/apps/daemon/internal/adapters/api/handlers_post_refactor_236_planners.go,added,n/a,343e4acc7f2b86a07679268fc8ca9262607d14c7791bf81af01aa6c651adbac2
src/apps/daemon/internal/adapters/api/routes_system.go,modified,5f6f024cafd9b8ac03c550990ab128621a71476f043eda30986d8b4395e9f307,e2916bbe83fb2c097f6dcd6d25d363dbb71879a6b585c808a7ed302002ba150c
src/apps/daemon/internal/analysis/diagnostics/jq_evaluator.go,modified,14370b0004d9d9320f589f6e730f567fb86229e082c038d360152c8093a9a079,c7318008b2b3df1a8f40bc0ab03c7769853d19b70a8d087bf574352a5e7d9ca0
src/apps/daemon/internal/analysis/diagnostics/jq_evaluator_test.go,added,n/a,9a4e8a8889fbd45e08361ab2de0c3113328abb4c6c2003109c1a52eaf6ef0783
src/apps/daemon/internal/analysis/diagnostics/post_refactor_236_plans.go,added,n/a,c3f25f69e98d7e73618f3b860fbef3988bba9a62dfb4492077ebfaaf3fa25c2c
src/apps/daemon/internal/analysis/diagnostics/post_refactor_236_plans_test.go,added,n/a,2312424172c304c74ea837e9c736eba2a14c3e6354c222516fb49caedb75d0ee
src/packages/control-ui/package.json,modified,97b1a9e0a46062a7a94cf621f78608bae8fdaf4256b3168350c233aa52076a9e,cc3d35407ed421880dcda2b5ab0cd41e3e606e8c05d8bc4e6c51ecbea82e2c3c
src/packages/control-ui/scripts/test-post-refactor-235.mjs,modified,ed0b1d9681653d1b01cf6949007fb6d02dc5184bb8cf6a5cf8af2eb641617a84,6e53ba876404895db0959ea83c0b4dcde19b40b7fb8dddd90ddce3954c03d132
src/packages/control-ui/scripts/test-post-refactor-236.mjs,added,n/a,ae5aab2f7af7686735d4f712d3e489b4f737415a6733693befb10ae8cd1e20c0
src/packages/control-ui/src/pages/Operations.tsx,modified,f562d1d0bd9b6790730c3495ab26b3dd87001529f55dc6ca90cf08db4829cedb,e10c7e80441661f4cdbdfdd09c1398b294d42d372ed7aa713acfb92628b109a1
