donor,directory,direct_files,direct_dirs
MITM-DomainFronting-main,.,3,1
MITM-DomainFronting-main,Xray-config,2,0
MITM-cheatsheet-master,.,3,0
Marzban-scripts-master,.,4,0
NginxReverseProxy-main,.,7,0
Nova-Proxy-App-main,.,15,6
Nova-Proxy-App-main,.git,6,5
Nova-Proxy-App-main,.git/hooks,14,0
Nova-Proxy-App-main,.git/info,1,0
Nova-Proxy-App-main,.git/logs,1,1
Nova-Proxy-App-main,.git/logs/refs,0,2
Nova-Proxy-App-main,.git/logs/refs/heads,1,0
Nova-Proxy-App-main,.git/logs/refs/remotes,0,1
Nova-Proxy-App-main,.git/logs/refs/remotes/origin,1,0
Nova-Proxy-App-main,.git/objects,0,1
Nova-Proxy-App-main,.git/objects/pack,3,0
Nova-Proxy-App-main,.git/refs,0,2
Nova-Proxy-App-main,.git/refs/heads,1,0
Nova-Proxy-App-main,.git/refs/remotes,0,1
Nova-Proxy-App-main,.git/refs/remotes/origin,1,0
Nova-Proxy-App-main,cert,3,0
Nova-Proxy-App-main,proxy,22,0
Nova-Proxy-App-main,scr,8,0
Nova-Proxy-App-main,server,2,0
Nova-Proxy-App-main,sysproxy,2,0
Nova-Proxy-main,.,10,1
Nova-Proxy-main,Htmel,1,1
Nova-Proxy-main,Htmel/img,2,0
NovaRadar-main,.,16,0
Pitraix-main,.,9,0
QS-Tunnel-main,.,12,2
QS-Tunnel-main,examples,0,2
QS-Tunnel-main,examples/xray_core_hysteria,2,0
QS-Tunnel-main,examples/xray_core_xhttp_h3,2,0
QS-Tunnel-main,utility,4,0
cellshift-main,.,7,2
cellshift-main,.github,0,1
cellshift-main,.github/workflows,1,0
cellshift-main,src,6,1
cellshift-main,src/lib,4,0
mihomo-main,.,4,3
mihomo-main,.github,0,2
mihomo-main,.github/ISSUE_TEMPLATE,5,0
mihomo-main,.github/workflows,2,0
mihomo-main,examples,3,0
mihomo-main,mihomo,4,1
mihomo-main,mihomo/models,7,1
mihomo-main,mihomo/models/v1,5,0
mullvad-best-server-main,.,10,2
mullvad-best-server-main,.github,0,1
mullvad-best-server-main,.github/workflows,1,0
mullvad-best-server-main,licenses,0,2
mullvad-best-server-main,licenses/github.com,0,4
mullvad-best-server-main,licenses/github.com/go-ping,0,1
mullvad-best-server-main,licenses/github.com/go-ping/ping,1,0
mullvad-best-server-main,licenses/github.com/google,0,1
mullvad-best-server-main,licenses/github.com/google/uuid,1,0
mullvad-best-server-main,licenses/github.com/mattn,0,2
mullvad-best-server-main,licenses/github.com/mattn/go-colorable,1,0
mullvad-best-server-main,licenses/github.com/mattn/go-isatty,1,0
mullvad-best-server-main,licenses/github.com/rs,0,1
mullvad-best-server-main,licenses/github.com/rs/zerolog,1,0
mullvad-best-server-main,licenses/golang.org,0,1
mullvad-best-server-main,licenses/golang.org/x,0,3
mullvad-best-server-main,licenses/golang.org/x/net,1,0
mullvad-best-server-main,licenses/golang.org/x/sync,0,1
mullvad-best-server-main,licenses/golang.org/x/sync/errgroup,1,0
mullvad-best-server-main,licenses/golang.org/x/sys,0,1
mullvad-best-server-main,licenses/golang.org/x/sys/unix,1,0
mullvad-tailscale-main,.,4,0
multitor-master,.,5,8
multitor-master,.github,2,0
multitor-master,bin,1,0
multitor-master,etc,1,0
multitor-master,lib,9,0
multitor-master,log,1,0
multitor-master,src,4,0
multitor-master,static,0,2
multitor-master,static/img,1,0
multitor-master,static/man8,1,0
multitor-master,templates,3,0
nahan-main(2),.,12,1
nahan-main(2),.github,0,1
nahan-main(2),.github/ISSUE_TEMPLATE,2,0
onionperf-master,.,6,1
onionperf-master,onionperf,8,0
proxy-yoinker-main,.,4,1
proxy-yoinker-main,src,5,4
proxy-yoinker-main,src/discovery,3,0
proxy-yoinker-main,src/io,3,0
proxy-yoinker-main,src/network,3,0
proxy-yoinker-main,src/parsers,4,0
qpp-main,.,11,2
qpp-main,.github,0,1
qpp-main,.github/workflows,1,0
qpp-main,misc,1,0
qtun-master,.,5,3
qtun-master,.github,0,1
qtun-master,.github/workflows,3,0
qtun-master,build,4,0
qtun-master,src,4,2
qtun-master,src/args,1,0
qtun-master,src/common,1,0
smux-dev,.,14,0
