donor,archive,archive_sha256,member_count,file_surfaces,directories,symbols,symlinks,license_posture,source_reuse_policy,archive_issues,final_disposition,nested_members
MITM-DomainFronting-main,MITM-DomainFronting-main.zip,774351a433f69a23ccc62c4bdeb92429de5b8af0b0a0984b4261e901800f2dd2,7,5,2,0,0,GPLv3,concept/negative evidence only,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
MITM-cheatsheet-master,MITM-cheatsheet-master.zip,0485f4ddb2ff08c57d5b531deeafc9035343e682836dd7a4eb657dacf27e4c61,4,3,1,0,0,no explicit LICENSE,no source reuse; defensive reference only,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
Marzban-scripts-master,Marzban-scripts-master.zip,bb77f8e2398394c5d78b624f2e43d7066aab03711e8c58f5b7f4c9e934d701cb,5,4,1,0,0,no explicit LICENSE,no source reuse; operational reference only,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
NginxReverseProxy-main,NginxReverseProxy-main.zip,f66ed08e2a5e7685c64e024276fd49333788e68a3f0c022c3f88b4a1d1f9a616,8,7,1,0,0,MIT,direct adaptation permitted with attribution,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,18
Nova-Proxy-App-main,Nova-Proxy-App-main.zip,00091bd43639f7010646bb7af0ca5073d03a7001a85ef22722f2d64b457583ce,101,81,20,610,0,no explicit LICENSE,no source reuse; independent derivation/guardrails only,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
Nova-Proxy-main,Nova-Proxy-main.zip,9ad52154b3dcf4612ce7e99fc39b18124ee8a960cf4808f6c582585b1191d7dc,16,13,3,0,0,MIT,direct adaptation permitted with attribution,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
NovaRadar-main,NovaRadar-main.zip,db82bcfb8c7f8ddf37adf77ba32d599452746632b4c8fe741c8a10dd3f1d09f4,17,16,1,40,0,MIT,direct adaptation permitted with attribution,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
Pitraix-main,Pitraix-main.zip,cf7a87835cc35dd2bc2ec64cc362aa31d0afa28ec9b60acecc2027c12f53167a,10,9,1,77,0,MIT but malicious product role,no capability adoption; negative evidence only,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
QS-Tunnel-main,QS-Tunnel-main.zip,53e900eac28e63b9b3c498208f0383638d04401825e12e5d68fa5ad90d95bd99,25,20,5,64,0,GPLv3,concept/negative evidence only,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
cellshift-main,cellshift-main.zip,136ccc3f9554df8c8ad16be6e0aecdf5c259bb6b05e06126bf2e89874fe547ca,23,18,5,112,0,BSD-style / U.S. Government terms,reference/evaluation use subject to terms,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
mihomo-main,mihomo-main.zip,029d672321d5b20e154df4a4c34457e892341f35b0b2e9612e0503702f2d04d0,38,30,8,39,0,MIT,unrelated product role,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
mullvad-best-server-main,mullvad-best-server-main.zip,af138dceaca815397a82b6ab13a30b7d3f3c79caff09aaf51f02081cd0cc4b98,40,19,21,5,0,MIT,direct adaptation permitted with attribution,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
mullvad-tailscale-main,mullvad-tailscale-main.zip,2e4f1e20a47b03d36c1e4fd86c5508234154f15738a8cf83e8bed0403cc11b8e,5,4,1,1,0,GPLv3,concept/negative evidence only,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
multitor-master,multitor-master.zip,5f6d98b3f63f0f97b4f9f8eb9ada0b067056f6d191005e75117e47cc79275782,39,28,11,20,0,GPLv3,concept/negative evidence only,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
nahan-main(2),nahan-main(2).zip,faaa095b2e0f9e66a1a2abe57744eb66fc4b9207683ecf87e600f205f16c4848,17,14,3,95,0,no explicit LICENSE,identical prior donor; no new source reuse,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
onionperf-master,onionperf-master.zip,9c9e8898c071c92e3bb3f2d8e1e1d2c6f40dc16627def1625d5444c3586bbaa6,16,14,2,278,0,BSD-style / U.S. Government terms,reference/evaluation use subject to terms,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
proxy-yoinker-main,proxy-yoinker-main.zip,4e2f8e6a2bc118403102231659456e916684aff1fe28ada1f928582969cfba29,28,22,6,71,0,no explicit LICENSE,no source reuse; concept/reference only,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
qpp-main,qpp-main.zip,deae30c247136a7486f3d39cfb609ef84ab8d5656f0a990dd4a4da270dcb49e5,17,13,4,44,0,GPLv3,no source reuse; crypto rejected,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
qtun-master,qtun-master.zip,95d700112f449f5399d5f1934a06b6ea7aefa1701961a90cd8affc86c73d05fb,25,18,7,23,0,MIT declared in Cargo.toml,direct adaptation permitted with attribution,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
smux-dev,smux-dev.zip,22011451b4ebf883e719a96fe166022f8475f5246ec34490465cc3d56af99125,15,14,1,167,0,MIT,direct adaptation permitted with attribution,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
