module_id,donor,module_path,surface_count,representative_path,representative_sha256,first_path,last_path
PR83-M0001,MITM-DomainFronting-main,@root,3,.gitignore,58c59124b1ef1248ef8b887561e9bf5c4043bad7df8505c089a5b5be580596ff,.gitignore,README.md
PR83-M0002,MITM-DomainFronting-main,Xray-config,2,Xray-config/MITM-DomainFronting.json,c81ed67de7ca7b0dcc7b63e7d3dfba8bc77a9c0da84bd7d3aaec9186b0bb1135,Xray-config/MITM-DomainFronting.json,Xray-config/certificate_generator.bat
PR83-M0003,MITM-cheatsheet-master,@root,3,README.md,083842030a7f64cd2e2c3fe2875c5cc7d1cdb0409eb1213a227e2aa24efc215f,README.md,template.md
PR83-M0004,Marzban-scripts-master,@root,4,README.md,23b5ee22fabcf56ceaa34767887dee3855dc97b027e0589387d029ef40b7a02f,README.md,marzban.sh
PR83-M0005,NginxReverseProxy-main,@root,7,LICENSE,64305036ea784d0f9a66f3605e16aef12d698719a54077cae73e526cd3f1319a,LICENSE,tor_box-master.zip
PR83-M0006,Nova-Proxy-App-main,.git,29,.git/HEAD,28d25bf82af4c0e2b72f50959b2beb859e3e60b9630a5e8c603dad4ddb2b6e80,.git/HEAD,.git/shallow
PR83-M0007,Nova-Proxy-App-main,@root,15,README.en.md,631f143f7f3de8dee24a9de437fed80485b4d91cdfc841405c2cc17e326ceefd,README.en.md,wails.json
PR83-M0008,Nova-Proxy-App-main,cert,3,cert/cert.go,d0869545c14fa66ca798040b9fee690dfc40ca0534d51e2ad8cb0cbfb23f38b6,cert/cert.go,cert/installer.go
PR83-M0009,Nova-Proxy-App-main,proxy,22,proxy/auto_routing.go,b0124e256da5a196cb258940bb2241a0653b98ee6e6f3523272c3dfc553c8de9,proxy/auto_routing.go,proxy/v2ray_manager.go
PR83-M0010,Nova-Proxy-App-main,scr,8,scr/NovaApp.jpg,ffd96f4b5030f857ef1b610a435981f3ca874bbf54e0f6d0d462dc4a7ba9bfa2,scr/NovaApp.jpg,scr/NovaApp7.jpg
PR83-M0011,Nova-Proxy-App-main,server,2,server/Code.gs,19ed2a8960463d4c9b01e3f5b922c3554da25adda8ca055897a431a03a83bb58,server/Code.gs,server/worker.js
PR83-M0012,Nova-Proxy-App-main,sysproxy,2,sysproxy/exec_windows.go,f7bc62288bac1d803371319450d672fae9bee7812ece69ef9f2b1b61a617cfb8,sysproxy/exec_windows.go,sysproxy/sysproxy_windows.go
PR83-M0013,Nova-Proxy-main,@root,10,LICENSE,661c42f22d7a7a12609adb1aa4a630b3c9faf494d0de65d29868ecc62b36c5e7,LICENSE,wrangler.jsonc
PR83-M0014,Nova-Proxy-main,Htmel,3,Htmel/img/dashbord.JPG,ed49f2ccb47d93587ab03a3caf374b651eed3dbf806f0a73837a8dcb99cdff42,Htmel/img/dashbord.JPG,Htmel/index.html
PR83-M0015,NovaRadar-main,@root,16,.gitattributes,1a1dbe176bc233b499d35a57db7513f2941c99ab9759f177830c9149be99005b,.gitattributes,wails.json
PR83-M0016,Pitraix-main,@root,9,LICENSE,27aff91f9eb6946b69dfdb90e4d784a280adb4ae2bd337c499cde7b017f67550,LICENSE,spec.txt
PR83-M0017,QS-Tunnel-main,@root,12,.gitignore,affa6da093fae67d0b93e5edcd693ecce1ea9714886687d568e3e60d678a84a8,.gitignore,spoof_udp_test.py
PR83-M0018,QS-Tunnel-main,examples,4,examples/xray_core_hysteria/hysteria_client.jsonc,29310658c5f2676e989e5ac4f2dd2b62272cdf56787c9e7007722a31114b9a9d,examples/xray_core_hysteria/hysteria_client.jsonc,examples/xray_core_xhttp_h3/xhttp_h3_server.jsonc
PR83-M0019,QS-Tunnel-main,utility,4,utility/base32.py,1a8d24f4719539438ed06f1585c54a9ab4c5db416d622ef174c7b6904d592027,utility/base32.py,utility/packets.py
PR83-M0020,cellshift-main,.github,1,.github/workflows/rust.yml,8adc5605899ac0f56bef3aa42c314b84d3cd436c7caba6e7875474e7f6c49a46,.github/workflows/rust.yml,.github/workflows/rust.yml
PR83-M0021,cellshift-main,@root,7,.gitignore,44c92e3a70ad3307b7056871c2bdb096d8bfa9373f5bf06a79bb6324a20ff2fb,.gitignore,apptainer.def
PR83-M0022,cellshift-main,src,10,src/cli.rs,9e4db07a00f4251e7ba068c84c2af6150e3fbf74e45af564cfe60503b944e644,src/cli.rs,src/util.rs
PR83-M0023,mihomo-main,.github,7,.github/ISSUE_TEMPLATE/bug_report.yml,5dabae5886be84d2bc0ce36be6ef58b4568e979011889f5291ec1315db011695,.github/ISSUE_TEMPLATE/bug_report.yml,.github/workflows/build.yml
PR83-M0024,mihomo-main,@root,4,.gitignore,beaa56fbfe39b483b501827419a5f2734849b809a50a93ef5e8d8b8a353f14c1,.gitignore,pyproject.toml
PR83-M0025,mihomo-main,examples,3,examples/basic.py,6d720c6355309552f13322712ecc0c5b5b5d8e04059d87e93c2c6b953f0ff0f4,examples/basic.py,examples/merge_data.py
PR83-M0026,mihomo-main,mihomo,16,mihomo/__init__.py,b722254e9651cd6cca89ff64a6d049078da3bc07574a15bec90d35543d078655,mihomo/__init__.py,mihomo/tools.py
PR83-M0027,mullvad-best-server-main,.github,1,.github/workflows/go.yml,e9cbb2622ac7580b79768f80a7811928d97d2321214dd9b9dafa4ec579c09001,.github/workflows/go.yml,.github/workflows/go.yml
PR83-M0028,mullvad-best-server-main,@root,10,.dcignore,d2c538d64c76b9b2ce895be90b62ee528dd6f6e4c722e15c398e76e318695ca8,.dcignore,main.go
