donor,path,sha256,size_bytes,file_type,classification,authority_status,semantic_record_ids,notes
MITM-DomainFronting-main,.gitignore,58c59124b1ef1248ef8b887561e9bf5c4043bad7df8505c089a5b5be580596ff,7,file,repository-administration,derived-or-administrative,PR83-M0001,post-refactor 20-donor exhaustive surface accountability
MITM-DomainFronting-main,LICENSE,3972dc9744f6499f0f9b2dbf76696f2ae7ad8af9b23dde66d6af86c9dfb36986,35149,file,governance,authoritative-source,PR83-M0001,post-refactor 20-donor exhaustive surface accountability
MITM-DomainFronting-main,README.md,10cba1c76300f1cf24898ea27c3ed9c8c4901767acc6755adfdb7fd6e816d1ed,8833,file,documentation,authoritative-source,PR83-M0001;PR83-S019,post-refactor 20-donor exhaustive surface accountability
MITM-DomainFronting-main,Xray-config/MITM-DomainFronting.json,c81ed67de7ca7b0dcc7b63e7d3dfba8bc77a9c0da84bd7d3aaec9186b0bb1135,9553,file,configuration,authoritative-source,PR83-M0002,post-refactor 20-donor exhaustive surface accountability
MITM-DomainFronting-main,Xray-config/certificate_generator.bat,918ac602f01b13a0a3c2f02e42c20a4d7d9dad5c548cea7b258a519fc63bdcf4,56,file,script,authoritative-source,PR83-M0002,post-refactor 20-donor exhaustive surface accountability
MITM-cheatsheet-master,README.md,083842030a7f64cd2e2c3fe2875c5cc7d1cdb0409eb1213a227e2aa24efc215f,50137,file,documentation,authoritative-source,PR83-M0003;PR83-S020,post-refactor 20-donor exhaustive surface accountability
MITM-cheatsheet-master,_config.yml,e7b9bf970f4440ef09e40de208b6b39b7f34c407e3674405d83a12d8be202b64,28,file,configuration,authoritative-source,PR83-M0003,post-refactor 20-donor exhaustive surface accountability
MITM-cheatsheet-master,template.md,a441e59fc4a99561a41d06a4616121d55fc56691709e77e0989b71dc1b4e5541,909,file,documentation,authoritative-source,PR83-M0003,post-refactor 20-donor exhaustive surface accountability
Marzban-scripts-master,README.md,23b5ee22fabcf56ceaa34767887dee3855dc97b027e0589387d029ef40b7a02f,1857,file,documentation,authoritative-source,PR83-M0004,post-refactor 20-donor exhaustive surface accountability
Marzban-scripts-master,install_latest_xray.sh,97892f4ef41a0c623590114f7dc6b00e34f690ff9b7fbdbd3e06991bb0e4233d,3257,file,script,authoritative-source,PR83-M0004,post-refactor 20-donor exhaustive surface accountability
Marzban-scripts-master,marzban-node.sh,1d0af343a4ad2a19048939fef2ac1aae092f216bb8f0e71d7bfeed2233fd2d36,31398,file,script,authoritative-source,PR83-M0004,post-refactor 20-donor exhaustive surface accountability
Marzban-scripts-master,marzban.sh,1bc6f669a54e98a648100f2ffd6995ea76341afe9b94499b1d61957133eda45d,52034,file,script,authoritative-source,PR83-M0004;PR83-S026,post-refactor 20-donor exhaustive surface accountability
NginxReverseProxy-main,LICENSE,64305036ea784d0f9a66f3605e16aef12d698719a54077cae73e526cd3f1319a,1063,file,governance,authoritative-source,PR83-M0005,post-refactor 20-donor exhaustive surface accountability
NginxReverseProxy-main,README.md,1659734817801131b0e38c21a38d28261d8985844324e5d803da9fa41013b69f,5145,file,documentation,authoritative-source,PR83-M0005,post-refactor 20-donor exhaustive surface accountability
NginxReverseProxy-main,README_ENGLISH.md,4db29c1c2bedec52c516d5f40a3ea1e3546c9e2e98fc3059e4533b980b765d29,3298,file,documentation,authoritative-source,PR83-M0005,post-refactor 20-donor exhaustive surface accountability
NginxReverseProxy-main,install.sh,8c5b3e27f7496b798b9fd031db57e5903b4395b67f2a6c415aa3094c948c1ab9,18354,file,script,authoritative-source,PR83-M0005;PR83-S024,post-refactor 20-donor exhaustive surface accountability
NginxReverseProxy-main,bldfrm-vpn-main.zip,e4fa35fd121db66b4868c656f529b67b44a974746fe534e97b010b93b08da4d0,7089,file,fixture,derived-or-administrative,PR83-M0005;PR83-S025,post-refactor 20-donor exhaustive surface accountability
NginxReverseProxy-main,mullvad-closest-main.zip,9c149d9b94507c47e0e9116dd716f8c492a6f24643fbc39502ea0fee1ad25a11,7069,file,fixture,derived-or-administrative,PR83-M0005,post-refactor 20-donor exhaustive surface accountability
NginxReverseProxy-main,tor_box-master.zip,5a85c8859de7f810ffa3645b1097f09b25bd8b3961ee33a772a3872341049e4e,6825,file,fixture,derived-or-administrative,PR83-M0005,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,.git/HEAD,28d25bf82af4c0e2b72f50959b2beb859e3e60b9630a5e8c603dad4ddb2b6e80,21,file,repository-administration,derived-or-administrative,PR83-M0006,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,.git/config,98692b7cb6fdbb6e5e39cda91485870384b9a87be459891a60f0b3866866dfac,305,file,repository-administration,derived-or-administrative,PR83-M0006,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,.git/description,85ab6c163d43a17ea9cf7788308bca1466f1b0a8d1cc92e26e9bf63da4062aee,73,file,repository-administration,derived-or-administrative,PR83-M0006,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,.git/hooks/applypatch-msg.sample,0223497a0b8b033aa58a3a521b8629869386cf7ab0e2f101963d328aa62193f7,478,file,repository-administration,derived-or-administrative,PR83-M0006,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,.git/hooks/commit-msg.sample,efc1401b0e99d1ff51494d154d98b46c1e99059bcd8bf9f73cecde19fd3eb23b,1972,file,repository-administration,derived-or-administrative,PR83-M0006,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,.git/hooks/fsmonitor-watchman.sample,9159720099ad5595b8e66645cbfd47763c1e920f46e0b50ae75e642bbec57ef0,4611,file,repository-administration,derived-or-administrative,PR83-M0006,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,.git/hooks/post-update.sample,81765af2daef323061dcbc5e61fc16481cb74b3bac9ad8a174b186523586f6c5,189,file,repository-administration,derived-or-administrative,PR83-M0006,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,.git/hooks/pre-applypatch.sample,e15c5b469ea3e0a695bea6f2c82bcf8e62821074939ddd85b77e0007ff165475,424,file,repository-administration,derived-or-administrative,PR83-M0006,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,.git/hooks/pre-commit.sample,57185b7b9f05239d7ab52db045f5b89eb31348d7b2177eab214f5eb872e1971b,1649,file,repository-administration,derived-or-administrative,PR83-M0006,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,.git/hooks/pre-merge-commit.sample,d3825a70337940ebbd0a5c072984e13245920cdf8898bd225c8d27a6dfc9cb53,416,file,repository-administration,derived-or-administrative,PR83-M0006,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,.git/hooks/pre-push.sample,ecce9c7e04d3f5dd9d8ada81753dd1d549a9634b26770042b58dda00217d086a,1374,file,repository-administration,derived-or-administrative,PR83-M0006,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,.git/hooks/pre-rebase.sample,4febce867790052338076f4e66cc47efb14879d18097d1d61c8261859eaaa7b3,4898,file,repository-administration,derived-or-administrative,PR83-M0006,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,.git/hooks/pre-receive.sample,a4c3d2b9c7bb3fd8d1441c31bd4ee71a595d66b44fcf49ddb310252320169989,544,file,repository-administration,derived-or-administrative,PR83-M0006,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,.git/hooks/prepare-commit-msg.sample,e9ddcaa4189fddd25ed97fc8c789eca7b6ca16390b2392ae3276f0c8e1aa4619,1492,file,repository-administration,derived-or-administrative,PR83-M0006,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,.git/hooks/push-to-checkout.sample,a53d0741798b287c6dd7afa64aee473f305e65d3f49463bb9d7408ec3b12bf5f,2783,file,repository-administration,derived-or-administrative,PR83-M0006,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,.git/hooks/sendemail-validate.sample,44ebfc923dc5466bc009602f0ecf067b9c65459abfe8868ddc49b78e6ced7a92,2308,file,repository-administration,derived-or-administrative,PR83-M0006,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,.git/hooks/update.sample,8d5f2fa83e103cf08b57eaa67521df9194f45cbdbcb37da52ad586097a14d106,3650,file,repository-administration,derived-or-administrative,PR83-M0006,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,.git/index,9a800f786990a105229a34eda05021ec4500996184c847146b71e431fcdd084e,4506,file,repository-administration,derived-or-administrative,PR83-M0006,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,.git/info/exclude,6671fe83b7a07c8932ee89164d1f2793b2318058eb8b98dc5c06ee0a5a3b0ec1,240,file,repository-administration,derived-or-administrative,PR83-M0006,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,.git/logs/HEAD,69d3d00382fdb19d3336a0b83aee985946d1e1affd4ac11acfc323c738b428bf,190,file,repository-administration,derived-or-administrative,PR83-M0006,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,.git/logs/refs/heads/main,69d3d00382fdb19d3336a0b83aee985946d1e1affd4ac11acfc323c738b428bf,190,file,repository-administration,derived-or-administrative,PR83-M0006,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,.git/logs/refs/remotes/origin/HEAD,69d3d00382fdb19d3336a0b83aee985946d1e1affd4ac11acfc323c738b428bf,190,file,repository-administration,derived-or-administrative,PR83-M0006,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,.git/objects/pack/pack-ed7a5c2b75bd5190466d91a3ee9ff8e80e5a8583.idx,5eb24ce9a58bd9a74a962f48953480caf5babea83fe5e8e11501d22e909fbafd,2724,file,repository-administration,derived-or-administrative,PR83-M0006,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,.git/objects/pack/pack-ed7a5c2b75bd5190466d91a3ee9ff8e80e5a8583.pack,c93dde4988536e8b6c0170926e0189589d0f911dd84889a8a36f02c4f85a4f75,550587,file,repository-administration,derived-or-administrative,PR83-M0006,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,.git/objects/pack/pack-ed7a5c2b75bd5190466d91a3ee9ff8e80e5a8583.rev,0fdf04805f5e32641a1d6ec348e765abe039108a6e0433568721cd2a52a838bb,288,file,repository-administration,derived-or-administrative,PR83-M0006,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,.git/packed-refs,b4ac788a54946c70037140cfb1074f665d73f4b3f7a7e2947e288e519162c727,112,file,repository-administration,derived-or-administrative,PR83-M0006,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,.git/refs/heads/main,26342d124d530824f33bb57f67d57cd292618f88a69de2187647ecde47644459,41,file,repository-administration,derived-or-administrative,PR83-M0006,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,.git/refs/remotes/origin/HEAD,2bb6a24aa0fc6c484100f5d51a29bbad841cd2c755f5d93faa204e5dbb4eb2b4,30,file,repository-administration,derived-or-administrative,PR83-M0006,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,.git/shallow,26342d124d530824f33bb57f67d57cd292618f88a69de2187647ecde47644459,41,file,repository-administration,derived-or-administrative,PR83-M0006,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,README.en.md,631f143f7f3de8dee24a9de437fed80485b4d91cdfc841405c2cc17e326ceefd,15561,file,documentation,authoritative-source,PR83-M0007,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,README.md,12a6aa6ee440e2616ef37c2ccbcbd58aac66b34b1e7326c475c20b663c8552d8,19805,file,documentation,authoritative-source,PR83-M0007,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,cert/cert.go,d0869545c14fa66ca798040b9fee690dfc40ca0534d51e2ad8cb0cbfb23f38b6,16989,file,implementation,authoritative-source,PR83-M0008,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,cert/exec_windows.go,97271ea49da1ee643c37cd776e61892ad765a98a59d30990105b38f8644ed3e4,1673,file,implementation,authoritative-source,PR83-M0008,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,cert/installer.go,69e9be4307dafed563f51bdffd3fbe0cc125b1aa03a317e3b630cd4254e280c0,10989,file,deployment,authoritative-source,PR83-M0008,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,core_api.go,7b6d3bd4d16a6b56f9703030507ce6d9b5c56514dbd535385b2dba1750b586a9,8587,file,implementation,authoritative-source,PR83-M0007,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,core_client.go,326df6525099c2339fe5ce4395a244eb9b19d97f99325e73286ac1c51de43645,10945,file,implementation,authoritative-source,PR83-M0007,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,core_client_other.go,014f1ee3f25eab0a57537b029fdec2852863f56199f48d502a0924b5ef7defca,175,file,implementation,authoritative-source,PR83-M0007,post-refactor 20-donor exhaustive surface accountability
Nova-Proxy-App-main,core_client_windows.go,614e3f89ea94bacc2d60bd7feb44cd427192733a194affa107227feacf5e3c6b,738,file,implementation,authoritative-source,PR83-M0007,post-refactor 20-donor exhaustive surface accountability
