wave,container_donor,path,sha256,members,kind,relationship,issues
post-refactor-20,NginxReverseProxy-main,bldfrm-vpn-main.zip,e4fa35fd121db66b4868c656f529b67b44a974746fe534e97b010b93b08da4d0,2,byte-identical embedded donor archive,revalidated duplicate; no semantic double-count,none
post-refactor-20,NginxReverseProxy-main,mullvad-closest-main.zip,9c149d9b94507c47e0e9116dd716f8c492a6f24643fbc39502ea0fee1ad25a11,12,byte-identical embedded donor archive,revalidated duplicate; no semantic double-count,none
post-refactor-20,NginxReverseProxy-main,tor_box-master.zip,5a85c8859de7f810ffa3645b1097f09b25bd8b3961ee33a772a3872341049e4e,4,byte-identical embedded donor archive,revalidated duplicate; no semantic double-count,none
post-refactor-20,n/a,nahan-main(2).zip,faaa095b2e0f9e66a1a2abe57744eb66fc4b9207683ecf87e600f205f16c4848,17,byte-identical embedded donor archive,revalidated duplicate; no semantic double-count,none
tor-wave-14,Tor_Onion_Proxy_Library-master,gradle/wrapper/gradle-wrapper.jar,ad63ba21fb91e490e0f6fd0ca7d4049241f0f68a454b0b3075c041c4554e611c,50,zip-compatible,nested dependency/binary payload; inspected independently; no direct target import,none
tor-wave-14,Tor_Onion_Proxy_Library-master,java/src/main/resources/native/linux/x64/tor.zip,a91155aa104f804fc14f922964c8e6c82ecc2626cc7ed5fee17ba22d73bb5d81,4,zip-compatible,nested dependency/binary payload; inspected independently; no direct target import,none
tor-wave-14,Tor_Onion_Proxy_Library-master,java/src/main/resources/native/linux/x86/tor.zip,56a7dce6062f31fb6cf5b610d78a06af36fc7f6c6ba93f78fffd67679c89d6ae,4,zip-compatible,nested dependency/binary payload; inspected independently; no direct target import,none
tor-wave-14,Tor_Onion_Proxy_Library-master,java/src/main/resources/native/osx/x64/tor.zip,8f0e5938d1830f7a2d81c6904716b587384ba62fb5390ba091c1789ae5c95510,2,zip-compatible,nested dependency/binary payload; inspected independently; no direct target import,none
tor-wave-14,Tor_Onion_Proxy_Library-master,java/src/main/resources/native/windows/x86/tor.zip,b88681f7ed5864dd425774c9bc87231598da0edba5ca9eca4fe9c78dab6d41f6,10,zip-compatible,nested dependency/binary payload; inspected independently; no direct target import,none
tor-wave-14,Tor_Onion_Proxy_Library-master,universal/gradle/wrapper/gradle-wrapper.jar,d283a04caee0e97b666b09e50ab394834934bee6225c2e9cd4650afdeac43828,50,zip-compatible,nested dependency/binary payload; inspected independently; no direct target import,none
tor-wave-14,tor-android-master,gradle/wrapper/gradle-wrapper.jar,423cb469ccc0ecc31f0e4e1c309976198ccb734cdcbb7029d4bda0f18f57e8d9,33,zip-compatible,nested dependency/binary payload; inspected independently; no direct target import,none
