donor,directory,direct_files,direct_dirs
Tor-IP-Changer-main,.,7,1
Tor-IP-Changer-main,.github,0,1
Tor-IP-Changer-main,.github/workflows,1,0
TorOverVPN-main,.,3,1
TorOverVPN-main,static,1,0
Tor_Onion_Proxy_Library-master,.,9,6
Tor_Onion_Proxy_Library-master,android,4,1
Tor_Onion_Proxy_Library-master,android/src,0,2
Tor_Onion_Proxy_Library-master,android/src/androidTest,0,1
Tor_Onion_Proxy_Library-master,android/src/androidTest/java,0,1
Tor_Onion_Proxy_Library-master,android/src/androidTest/java/com,0,1
Tor_Onion_Proxy_Library-master,android/src/androidTest/java/com/msopentech,0,1
Tor_Onion_Proxy_Library-master,android/src/androidTest/java/com/msopentech/thali,0,1
Tor_Onion_Proxy_Library-master,android/src/androidTest/java/com/msopentech/thali/toronionproxy,2,0
Tor_Onion_Proxy_Library-master,android/src/main,1,2
Tor_Onion_Proxy_Library-master,android/src/main/java,0,1
Tor_Onion_Proxy_Library-master,android/src/main/java/com,0,1
Tor_Onion_Proxy_Library-master,android/src/main/java/com/msopentech,0,1
Tor_Onion_Proxy_Library-master,android/src/main/java/com/msopentech/thali,0,1
Tor_Onion_Proxy_Library-master,android/src/main/java/com/msopentech/thali/android,0,1
Tor_Onion_Proxy_Library-master,android/src/main/java/com/msopentech/thali/android/toronionproxy,5,0
Tor_Onion_Proxy_Library-master,android/src/main/res,0,4
Tor_Onion_Proxy_Library-master,android/src/main/res/raw,1,0
Tor_Onion_Proxy_Library-master,android/src/main/res/values,2,0
Tor_Onion_Proxy_Library-master,android/src/main/res/values-v11,1,0
Tor_Onion_Proxy_Library-master,android/src/main/res/values-v14,1,0
Tor_Onion_Proxy_Library-master,android_tor_installer,3,1
Tor_Onion_Proxy_Library-master,android_tor_installer/src,0,1
Tor_Onion_Proxy_Library-master,android_tor_installer/src/main,1,2
Tor_Onion_Proxy_Library-master,android_tor_installer/src/main/java,0,1
Tor_Onion_Proxy_Library-master,android_tor_installer/src/main/java/com,0,1
Tor_Onion_Proxy_Library-master,android_tor_installer/src/main/java/com/msopentech,0,1
Tor_Onion_Proxy_Library-master,android_tor_installer/src/main/java/com/msopentech/thali,0,1
Tor_Onion_Proxy_Library-master,android_tor_installer/src/main/java/com/msopentech/thali/android,0,1
Tor_Onion_Proxy_Library-master,android_tor_installer/src/main/java/com/msopentech/thali/android/installer,1,0
Tor_Onion_Proxy_Library-master,android_tor_installer/src/main/res,0,1
Tor_Onion_Proxy_Library-master,android_tor_installer/src/main/res/values,1,0
Tor_Onion_Proxy_Library-master,external,0,1
Tor_Onion_Proxy_Library-master,external/pluto,0,0
Tor_Onion_Proxy_Library-master,gradle,0,1
Tor_Onion_Proxy_Library-master,gradle/wrapper,2,0
Tor_Onion_Proxy_Library-master,java,3,1
Tor_Onion_Proxy_Library-master,java/src,0,2
Tor_Onion_Proxy_Library-master,java/src/main,0,2
Tor_Onion_Proxy_Library-master,java/src/main/java,0,1
Tor_Onion_Proxy_Library-master,java/src/main/java/com,0,1
Tor_Onion_Proxy_Library-master,java/src/main/java/com/msopentech,0,1
Tor_Onion_Proxy_Library-master,java/src/main/java/com/msopentech/thali,0,1
Tor_Onion_Proxy_Library-master,java/src/main/java/com/msopentech/thali/java,0,1
Tor_Onion_Proxy_Library-master,java/src/main/java/com/msopentech/thali/java/toronionproxy,3,0
Tor_Onion_Proxy_Library-master,java/src/main/resources,2,1
Tor_Onion_Proxy_Library-master,java/src/main/resources/native,0,3
Tor_Onion_Proxy_Library-master,java/src/main/resources/native/linux,0,2
Tor_Onion_Proxy_Library-master,java/src/main/resources/native/linux/x64,1,0
Tor_Onion_Proxy_Library-master,java/src/main/resources/native/linux/x86,1,0
Tor_Onion_Proxy_Library-master,java/src/main/resources/native/osx,0,1
Tor_Onion_Proxy_Library-master,java/src/main/resources/native/osx/x64,1,0
Tor_Onion_Proxy_Library-master,java/src/main/resources/native/windows,0,1
Tor_Onion_Proxy_Library-master,java/src/main/resources/native/windows/x86,1,0
Tor_Onion_Proxy_Library-master,java/src/test,0,1
Tor_Onion_Proxy_Library-master,java/src/test/java,1,0
Tor_Onion_Proxy_Library-master,universal,5,2
Tor_Onion_Proxy_Library-master,universal/gradle,0,1
Tor_Onion_Proxy_Library-master,universal/gradle/wrapper,2,0
Tor_Onion_Proxy_Library-master,universal/src,0,2
Tor_Onion_Proxy_Library-master,universal/src/main,0,1
Tor_Onion_Proxy_Library-master,universal/src/main/java,0,1
Tor_Onion_Proxy_Library-master,universal/src/main/java/com,0,1
Tor_Onion_Proxy_Library-master,universal/src/main/java/com/msopentech,0,1
Tor_Onion_Proxy_Library-master,universal/src/main/java/com/msopentech/thali,0,1
Tor_Onion_Proxy_Library-master,universal/src/main/java/com/msopentech/thali/toronionproxy,18,0
Tor_Onion_Proxy_Library-master,universal/src/test,0,1
Tor_Onion_Proxy_Library-master,universal/src/test/java,0,1
Tor_Onion_Proxy_Library-master,universal/src/test/java/com,0,1
Tor_Onion_Proxy_Library-master,universal/src/test/java/com/msopentech,0,1
Tor_Onion_Proxy_Library-master,universal/src/test/java/com/msopentech/thali,0,1
Tor_Onion_Proxy_Library-master,universal/src/test/java/com/msopentech/thali/toronionproxy,1,0
onion-grater-master,.,7,3
onion-grater-master,.github,1,1
onion-grater-master,.github/workflows,1,0
onion-grater-master,etc,0,1
onion-grater-master,etc/apparmor.d,1,0
onion-grater-master,usr,0,2
onion-grater-master,usr/lib,2,1
onion-grater-master,usr/lib/systemd,0,1
onion-grater-master,usr/lib/systemd/system,1,0
onion-grater-master,usr/share,0,1
onion-grater-master,usr/share/doc,0,1
onion-grater-master,usr/share/doc/onion-grater-merger,0,1
onion-grater-master,usr/share/doc/onion-grater-merger/examples,10,0
onionbalance-develop,.,13,4
onionbalance-develop,docs,13,0
onionbalance-develop,onionbalance,14,1
onionbalance-develop,onionbalance/data,3,0
onionbalance-develop,scripts,1,0
onionbalance-develop,test,6,2
onionbalance-develop,test/functional,2,0
onionbalance-develop,test/scripts,2,0
onionoo-master,.,9,2
onionoo-master,lib,1,0
onionoo-master,src,0,3
onionoo-master,src/build,0,0
onionoo-master,src/main,0,2
onionoo-master,src/main/java,0,1
onionoo-master,src/main/java/org,0,1
onionoo-master,src/main/java/org/torproject,0,1
onionoo-master,src/main/java/org/torproject/metrics,0,1
onionoo-master,src/main/java/org/torproject/metrics/onionoo,1,6
onionoo-master,src/main/java/org/torproject/metrics/onionoo/cron,2,0
onionoo-master,src/main/java/org/torproject/metrics/onionoo/docs,21,0
onionoo-master,src/main/java/org/torproject/metrics/onionoo/server,16,0
onionoo-master,src/main/java/org/torproject/metrics/onionoo/updater,21,0
onionoo-master,src/main/java/org/torproject/metrics/onionoo/util,2,0
onionoo-master,src/main/java/org/torproject/metrics/onionoo/writer,10,0
onionoo-master,src/main/resources,5,1
onionoo-master,src/main/resources/web,2,0
onionoo-master,src/test,0,2
onionoo-master,src/test/java,0,1
onionoo-master,src/test/java/org,0,1
onionoo-master,src/test/java/org/torproject,0,1
onionoo-master,src/test/java/org/torproject/metrics,0,1
onionoo-master,src/test/java/org/torproject/metrics/onionoo,0,5
onionoo-master,src/test/java/org/torproject/metrics/onionoo/docs,9,0
onionoo-master,src/test/java/org/torproject/metrics/onionoo/server,3,0
onionoo-master,src/test/java/org/torproject/metrics/onionoo/updater,8,0
onionoo-master,src/test/java/org/torproject/metrics/onionoo/util,1,0
onionoo-master,src/test/java/org/torproject/metrics/onionoo/writer,4,0
onionoo-master,src/test/resources,1,0
tor-android-master,.,13,4
tor-android-master,external,3,6
tor-android-master,external/elf-cleaner,0,0
tor-android-master,external/libevent,0,0
tor-android-master,external/openssl,0,0
tor-android-master,external/tor,0,0
tor-android-master,external/zlib,0,0
tor-android-master,external/zstd,0,0
tor-android-master,gradle,2,1
tor-android-master,gradle/wrapper,2,0
tor-android-master,sampletorapp,2,1
tor-android-master,sampletorapp/src,0,1
tor-android-master,sampletorapp/src/main,1,2
tor-android-master,sampletorapp/src/main/kotlin,0,1
tor-android-master,sampletorapp/src/main/kotlin/org,0,1
tor-android-master,sampletorapp/src/main/kotlin/org/torproject,0,1
tor-android-master,sampletorapp/src/main/kotlin/org/torproject/android,0,1
tor-android-master,sampletorapp/src/main/kotlin/org/torproject/android/sample,2,0
