donor,path,sha256,size_bytes,file_type,classification,language,authority_status,semantic_record_ids,notes
SenPaiScanner-main,.github/workflows/build-android.yml,7ca23352b8c2a044015f72456dbf33c90a2a06d6e1ba568908e8b6166367fb6c,4568,file,configuration,YAML,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,.github/workflows/build-cli.yml,5171cdc2d353d0a826ee5dfc2c48c116ebc87550eca70a94f823a4863cba686b,2687,file,configuration,YAML,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,.github/workflows/build-gui.yml,149e68ae497aabde27edbb919cbc04c6037936cb2c904bfb8a2764e567c344d2,3867,file,configuration,YAML,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,.github/workflows/ci.yml,02335a4cfe82d18ee51adb30f4dbc7acdd65b2ea1268c0999ede4ec519cf847a,978,file,configuration,YAML,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,.github/workflows/release.yml,db40b4e369fe831477fe6671cecbdff9ca5bc17ebed2423ee7bc9793a0d73347,1134,file,configuration,YAML,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,.gitignore,a33b6c6f956f2201efdbc8fc2c5c9ad5f9bf78ab803d89bcd574b30b7020df6d,804,file,other,other,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,.goreleaser.yaml,8939d2bc62ae74a3327f229d0fe5a5cbf4c86ba70b9f36654010447f2bec3e8a,2036,file,configuration,YAML,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,CONTRIBUTING.md,3eaf129579dfee4cc804bc8101ce0367f43b2178caae3f63c8d8cb8aea2bc655,7222,file,documentation,other,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,LICENSE,1ceacff8db22928d796782326b13586972445baa9d6b06c74c9c76c0f36b9b7d,1070,file,other,other,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,Makefile,8916e817a39511636bb3a69a5e90095599e2e56a09e3be85f2b324b0c32df6e1,2132,file,deployment,other,donor-evidence,S7-046,resolved-by-seventh-order-ledger
