donor,path,sha256,symbol,line,signature,language,symbol_id,semantic_record_ids,resolution
SenPaiScanner-main,android/app/build.gradle.kts,8853b213818a7d61c27baf9afe07edb6abc5b5a4eeefc696f8db7ae354de3631,if,36,if (releaseSigningAvailable) {,Kotlin,S7-SYM-00001,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/build.gradle.kts,8853b213818a7d61c27baf9afe07edb6abc5b5a4eeefc696f8db7ae354de3631,create,37,"create(""release"") {",Kotlin,S7-SYM-00002,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/build.gradle.kts,8853b213818a7d61c27baf9afe07edb6abc5b5a4eeefc696f8db7ae354de3631,if,51,if (releaseSigningAvailable) {,Kotlin,S7-SYM-00003,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/androidTest/java/com/matinsenpai/senpaiscanner/ui/main/SignalDeskAppTest.kt,ea9bddbf4e7848cbe7a9ce132a3b16d527b7c7373d882f8938a92a04faeb0e3a,SignalDeskAppTest,12,class SignalDeskAppTest {,Kotlin,S7-SYM-00004,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/androidTest/java/com/matinsenpai/senpaiscanner/ui/main/SignalDeskAppTest.kt,ea9bddbf4e7848cbe7a9ce132a3b16d527b7c7373d882f8938a92a04faeb0e3a,resultsTab_exposesLiveCopyAndSpeedActions,17,fun resultsTab_exposesLiveCopyAndSpeedActions() {,Kotlin,S7-SYM-00005,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/androidTest/java/com/matinsenpai/senpaiscanner/ui/main/SignalDeskAppTest.kt,ea9bddbf4e7848cbe7a9ce132a3b16d527b7c7373d882f8938a92a04faeb0e3a,exportTab_isSeparateFromResults,45,fun exportTab_isSeparateFromResults() {,Kotlin,S7-SYM-00006,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/MainActivity.kt,984fcdd2e2db21f6e5e09eb2772ca001b10eeab60ffda59456e4243d4ccb618f,MainActivity,13,class MainActivity : ComponentActivity() {,Kotlin,S7-SYM-00007,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/MainActivity.kt,984fcdd2e2db21f6e5e09eb2772ca001b10eeab60ffda59456e4243d4ccb618f,onCreate,14,override fun onCreate(savedInstanceState: Bundle?) {,Kotlin,S7-SYM-00008,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/theme/Theme.kt,443daf319040a26d09e0567f5a047c00628ccec033176726ddfe96827d5277bd,SenPaiScannerTheme,25,fun SenPaiScannerTheme(content: @Composable () -> Unit) {,Kotlin,S7-SYM-00009,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/AppUI.kt,a4612f088d3f5d9728037510e79377da2b2ef8e9a0d43abe84c6fb579cecbdea,class,62,"enum class DeskTab(val label: String) { SCAN(""Scan""), RESULTS(""Results""), EXPORT(""Export"") }",Kotlin,S7-SYM-00010,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/AppUI.kt,a4612f088d3f5d9728037510e79377da2b2ef8e9a0d43abe84c6fb579cecbdea,AppUI,65,fun AppUI(viewModel: MainViewModel = viewModel()) {,Kotlin,S7-SYM-00011,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/AppUI.kt,a4612f088d3f5d9728037510e79377da2b2ef8e9a0d43abe84c6fb579cecbdea,LaunchedEffect,91,LaunchedEffect(uiState.error) {,Kotlin,S7-SYM-00012,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/AppUI.kt,a4612f088d3f5d9728037510e79377da2b2ef8e9a0d43abe84c6fb579cecbdea,NavigationBar,103,"NavigationBar(containerColor = SignalPanel, tonalElevation = 0.dp) {",Kotlin,S7-SYM-00013,S7-042,resolved-by-seventh-order-ledger
