path,change_type,sixth_order_sha256,current_sha256,accountability_class,seventh_order_record_ids,reason,verification_node
Makefile,modified,6faba2818d5c1307b332abf46bf4f3bd26492c49c5e264493352e5a3760efe20,391f42d5f1b7539e9f7d5740414bac0202582ee7f863fa8206427930827895c0,governance,n/a,wire seventh-order gate into canonical verify-repo,scripts/checks/check_seventh_order_convergence.py#main
governance/convergence/seventh-order-adoption-ledger.csv,added,n/a,7e35d5b939794a9f79835ae658ccfec093201a4608d1c9d67997d99b572cc697,governance,n/a,"seventh-order donor accountability, validation, baseline, or repair evidence",scripts/checks/check_seventh_order_convergence.py#main
governance/convergence/seventh-order-baseline-files.csv,added,n/a,e551345faa810ec3efbcb6dbd6ca7cbe97473ce118ecfb07a83e57ff453c41d0,governance,n/a,"seventh-order donor accountability, validation, baseline, or repair evidence",scripts/checks/check_seventh_order_convergence.py#main
governance/convergence/seventh-order-directories.csv,added,n/a,c63552082b7a446878a4343600c6296b04fef82046ee6fe7ccb3e91485677b81,governance,n/a,"seventh-order donor accountability, validation, baseline, or repair evidence",scripts/checks/check_seventh_order_convergence.py#main
governance/convergence/seventh-order-donors.csv,added,n/a,54daadab1e17bbbbc814a1bb1c577c6f6e663b5c44f7c0c04e2b69c7a1e566b2,governance,n/a,"seventh-order donor accountability, validation, baseline, or repair evidence",scripts/checks/check_seventh_order_convergence.py#main
governance/convergence/seventh-order-modules.csv,added,n/a,0cfb46800c641cf73f5dc05267affb0b46eb7977ef3f493cc40f2bc2c2ca50c3,governance,n/a,"seventh-order donor accountability, validation, baseline, or repair evidence",scripts/checks/check_seventh_order_convergence.py#main
governance/convergence/seventh-order-omission-audit.md,added,n/a,a907dbe7c542828965a610b34e7e6f2f9032ed5c1bf67559c54b98803db3df4a,governance,n/a,"seventh-order donor accountability, validation, baseline, or repair evidence",scripts/checks/check_seventh_order_convergence.py#main
governance/convergence/seventh-order-supersession-map.csv,added,n/a,568571b6ac09e8bfcecfe1f9bba99d8bcdaeb64e7bb3d13dbe83afba785bc501,governance,n/a,"seventh-order donor accountability, validation, baseline, or repair evidence",scripts/checks/check_seventh_order_convergence.py#main
governance/convergence/seventh-order-surfaces.csv,added,n/a,00f343445cd2ce8d2b3f03803076412dfe691b44875e8e97f64f2890ce03d3b8,governance,n/a,"seventh-order donor accountability, validation, baseline, or repair evidence",scripts/checks/check_seventh_order_convergence.py#main
governance/convergence/seventh-order-symbols.csv,added,n/a,975252b794d04f06abe643aaf152df05efe9ba2bb3f424ca6ef8134ff0db3cf1,governance,n/a,"seventh-order donor accountability, validation, baseline, or repair evidence",scripts/checks/check_seventh_order_convergence.py#main
governance/convergence/seventh-order-target-repairs.csv,added,n/a,0098e59e8995059f76e1b432bef5349dc5db65e9f580e72875a7c5fe6d213d41,governance,n/a,"seventh-order donor accountability, validation, baseline, or repair evidence",scripts/checks/check_seventh_order_convergence.py#main
governance/convergence/seventh-order-validation.md,added,n/a,e2ac928ad5dba1fd02fa9d046a17ba8a19916ba42448f6cdc8326358af7096dc,governance,n/a,"seventh-order donor accountability, validation, baseline, or repair evidence",scripts/checks/check_seventh_order_convergence.py#main
scripts/checks/check_seventh_order_convergence.py,added,n/a,c864171203c3734f7f53766a244de77f9669f043aa9b7dc6e8eba93862bbbe9e,governance,n/a,canonical seventh-order completeness and exact-delta gate,scripts/checks/check_seventh_order_convergence.py#main
scripts/checks/check_sixth_order_convergence.py,modified,05b7b8e692ada12e7b4e707022e62bd8155208e37f90ec6c388f7810ef45f6d8,74b70498bf3f5532f78ac2baeaffd098ff481e142bad413442c14d2a16f5f0de,governance,n/a,historical successor-baseline layering repair,scripts/checks/check_seventh_order_convergence.py#main
src/.context,modified,b059565d923f235a1fc5ce229110a49e3ec905ea5a9a03f1ad3e33b99b81180b,82e0884f2cc6971b339a7b796a9d97e52c5dfeae3221edf4b971796c311952e2,governance,n/a,regenerated/clarified source navigation after new target ownership,scripts/checks/check_seventh_order_convergence.py#main
src/apps/daemon/internal/adapters/api/.context,modified,ff77b4a3ba75f5c0bbe35103ee3ad8406ae52b9c0567e6aaecbbe7f7370c4cff,414f7049516178924d636ca5b2b441f0680934123dcf999dbfac01cc05a47679,governance,n/a,regenerated/clarified source navigation after new target ownership,scripts/checks/check_seventh_order_convergence.py#main
src/apps/daemon/internal/adapters/api/handlers_seventh_planners.go,added,n/a,6ddc1c5fba71e64901a814a34987f765198094abda9382cfca750022b660bd2c,implementation,S7-013;S7-014;S7-021;S7-022;S7-030;S7-036;S7-037,seventh-order target-native implementation or acceptance evidence,scripts/checks/check_seventh_order_convergence.py#main
src/apps/daemon/internal/adapters/api/handlers_system_engines.go,modified,f7eefaa5e5acf46fa1e7bbeb865a52b1a7ec0b42a0ebfdb7520c0cd027ba3074,4786d20b93aeacf8ee687434103b257e1ddf1574012ba47af4b9395e508b720c,implementation,S7-001;S7-002;S7-003,seventh-order target-native implementation or acceptance evidence,scripts/checks/check_seventh_order_convergence.py#main
src/apps/daemon/internal/adapters/api/routes_system.go,modified,524446a6361d8e0d36abb612f4b33dfbb8f6bc503229d560cee2c51307cd27d8,5a6f54a37e246254dd29ee59aa5a5fccd81e788da54f5eb96f93283dd6057d78,implementation,S7-013;S7-014;S7-021;S7-022;S7-030;S7-036;S7-037,seventh-order target-native implementation or acceptance evidence,scripts/checks/check_seventh_order_convergence.py#main
src/apps/daemon/internal/analysis/diagnostics/.context,modified,f5cea092db7f20167f1d369daab60afa51e97245d241b50b87006e344e51aa25,139a557692cd933fdca13239ba78af973896ee65d05e26eb639780fb64aa736d,governance,S7-013;S7-014;S7-021;S7-022;S7-036;S7-037,regenerated/clarified source navigation after new target ownership,scripts/checks/check_seventh_order_convergence.py#main
src/apps/daemon/internal/analysis/diagnostics/endpoint_pool_plan.go,added,n/a,ab464e4e9a1fee8a3f37946affe600a28ac1cfce4d8f8f6258771ed24c723439,implementation,S7-021;S7-022;S7-023;S7-036;S7-037,seventh-order target-native implementation or acceptance evidence,scripts/checks/check_seventh_order_convergence.py#main
src/apps/daemon/internal/analysis/diagnostics/endpoint_pool_plan_test.go,added,n/a,542d735e0067cb82bfc8c0ff0a1e7cbdf6fa75ea1d5d7018e7f4b137482ea171,implementation,S7-021;S7-022;S7-023;S7-036;S7-037,seventh-order target-native implementation or acceptance evidence,scripts/checks/check_seventh_order_convergence.py#main
src/apps/daemon/internal/analysis/diagnostics/mesh_route_plan.go,added,n/a,96038c40bfcbc7c41f2d707e40d340d763bb0504d86bd71feaee9f7f102490b6,implementation,S7-013;S7-014,seventh-order target-native implementation or acceptance evidence,scripts/checks/check_seventh_order_convergence.py#main
src/apps/daemon/internal/analysis/diagnostics/mesh_route_plan_test.go,added,n/a,4e64b391f1254fd2126352b6423a53373ec0de0f7ee410e87e052a0a57dc4378,implementation,S7-013;S7-014,seventh-order target-native implementation or acceptance evidence,scripts/checks/check_seventh_order_convergence.py#main
src/apps/daemon/internal/analysis/scanner/.context,modified,988bd4960151b8de4062286eb662b518a3bec244d907ff64cb3cf1e8197f8dab,fb68d0c72c9b66288e30295cf43e478d143819591520e3106561e32591f33af9,governance,n/a,regenerated/clarified source navigation after new target ownership,scripts/checks/check_seventh_order_convergence.py#main
src/apps/daemon/internal/foundation/.context,modified,2281ba47fc03a5e2e60295007bcb04dc02c5da4034408fd35ea114478df0cd92,4165f9cf004a9c1103aeaed5efe1e6cef6f35a2522b39c49d5b3b93f8e7285ed,governance,n/a,regenerated/clarified source navigation after new target ownership,scripts/checks/check_seventh_order_convergence.py#main
src/apps/daemon/internal/foundation/boundedio/.context,modified,4e4c4366f766b7c6f09bea4d5abbc5602c0f9c001f8318cb8810ee34f816408c,50cb5885d151dc7830c0f9362c02c05e184fe6847dc3309ae6851a6bd7022285,governance,n/a,regenerated/clarified source navigation after new target ownership,scripts/checks/check_seventh_order_convergence.py#main
src/apps/daemon/internal/foundation/config/.context,modified,339d2b14b642fd18ed4fa949d1fbf4d933f6caafc7cee717535f7554c6d8c43a,3d653e05f9bfabdad1f3f80c5ba1325277757dd962bdbaa35ed3fedbe87cb67e,governance,n/a,regenerated/clarified source navigation after new target ownership,scripts/checks/check_seventh_order_convergence.py#main
src/apps/daemon/internal/foundation/redact/.context,modified,77a6b1a7c07f4e8ffa8a52e17298fe86fa3afd9554b7c85c21b188cc6648e359,026adeed0848df8649c50f572cb66c305b26bc2393d4414849b5ac25a96e2455,governance,n/a,regenerated/clarified source navigation after new target ownership,scripts/checks/check_seventh_order_convergence.py#main
src/apps/daemon/internal/foundation/remoteaction/.context,modified,24b793d573b6503dd6ef276baefd668e8eb331f1227c10f6526377f71d1bbec3,22d6c8d63c24fc155184992ba65fd16fc00430a55349d8fc8d357387cc066c23,governance,n/a,regenerated/clarified source navigation after new target ownership,scripts/checks/check_seventh_order_convergence.py#main
src/apps/daemon/internal/foundation/resourcebudget/.context,modified,5153944823828d037609cc2252fd16a5ae39affe5e3168ff144ad4a590e2b1eb,415ea65a64263224cfd037190e42abf0a1c21d2d1696a0c70d0765b131dec4f4,governance,n/a,regenerated/clarified source navigation after new target ownership,scripts/checks/check_seventh_order_convergence.py#main
src/apps/daemon/internal/foundation/updateadmission/.context,modified,67a39c1628fd101d9a01aff35b0b93fc084ac1acecd3fcf689a39b640aee300c,5d3de26ce9e24a97173890d0504d0836a58687c02f89d3bca0593bb9389ef21c,governance,n/a,regenerated/clarified source navigation after new target ownership,scripts/checks/check_seventh_order_convergence.py#main
src/apps/daemon/internal/integrations/captchaclient/.context,modified,f5630e240fcbbdce1d77d26d5f76e76dc74d1ae6f2ae7342c7a60c7ceee78a8f,e4366cc9e0541ed51faada0278d887ce0743deb4dced557e5216021be2330e00,governance,n/a,regenerated/clarified source navigation after new target ownership,scripts/checks/check_seventh_order_convergence.py#main
src/apps/daemon/internal/integrations/notifier/.context,modified,08082a91c650242fcc6b4cdfa53efd1c1468dac21f8c2fb802feeac501a7d055,97db33aeb5e71d929306cfaf390f8411aadeab78d1ed2aa9cd84a0a7a172413b,governance,n/a,regenerated/clarified source navigation after new target ownership,scripts/checks/check_seventh_order_convergence.py#main
src/apps/daemon/internal/integrations/relayclient/.context,modified,c378a6a772502cc2b43510a8f73a7da0ab925977cd5434d6fa81c6d8819d4aba,99739bd58c5e00f80650780df23d312f7a61d7a2a15d5f158bbfc202890dafd3,governance,n/a,regenerated/clarified source navigation after new target ownership,scripts/checks/check_seventh_order_convergence.py#main
src/apps/daemon/internal/integrations/sub/.context,modified,820f200a8fe9baffca8e0512e63211aca37a479cb128f314e6ccf96efde4d1b3,1896996e6a778230a0f253c30262cd75a534e4a19827ffd2aeff0addf3052311,governance,n/a,regenerated/clarified source navigation after new target ownership,scripts/checks/check_seventh_order_convergence.py#main
src/apps/daemon/internal/networking/.context,modified,03c76dc4dafce9d5652239cecc20f33d209ac1d90c57c16407e086aadcc6c84d,27b2a08fe0d6f03aadfa152e6b61bfccbf39a5b1d2c959acefaf68bcc209683b,governance,n/a,regenerated/clarified source navigation after new target ownership,scripts/checks/check_seventh_order_convergence.py#main
src/apps/daemon/internal/networking/dns/.context,modified,16a0f9570224575931b4e3866602d6a8f1dc843b9ab9b85cf0a5c2ddfc97f61f,5a5b620a6280cf50403da1fbf706a7c58d0a1b888fcf22b2e35dfb8a750cef25,governance,n/a,regenerated/clarified source navigation after new target ownership,scripts/checks/check_seventh_order_convergence.py#main
src/apps/daemon/internal/networking/dnstunnel/.context,added,n/a,6263c826e7fb4fc26228405e1be4327ff8833b68373f689ae1a4afeef1fa283a,governance,S7-030,regenerated/clarified source navigation after new target ownership,scripts/checks/check_seventh_order_convergence.py#main
src/apps/daemon/internal/networking/dnstunnel/plan.go,added,n/a,ef3fce18c2783b97b8d8784dc77d3a49fb2a1875f31e5175d3eb566799a2cf15,implementation,S7-030,seventh-order target-native implementation or acceptance evidence,scripts/checks/check_seventh_order_convergence.py#main
src/apps/daemon/internal/networking/dnstunnel/plan_test.go,added,n/a,f502f200126664281ae1743ef33039ec6ec540579144b7cbd9ca1a5352b2dff2,implementation,S7-030,seventh-order target-native implementation or acceptance evidence,scripts/checks/check_seventh_order_convergence.py#main
src/apps/daemon/internal/networking/geoip/.context,modified,6badcce35db21cc1c3db1d38a1b1ff098682573c9518640dfb80ea603ea08177,cc62ef4cf9f054298c71ae5e0d38d919fa207d262e6f26dbc68f16f94755be4a,governance,n/a,regenerated/clarified source navigation after new target ownership,scripts/checks/check_seventh_order_convergence.py#main
src/apps/daemon/internal/networking/proxyconfig/.context,modified,42357699c81465289ee4419eb28ebf18e317a207556bbf59b0472019437e5cc3,59a123b9b682da13762a4f357b3cdef65fca5b4c900c8a8bf3dfb9630a988074,governance,n/a,regenerated/clarified source navigation after new target ownership,scripts/checks/check_seventh_order_convergence.py#main
src/apps/daemon/internal/networking/routing/domain_data/.context,modified,14dac477a3cde1f052dbb4b242ba34b7ed5e9dfef439509ec432e0cd0d2f095a,6678d9d4b6ab689ad39c3c220f4c3a1731dcfc9724b0d3fae467970adef9fdba,governance,n/a,regenerated/clarified source navigation after new target ownership,scripts/checks/check_seventh_order_convergence.py#main
