donor,archive_sha256,member_count,file_surfaces,directories,symbols,semantic_record_ids,live_record_ids,nonlive_record_ids,notes
node-typedarray-master(1).zip,c1766211deaddb508890dde63a34fed2e726f4a2adfbdaba32a10abae0c21f36,6,4,2,27,S6-018,n/a,S6-018,Archive validated before extraction; every surface is hash-accounted and every extracted declaration symbol is linked.
Auto_Tor_IP_changer-master(1).zip,2b14f6d735fa3932c25f779ebe5bb11f08294251ea14c709786484853e4080f3,4,3,1,2,S6-001;S6-026,S6-001,S6-026,Archive validated before extraction; every surface is hash-accounted and every extracted declaration symbol is linked.
RKh-SNI-Spoofing-main(1).zip,4f3850da75600ac76408067f329c71beaa1540140aaea9ce6dc41002d8c96365,4,3,1,4,S6-004;S6-005,S6-004;S6-005,n/a,Archive validated before extraction; every surface is hash-accounted and every extracted declaration symbol is linked.
awesome-privacy-master.zip,e6e98a3392f0fb67dc7c92bc18409a9d83800f39fb97def54c5a27b72855527f,5,4,1,0,S6-013,S6-013,n/a,Archive validated before extraction; every surface is hash-accounted and every extracted declaration symbol is linked.
awesome-anti-censorship-master(1).zip,9bd5a308eb016d4edfc6550d172e78e5d44d937a1d445fc8c65805ebf74e1b4b,3,2,1,0,S6-012,S6-012,n/a,Archive validated before extraction; every surface is hash-accounted and every extracted declaration symbol is linked.
awesome-tor-master.zip,2718d8449fa7bd0ce597ebd92f1f2a9550f233e2fd1cf197cae19774ba80f4bf,4,3,1,0,S6-014,S6-014,n/a,Archive validated before extraction; every surface is hash-accounted and every extracted declaration symbol is linked.
PowerShell-VPNGate-main.zip,43fadd11501db616de9decb1dd153c5c89e30259bdb8ea49822ba3485b19d8e0,4,3,1,0,S6-006,S6-006,n/a,Archive validated before extraction; every surface is hash-accounted and every extracted declaration symbol is linked.
VUMP-limited-master.zip,f861f682b5578c0c04637e4eb06906610d7f9472b0403cb961c1ad1dff66836e,6,4,2,0,S6-017,n/a,S6-017,Archive validated before extraction; every surface is hash-accounted and every extracted declaration symbol is linked.
websocket-master.zip,59824f5c7f59a2183f60ec68c6d2690228649ebe5fbf98cb1d315a49ff89d1f1,4,2,2,39,S6-019,n/a,S6-019,Archive validated before extraction; every surface is hash-accounted and every extracted declaration symbol is linked.
OrbotIPtProxy-master.zip,1e98fc04c76a78c44df89d9d8e0cd708314c25e302727e915c526760a40ee533,13,10,2,8,S6-007;S6-008,n/a,S6-007;S6-008,Archive validated before extraction; every surface is hash-accounted and every extracted declaration symbol is linked.
onion-route-proxy-main.zip,3489b153b63fd26e491ecb6feecdb70e0bdd2e07a199263ef661edd2ac479905,7,4,3,0,S6-015;S6-016,S6-015,S6-016,Archive validated before extraction; every surface is hash-accounted and every extracted declaration symbol is linked.
g2rayXHTTPS-master.zip,86de6ef4ee974772c07c3918e5082a8fde528c35c73d7f364913785d7b569c29,9,6,3,0,S6-009,S6-009,n/a,Archive validated before extraction; every surface is hash-accounted and every extracted declaration symbol is linked.
ahmia-crawler-master.zip,1c988b8b47607df92a401e3ff34f6320c731990683a9303f1a72af694b1af168,30,24,6,35,S6-002;S6-003;S6-027,S6-002;S6-003,S6-027,Archive validated before extraction; every surface is hash-accounted and every extracted declaration symbol is linked.
node-bot-master.zip,505b88c4ad9007bc9ca1310be49f84367d878443f82c660aa2a7c5e73f518a8d,8,5,3,18,S6-024,n/a,S6-024,Archive validated before extraction; every surface is hash-accounted and every extracted declaration symbol is linked.
node-gadgets-master.zip,59cd4e7902903f0301a07eb1e7e5566e304b3979f4515ac1ec5588e4eda54a73,8,5,3,17,S6-022;S6-023,S6-022,S6-023,Archive validated before extraction; every surface is hash-accounted and every extracted declaration symbol is linked.
abstract-tls-master.zip,e9641800e415bea20a578eab78ae667d6fed8c0146e350ad468962e20e18256c,7,4,3,95,S6-025,n/a,S6-025,Archive validated before extraction; every surface is hash-accounted and every extracted declaration symbol is linked.
node-dom-master.zip,fc73876242272305c806aea202e7df991167fb91361216b78063d30ef30d0850,21,14,7,263,S6-020;S6-021,S6-020,S6-021,Archive validated before extraction; every surface is hash-accounted and every extracted declaration symbol is linked.
nahan-main.zip,33d7243734cad1a64c6fc153df1914c4368b294d45375132dd38b56ef6e15aea,7,6,1,284,S6-010;S6-011;S6-028,S6-010,S6-011;S6-028,Archive validated before extraction; every surface is hash-accounted and every extracted declaration symbol is linked.
