module_id,donor,path,surface_count,symbol_count,semantic_record_ids,disposition_summary,notes
S6MOD001,Auto_Tor_IP_changer-master(1).zip,Auto_Tor_IP_changer-master,3,2,S6-001;S6-026,adapted;superseded,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD002,OrbotIPtProxy-master.zip,OrbotIPtProxy-master,10,8,S6-008;S6-007,superseded,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD003,OrbotIPtProxy-master.zip,OrbotIPtProxy-master/OrbotTun.go,2,8,S6-008;S6-007,superseded,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD004,PowerShell-VPNGate-main.zip,PowerShell-VPNGate-main,3,0,S6-006,adapted,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD005,RKh-SNI-Spoofing-main(1).zip,RKh-SNI-Spoofing-main,3,4,S6-004;S6-005,adapted;extracted,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD006,VUMP-limited-master.zip,VUMP-limited-master,4,0,S6-017,superseded,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD007,VUMP-limited-master.zip,VUMP-limited-master/.github,1,0,S6-017,superseded,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD008,abstract-tls-master.zip,abstract-tls-master,4,95,S6-025,superseded,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD009,abstract-tls-master.zip,abstract-tls-master/bug,1,17,S6-025,superseded,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD010,abstract-tls-master.zip,abstract-tls-master/lib,2,78,S6-025,superseded,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD011,ahmia-crawler-master.zip,ahmia-crawler-master,24,35,S6-002;S6-003;S6-027,recomposed;extracted;reference-only,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD012,ahmia-crawler-master.zip,ahmia-crawler-master/ahmia,10,35,S6-002;S6-003;S6-027,recomposed;extracted;reference-only,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD013,ahmia-crawler-master.zip,ahmia-crawler-master/ahmia/ahmia,8,35,S6-002;S6-003;S6-027,recomposed;extracted;reference-only,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD014,ahmia-crawler-master.zip,ahmia-crawler-master/ahmia/ahmia/spiders,2,10,S6-002;S6-003;S6-027,recomposed;extracted;reference-only,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD015,ahmia-crawler-master.zip,ahmia-crawler-master/torfleet,7,0,S6-027;S6-002,reference-only;recomposed,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD016,ahmia-crawler-master.zip,ahmia-crawler-master/torfleet/privoxy_configs,1,0,S6-027,reference-only,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD017,awesome-anti-censorship-master(1).zip,awesome-anti-censorship-master,2,0,S6-012,inspired-native,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD018,awesome-privacy-master.zip,awesome-privacy-master,4,0,S6-013,inspired-native,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD019,awesome-tor-master.zip,awesome-tor-master,3,0,S6-014,inspired-native,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD020,g2rayXHTTPS-master.zip,g2rayXHTTPS-master,6,0,S6-009,adapted,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
S6MOD021,g2rayXHTTPS-master.zip,g2rayXHTTPS-master/.devcontainer,4,0,S6-009,adapted,Directory/module boundary exhaustively resolved through its descendant surfaces and symbols.
