donor,path,sha256,size_bytes,classification,language,semantic_record_ids,resolution,notes
node-typedarray-master(1).zip,node-typedarray-master/LICENSE.txt,ba76e342089f38d710c58ebf742edc74687d548bb1bc3ecc374b6419463431b2,1063,license,,S6-018,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
node-typedarray-master(1).zip,node-typedarray-master/README.md,a6794e34f6cef5abd89998c1bd8cf246c16c5b91d43a4950e9f58a226cbc7913,2208,documentation,markdown,S6-018,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
node-typedarray-master(1).zip,node-typedarray-master/lib/node-typedarray.js,8f7cb485d308fb9297be00d265978c6335e72dbc07ecd19d8f6d2b7b316257a7,5862,implementation,javascript,S6-018,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
node-typedarray-master(1).zip,node-typedarray-master/package.json,cac91625012a10e49ef56b7cd8a8c8cb50a30e93907abeefd27979b775f8848b,669,configuration,,S6-018,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
Auto_Tor_IP_changer-master(1).zip,Auto_Tor_IP_changer-master/README.md,42cda71e6046a098389a3d1b771b481eca3bbf4a2155475a76307f2af78dc0d1,656,documentation,markdown,S6-001,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
Auto_Tor_IP_changer-master(1).zip,Auto_Tor_IP_changer-master/autoTOR.py,4b038019570e14694b637fe8b80a3344425361bb6732492b29aa0ceac22eebe8,2288,implementation,python,S6-001,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
Auto_Tor_IP_changer-master(1).zip,Auto_Tor_IP_changer-master/install.py,a4d8c40f089cdd90de2c2200e36717d5fc75d6cf72c3ae24124f6f594d891183,778,implementation,python,S6-026,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
RKh-SNI-Spoofing-main(1).zip,RKh-SNI-Spoofing-main/README.md,9c11826e28d64397014b14e6f6e81a48095545a06f89d67fa8d120798e0905ea,1969,documentation,markdown,S6-004;S6-005,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
RKh-SNI-Spoofing-main(1).zip,RKh-SNI-Spoofing-main/RKh-SNI-Spoofing-v0.1.2.py,ed4af5bf29ad324d01931a423ae1abe7844bd670c716c4d362c99ed958874c06,3708,implementation,python,S6-004,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
RKh-SNI-Spoofing-main(1).zip,RKh-SNI-Spoofing-main/domains.txt,fe2bc79d19cf6906798ac751756a88105cf9a24326007b279d0829defeea1ef3,5483,other,,S6-005,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
awesome-privacy-master.zip,awesome-privacy-master/LICENSE,6fb1285873ad1f665fa7910ae295498113a3a9ae51de7cb4f582e5a2bbe31cc1,19089,license,,S6-013,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
awesome-privacy-master.zip,awesome-privacy-master/code-of-conduct.md,d7be578460325586d2f1957202aaaca6621bb18226924942d410dc4622092553,3235,documentation,markdown,S6-013,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
awesome-privacy-master.zip,awesome-privacy-master/contributing.md,e70db58f2df7fe77e7dfae5fcce0bf4165a326d554a62a66a33518a70871e45a,862,documentation,markdown,S6-013,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
